start,end,duration,moderate rain
413,414,1,BiksCalculations\csv\temp_csv\moderate rain.csv
426,427,1,BiksCalculations\csv\temp_csv\moderate rain.csv
438,439,1,BiksCalculations\csv\temp_csv\moderate rain.csv
466,467,1,BiksCalculations\csv\temp_csv\moderate rain.csv
473,474,1,BiksCalculations\csv\temp_csv\moderate rain.csv
526,527,1,BiksCalculations\csv\temp_csv\moderate rain.csv
550,551,0,BiksCalculations\csv\temp_csv\moderate rain.csv
560,561,1,BiksCalculations\csv\temp_csv\moderate rain.csv
574,575,1,BiksCalculations\csv\temp_csv\moderate rain.csv
609,610,1,BiksCalculations\csv\temp_csv\moderate rain.csv
613,614,0,BiksCalculations\csv\temp_csv\moderate rain.csv
618,619,0,BiksCalculations\csv\temp_csv\moderate rain.csv
626,627,0,BiksCalculations\csv\temp_csv\moderate rain.csv
632,633,0,BiksCalculations\csv\temp_csv\moderate rain.csv
645,646,0,BiksCalculations\csv\temp_csv\moderate rain.csv
650,651,0,BiksCalculations\csv\temp_csv\moderate rain.csv
654,655,1,BiksCalculations\csv\temp_csv\moderate rain.csv
656,657,1,BiksCalculations\csv\temp_csv\moderate rain.csv
659,660,1,BiksCalculations\csv\temp_csv\moderate rain.csv
665,666,0,BiksCalculations\csv\temp_csv\moderate rain.csv
670,671,1,BiksCalculations\csv\temp_csv\moderate rain.csv
962,963,0,BiksCalculations\csv\temp_csv\moderate rain.csv
966,967,1,BiksCalculations\csv\temp_csv\moderate rain.csv
991,992,1,BiksCalculations\csv\temp_csv\moderate rain.csv
