,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.0,0.89,,,1.05,0.64,0.51,0.52,,,0.97,0.95,0.6,,0.95,0.59,0.52,0.49,0.43,0.4,0.16,0.12,1.0,0.95,0.42
TEMP_0_0,1.12,1.0,,,1.16,0.72,0.66,0.59,,,1.04,1.04,0.65,,1.06,0.67,0.59,0.57,0.49,0.45,0.21,0.13,1.16,1.09,0.5
TEMP_1_1,,3.22,1.01,,2.03,1.15,1.06,,,,1.77,1.84,,0.18,1.73,1.08,0.93,0.92,0.8,0.71,,,1.86,1.74,0.8
TEMP_0_2,,,,1.0,,,,,0.94,0.35,,,2.13,,3.55,2.23,1.91,1.88,1.58,1.32,,,3.98,3.56,1.43
PRES_0_0,0.96,0.87,0.49,,1.0,0.61,,0.49,,,0.92,0.92,0.59,,0.94,0.56,0.49,0.47,0.42,0.4,0.12,0.14,0.96,0.92,0.4
PRES_1_0,1.53,1.38,,,1.65,0.99,,,,,1.56,1.44,0.91,,1.44,0.95,0.85,0.85,0.66,0.57,0.32,,1.62,1.53,0.79
PRES_0_1,1.92,1.46,0.93,,,,1.01,,,,1.68,1.66,,0.17,1.63,1.03,0.87,0.85,0.76,0.67,0.31,,1.76,1.65,0.73
PRES_1_1,1.95,1.71,,,1.9,,,1.0,,,1.48,1.82,1.09,,1.69,1.14,1.0,0.96,0.81,0.77,0.48,,1.99,1.84,0.86
PRES_1_3,,,,1.09,,,,,1.0,,,,2.32,,3.87,2.43,2.24,2.05,1.76,1.62,,,4.23,3.92,1.58
PRES_1_2,,,,2.87,,,,,,1.0,,,5.96,,9.96,6.69,,,3.73,,,,,9.62,
DEWP_1_0,1.04,0.94,0.56,,1.09,0.66,0.59,0.66,,,1.0,0.99,0.61,,1.01,0.61,0.52,0.47,0.46,0.41,0.1,,1.03,0.99,0.42
DEWP_0_0,1.06,0.94,0.53,,1.09,0.68,0.58,0.54,,,1.02,1.0,,,0.96,0.63,0.56,0.57,0.45,0.43,0.21,0.13,1.09,1.02,0.5
DEWP_0_1,1.63,1.54,,0.5,1.75,1.09,,0.94,0.45,0.2,,,1.0,,1.69,1.03,0.93,0.9,0.75,0.68,0.31,,1.83,1.69,0.73
DEWP_1_1,,,4.8,,,,5.07,,,,,,,1.0,8.17,4.14,3.52,,4.14,,,,8.76,8.25,
WSPM_0_1,1.04,0.94,0.56,0.27,1.07,0.69,0.6,0.57,0.26,0.1,0.99,1.03,0.6,0.1,1.0,0.63,0.54,0.54,0.46,0.28,0.14,,1.09,0.99,0.41
WSPM_0_0,1.67,1.48,0.92,0.46,1.8,1.04,0.94,0.84,0.41,,1.65,1.51,0.94,,1.57,1.0,0.92,0.78,0.73,0.74,0.34,,1.69,1.61,0.77
WSPM_1_1,1.95,1.67,1.04,0.52,2.04,1.13,1.1,1.02,0.46,,1.85,1.78,1.05,,1.83,1.07,0.99,1.16,0.76,0.73,,,1.92,1.87,0.87
WSPM_1_2,2.04,1.83,1.08,0.43,2.16,1.19,1.15,1.09,0.49,,2.16,1.93,1.1,,1.83,1.24,0.83,1.0,0.95,1.22,,,2.02,2.02,1.32
WSPM_1_0,2.29,2.07,1.27,0.66,2.4,1.47,1.3,1.16,0.56,,2.19,2.16,1.31,,2.14,1.4,1.35,1.07,1.0,1.01,,,2.35,2.19,1.0
WSPM_0_2,2.6,2.23,1.62,0.79,2.54,1.67,1.71,1.3,0.62,,2.32,2.23,1.49,,3.52,1.3,1.42,0.86,1.12,1.01,,,2.42,2.44,1.03
WSPM_1_3,7.17,4.77,,,8.06,3.07,3.27,2.24,,,11.61,5.17,3.18,,7.42,2.69,,,1.63,,1.0,,5.67,6.5,2.56
WSPM_0_3,8.23,7.39,,,7.71,,,,,,,7.84,,,,4.93,,,3.59,,,1.0,,8.36,2.86
PM10_0,0.99,0.87,0.52,0.26,1.04,0.63,0.55,0.51,0.24,,0.97,0.92,0.55,0.11,0.9,0.59,0.54,0.5,0.41,0.43,0.2,,1.0,0.94,0.57
PM10_1,1.04,0.93,0.58,0.28,1.05,0.66,0.61,0.55,0.25,0.11,0.98,0.99,0.58,0.09,1.02,0.62,0.51,0.53,0.47,0.39,0.13,0.13,1.1,1.0,0.38
PM10_2,2.31,2.07,1.21,0.68,2.54,1.49,1.34,1.14,0.66,,2.33,2.21,1.51,,2.33,1.18,1.08,0.84,0.94,0.87,,0.37,1.73,2.23,1.0
