,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,PRES_0_0,PRES_1_0,PRES_0_1,PRES_1_1,PRES_1_3,PRES_1_2,DEWP_1_0,DEWP_0_0,DEWP_0_1,DEWP_1_1,WSPM_0_1,WSPM_0_0,WSPM_1_1,WSPM_1_2,WSPM_1_0,WSPM_0_2,WSPM_1_3,WSPM_0_3,PM10_0,PM10_1,PM10_2
TEMP_1_0,4.54,1.73,,,3.14,5.88,1.98,3.81,,,3.22,3.04,1.8,,2.99,13.58,14.99,12.85,37.9,9.92,38.5,,2.64,3.6,20.82
TEMP_0_0,1.27,7.09,,,1.82,9.93,0.53,17.71,,,1.23,3.3,12.25,,2.9,12.17,10.44,8.28,34.47,23.8,160.19,354.14,2.76,3.05,21.5
TEMP_1_1,,,50.16,,0.33,,37.14,,,,4.73,1.09,,1117.58,3.21,12.35,13.92,14.51,34.83,9.01,,,3.02,3.73,13.29
TEMP_0_2,,,,926.01,,,,,1127.24,7069.77,,,44.66,,3.1,12.99,9.4,5.65,43.63,25.4,,,2.76,3.46,15.95
PRES_0_0,3.7,2.97,1.09,,3.95,2.42,,0.72,,,3.03,3.04,3.06,,3.07,12.6,12.87,11.62,36.28,14.14,37.71,269.55,2.45,3.67,24.65
PRES_1_0,2.23,5.48,,,0.92,27.42,,,,,1.62,3.6,8.19,,2.97,12.71,11.17,8.97,36.48,18.06,148.29,,3.0,2.96,19.18
PRES_0_1,0.76,0.34,41.37,,,,40.31,,,,4.81,0.95,,1001.63,3.42,11.53,13.21,11.99,35.27,8.07,102.92,,3.06,3.69,12.5
PRES_1_1,1.39,6.72,,,0.16,,,62.42,,,0.23,3.39,18.28,,2.15,15.72,16.71,13.02,35.94,22.58,107.75,,3.1,2.76,12.68
PRES_1_3,,,,928.63,,,,,1313.49,,,,44.78,,2.61,14.67,11.19,6.72,47.47,30.2,,,3.05,3.15,15.06
PRES_1_2,,,,906.57,,,,,,58423.82,,,43.72,,5.62,,,,,,,,,4.93,
DEWP_1_0,2.97,1.87,13.65,,2.44,3.76,12.52,0.79,,,5.19,0.91,,,3.7,11.49,10.84,8.22,36.83,10.1,,,2.44,3.92,20.81
DEWP_0_0,2.81,4.37,2.05,,2.3,8.91,1.61,10.95,,,0.85,5.75,,,2.47,14.47,15.99,14.36,35.58,12.02,135.84,388.29,3.1,2.99,16.88
DEWP_0_1,0.78,5.32,,210.44,1.08,7.35,,22.64,247.55,1826.54,,,44.87,,2.3,12.51,10.86,11.46,36.79,40.51,133.07,,2.59,3.14,26.06
DEWP_1_1,,,50.33,,,,40.43,,,,,,,25277.56,4.2,11.72,16.09,,51.21,,,,3.74,2.62,
WSPM_0_1,2.48,3.67,7.36,35.81,2.21,6.43,7.2,5.93,35.2,556.42,3.15,2.35,5.27,210.34,5.46,4.67,5.3,3.7,28.49,,,,2.48,3.76,19.75
WSPM_0_0,2.62,3.25,6.81,28.63,2.1,6.51,5.53,9.71,39.58,,2.42,2.88,5.99,,0.97,30.67,16.81,6.32,76.38,2.83,,,3.18,2.91,10.4
WSPM_1_1,3.06,2.48,7.62,24.36,2.16,5.28,6.34,10.67,32.08,,2.36,3.41,5.67,,1.96,19.37,53.53,2.28,25.25,4.0,,,2.93,3.57,18.68
WSPM_1_2,2.85,2.42,9.09,16.39,2.24,5.36,6.71,9.78,23.18,,2.15,3.5,6.81,,0.96,8.52,0.86,68.83,10.48,,,,3.3,2.99,19.86
WSPM_1_0,2.68,3.07,6.67,37.94,2.04,7.5,5.73,8.18,46.73,,2.47,2.85,7.08,,2.11,27.08,12.19,2.92,78.15,5.07,,,3.02,3.1,16.37
WSPM_0_2,1.76,4.9,4.36,49.93,2.14,7.37,3.5,11.8,70.62,,1.79,1.89,18.27,,,1.79,2.29,,12.67,187.67,,,1.66,3.43,47.6
WSPM_1_3,1.27,5.94,,,1.49,9.5,8.4,9.69,,,,4.18,11.76,,,,,,,,4466.53,,4.04,2.99,
WSPM_0_3,1.2,7.5,,,3.21,,,,,,,5.91,,,,,,,,,,21993.86,,3.95,55.14
PM10_0,2.39,3.57,7.32,30.74,1.86,7.5,6.64,10.01,42.23,,2.2,3.18,6.66,219.84,2.59,15.77,14.75,14.09,41.42,9.53,122.42,,4.16,1.93,5.05
PM10_1,2.69,3.12,7.46,35.6,2.35,5.13,6.6,6.96,35.21,577.51,2.94,2.46,6.11,116.84,3.39,10.9,11.93,8.74,32.91,15.31,39.37,220.98,1.63,5.16,16.72
PM10_2,2.75,3.88,4.25,18.45,2.91,6.44,3.73,4.15,20.88,,3.1,2.04,10.26,,3.2,6.8,9.09,5.98,25.48,47.39,,767.41,0.38,3.07,116.41
