,E_0,ENE_0,ESE_0,NE_0,SSW_0,SW_0,S_0,SE_0,SSE_0,N_0,WSW_0,NNE_0,NW_0,NNW_0,W_0,WNW_0,NNE_1,ENE_1,E_1,NNE_2,E_2,SSW_1,SE_1,NE_1,SW_2,SW_1,ESE_1,NW_1,ENE_2,WSW_1,SSW_2,WSW_2,SSE_1,S_2,SW_3,E_3,S_1,N_1,ESE_2,SSW_3,E_4,NE_2,NNW_1,NW_2,SSW_6,N_5,ESE_3,ENE_3,WSW_4,SSW_4,N_4,NNW_2,NW_4,WSW_3,WSW_5,WNW_1,W_1,SSE_2,N_2,NE_4,SE_2,WNW_2,ESE_5,WNW_4,SSE_3,SE_4,S_3,ESE_4,N_3,NNW_3,NE_3,W_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E_0,1.38,1.45,1.37,1.28,0.57,0.63,0.7,1.04,0.98,1.0,0.69,1.07,0.91,0.94,0.85,0.85,0.74,1.21,0.69,0.85,1.33,,0.77,1.05,,,1.16,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.15,0.97,1.21,1.0,1.0,,1.0,,1.0,1.06,1.01,0.7
ENE_0,1.37,1.5,0.99,1.75,0.47,0.49,0.42,0.72,0.57,1.44,0.7,1.51,1.06,1.11,0.95,0.98,1.14,0.71,0.77,1.15,1.09,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.03,1.0,0.99,1.0,1.0,,1.0,,1.0,,1.02,0.66
ESE_0,1.53,1.23,1.5,0.83,0.71,0.65,1.04,1.6,1.11,0.87,0.61,0.86,0.54,0.64,0.84,0.93,,0.88,1.37,,1.44,,0.86,1.04,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,1.45,0.97,1.29,1.0,1.0,,1.0,,1.0,1.19,1.02,0.86
NE_0,1.13,1.54,0.75,1.9,0.29,0.52,0.33,0.62,0.35,1.54,0.73,1.93,1.13,1.43,1.16,1.08,2.36,0.97,0.82,1.73,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.7,1.02,0.79,1.0,1.0,,1.0,,1.0,1.65,1.01,0.56
SSW_0,0.72,0.45,0.93,0.38,2.22,2.29,2.45,1.32,1.71,0.41,1.53,0.39,0.36,0.33,1.01,0.55,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.13,1.01,1.03,1.0,1.0,,1.0,,1.0,,1.0,1.33
SW_0,0.63,0.6,0.77,0.45,2.1,2.28,1.84,1.05,1.49,0.41,2.3,0.53,0.59,0.43,1.37,0.89,,,,,,2.4,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.8,1.01,0.75,1.0,1.0,,1.0,,1.0,,1.01,1.37
S_0,0.93,0.66,1.19,0.37,2.18,1.58,2.12,1.66,1.98,0.45,1.09,0.4,0.52,0.44,0.62,0.38,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.34,1.0,1.12,1.0,1.0,,1.0,,1.0,,1.02,1.3
SE_0,1.29,0.9,1.51,0.79,1.0,0.78,1.26,1.85,1.83,0.7,0.69,0.92,0.57,0.49,0.95,0.39,,0.81,1.18,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.39,0.95,1.38,1.0,1.0,,1.0,,1.0,,1.02,1.0
SSE_0,0.99,0.67,1.45,0.52,1.54,1.15,2.03,2.1,2.28,0.64,0.74,0.62,0.49,0.4,0.73,0.41,,,1.49,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.47,0.95,1.4,1.0,1.0,,1.0,,1.0,,1.02,1.14
N_0,0.95,1.41,0.73,1.44,0.51,0.59,0.48,0.53,0.46,2.08,0.7,2.25,1.56,2.02,1.01,1.47,1.83,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.82,1.02,0.92,1.0,1.0,,1.0,,1.0,,1.0,0.63
WSW_0,0.71,0.59,0.69,0.73,1.75,2.13,1.37,0.91,1.42,0.76,2.32,0.51,0.88,0.5,1.76,1.25,,,,,,1.83,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.74,1.02,0.74,1.0,1.0,,1.0,,1.0,,1.01,1.2
NNE_0,1.15,1.65,0.59,2.07,0.35,0.48,0.24,0.51,0.33,1.74,0.72,1.78,1.17,1.69,0.89,0.99,1.87,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.79,1.01,0.75,1.0,1.0,,1.0,,1.0,,1.01,0.65
NW_0,0.67,0.97,0.65,1.02,0.67,0.56,0.51,0.42,0.5,1.5,1.15,1.2,3.19,2.72,1.43,3.01,,,,,,,,,,,,5.15,,,,,,,,,,,,,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.5,1.03,0.63,1.0,1.0,,0.99,,1.0,,0.96,1.39
NNW_0,0.97,1.11,0.71,1.23,0.28,0.52,,0.55,0.36,1.89,0.67,1.74,3.1,2.73,0.93,2.47,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.79,1.02,0.91,1.0,1.0,,0.98,,1.0,,0.93,1.2
W_0,0.7,0.52,0.79,0.41,1.48,1.71,1.01,0.89,0.96,0.96,2.68,0.68,1.59,0.73,2.39,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.54,1.04,0.72,1.0,1.0,,1.0,,1.0,,1.0,1.24
WNW_0,0.61,0.75,0.79,0.84,0.79,1.01,0.64,0.61,0.5,1.31,1.42,1.02,3.3,2.19,2.19,2.55,,,,,,,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.6,1.05,0.6,1.0,1.0,,0.99,,1.0,,0.98,1.28
NNE_1,0.73,1.43,0.78,1.92,,,,,,2.29,0.56,1.8,1.2,1.72,0.96,0.82,12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.52,1.06,0.6,1.0,0.99,,1.0,,1.0,,1.02,0.57
ENE_1,1.25,0.71,1.17,1.07,0.66,0.54,,0.85,,1.02,,0.68,1.32,,1.21,1.14,,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,0.99,0.99,1.13,0.99,0.99,,0.99,,0.99,,1.01,0.47
E_1,1.16,1.07,1.88,0.78,,,0.63,1.31,,,,,,1.39,,,,,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,0.87,1.07,0.59,1.0,1.0,,1.0,,1.0,,1.02,0.45
NNE_2,0.55,0.65,0.57,1.38,,,,,,2.69,,1.22,,2.77,,1.55,3.88,,,36.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,1.01,0.9,1.0,1.0,,1.0,,1.0,,1.02,0.69
E_2,0.9,0.97,1.45,0.92,0.85,,0.8,1.2,1.23,,,,1.27,,,,,,,,43.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.2,0.95,1.56,1.0,1.0,,1.0,,1.0,,1.02,0.89
SSW_1,0.83,,0.76,,1.86,1.94,2.24,1.42,1.03,,1.25,,,,,,,,,,,33.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,1.05,0.9,1.0,1.0,,1.0,,1.0,,1.01,1.76
SE_1,0.75,,2.18,,0.97,,1.49,2.26,3.13,,,,,,,,,,,,,,36.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,2.29,0.98,2.12,1.0,1.0,,1.0,,1.0,,1.02,1.44
NE_1,1.15,1.88,1.16,1.41,0.79,,,,,1.77,,1.45,,,,,,,,,,,,37.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,0.98,1.0,1.0,,1.0,,1.0,,1.02,0.69
SW_2,,,,,3.18,1.73,1.19,,,,1.47,,,,,,,,,,,,,,56.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.24,1.02,1.5,1.0,1.0,,1.0,,1.0,,0.94,1.76
SW_1,,,0.58,,2.13,2.47,2.18,,1.48,,2.24,,,,,,,,,,,9.6,,,,40.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,1.07,,1.0,1.0,,1.0,,1.0,,0.88,1.92
ESE_1,1.18,1.03,1.22,,,,1.44,1.27,1.74,,,,,,,,,,,,,,,,,,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,2.08,0.91,1.88,1.0,1.0,,1.0,,1.0,,1.02,1.08
NW_1,,0.64,0.72,,,,,,,,,,2.07,5.17,,5.19,,,,,,,,,,,,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,0.96,2.37
ENE_2,1.83,1.11,1.11,1.46,,,,,,,,,,,,,,,,,,,,,,,,,68.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,2.37,0.89,2.47,1.0,1.0,,1.0,,1.0,,1.02,
WSW_1,,,,,2.1,2.01,1.58,,,,2.39,,,,2.59,,,,,,,,,,,,,,,56.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,0.99,,1.0,1.0,,1.0,,1.0,,1.02,1.06
SSW_2,,,,,2.71,2.74,1.97,,,,,,,,,,,,,,,,,,,,,,,,80.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,0.91,1.72
WSW_2,,,,,1.81,2.51,1.39,,,,2.9,,,,2.65,,,,,,,,,,,,,,,,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,0.88,1.15
SSE_1,,,1.67,,1.93,1.67,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,70.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.98,,1.0,1.0,,1.0,,1.0,,1.02,1.64
S_2,,,,,2.07,3.21,2.26,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,91.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,0.86,,1.0,1.0,,1.0,,1.0,,1.02,1.72
SW_3,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,1.07,,1.0,1.0,,1.0,,1.0,,0.85,2.41
E_3,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,2.27,1.0,2.42,1.0,1.0,,1.0,,1.0,,1.02,
S_1,,,,,3.16,,1.7,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,0.81,,1.0,1.0,,1.0,,1.0,,1.02,1.62
N_1,,1.34,,2.71,,,,,,,,2.27,,3.31,,,,,,,,,,,,,,,,,,,,,,,,85.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,0.97,,1.0,,0.93,1.19
ESE_2,,,1.25,,,,1.91,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,1.95,0.93,2.29,1.0,1.0,,1.0,,1.0,,0.9,1.58
SSW_3,,,,,,2.34,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,1.03,,1.0,1.0,,1.0,,1.0,,0.85,1.69
E_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,0.8,,1.0,1.0,,1.0,,1.0,,0.9,
NE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,1.02,
NNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,1.02,1.64
NW_2,,,,,,,,,,,,,,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.96,,1.0,1.0,,1.0,,1.0,,1.02,1.47
SSW_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,0.78,2.64
N_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,1.02,
ESE_3,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.45,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,0.85,,1.0,1.0,,1.0,,1.0,,1.02,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.45,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,0.8,,0.75,
WSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.79,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,,
SSW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,,2.81
N_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,1.0,1.0,,1.0,,1.0,,1.02,
NNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,1.02,2.81
NW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,1.07,,1.0,1.0,,1.0,,1.0,,,2.81
WSW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSW_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNW_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5_0,0.96,1.0,0.92,1.04,1.0,1.02,0.99,0.95,0.93,1.06,1.07,1.02,1.09,1.09,1.05,1.08,1.13,0.98,0.94,1.1,0.98,1.1,0.89,1.06,1.02,1.11,0.68,1.16,0.86,0.98,1.18,1.12,0.9,0.9,1.14,0.94,0.77,1.18,0.87,0.72,0.41,1.18,1.18,1.18,1.18,1.18,0.96,0.96,0.64,0.71,,1.18,1.18,1.18,1.18,1.01,1.18,1.18,,1.18,0.96,1.18,1.18,,,,,,,,,,1.1,1.09,0.49,1.06,0.6,1.0,1.0,1.18,1.0,1.18,1.0,1.06,1.0,1.05
PM2.5_1,1.33,1.03,1.56,0.84,0.94,0.67,1.06,1.39,1.49,0.73,0.58,0.88,0.27,0.35,0.57,0.48,0.36,1.25,1.4,,0.98,,2.11,0.6,1.01,,3.07,,2.38,1.09,,,1.36,,,1.81,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,5.01,0.75,4.2,1.0,1.0,,1.0,,1.0,,1.02,0.65
PM10_0,0.97,1.0,0.96,1.03,0.98,1.01,0.98,0.94,0.92,1.06,1.04,1.02,1.07,1.06,1.05,1.06,1.09,0.98,0.99,1.07,1.0,1.09,0.9,1.03,1.01,1.1,0.78,1.12,0.94,1.04,1.03,1.11,0.9,0.85,0.95,0.94,0.73,1.12,0.94,1.06,0.66,1.14,1.14,1.14,1.14,1.14,0.97,0.72,1.14,0.85,0.8,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.07,1.14,1.07,1.14,1.14,,,,,,,,,,1.14,1.06,0.69,1.06,0.63,1.0,1.0,1.14,1.0,1.1,1.0,1.03,1.0,1.03
PM10_1,1.28,1.0,1.4,0.84,1.1,0.78,1.15,1.53,1.58,0.65,0.69,0.8,0.29,0.4,0.47,0.43,0.44,1.22,1.26,,0.77,,2.25,0.86,1.05,,3.12,,1.89,,,,1.4,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,4.07,0.7,4.63,1.0,1.0,,1.0,,1.0,,1.01,0.71
