,E_0,ENE_0,ESE_0,NE_0,SW_0,SSW_0,S_0,SE_0,SSE_0,N_0,WSW_0,NNE_0,NW_0,NNW_0,W_0,WNW_0,NNE_1,ENE_1,E_1,NNE_2,E_2,SSW_1,SE_1,NE_1,SW_2,SW_1,ESE_1,NW_1,ENE_2,WSW_1,SSW_2,WSW_2,S_2,SSE_1,SW_3,E_3,N_1,S_1,ESE_2,SSW_3,NE_2,E_4,NNW_1,NW_2,SSW_6,N_5,ENE_3,ESE_3,WSW_4,NNW_2,SSW_4,N_4,NW_4,WSW_3,W_1,WNW_1,WSW_5,WNW_2,NE_4,SE_2,SSE_2,N_2,ESE_5,WNW_4,S_3,ESE_4,SSE_3,SE_4,NE_3,NNW_3,N_3,W_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E_0,1.52,1.6,1.39,1.31,0.64,0.79,0.76,1.21,1.01,0.97,0.74,1.09,0.87,0.98,0.97,0.8,0.83,1.34,0.77,0.8,1.12,0.56,1.27,1.18,,,1.21,0.6,1.3,0.76,,,,1.33,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,1.09,0.57,1.18,0.61,0.44,,0.63,,0.61,1.26,1.35,0.71
ENE_0,1.52,1.68,0.94,1.84,0.6,0.59,0.59,0.76,0.78,1.28,0.88,1.29,1.05,1.22,1.13,1.13,1.17,0.9,0.62,1.28,1.03,0.51,0.88,1.23,,0.65,1.01,,,1.05,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.96,1.15,0.97,1.17,1.26,,0.9,,1.17,0.95,1.95,0.68
ESE_0,2.05,1.27,1.68,0.85,0.7,0.77,1.0,1.77,1.16,0.87,0.61,0.92,0.68,0.66,0.72,0.79,0.67,0.95,1.08,0.53,1.54,,1.22,1.1,,,1.48,,0.91,,1.05,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,1.48,0.61,1.31,0.5,0.54,,0.51,,0.5,0.89,1.67,0.89
NE_0,0.99,1.86,0.61,2.24,0.61,0.55,0.52,0.68,0.54,1.36,0.8,1.86,1.41,1.51,1.27,1.2,2.03,1.06,0.64,1.62,,0.52,0.77,1.44,,0.91,0.87,,,1.78,,1.31,,,,1.62,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.66,1.05,0.78,0.45,0.49,,0.46,,0.45,1.54,0.6,0.59
SW_0,0.7,0.68,0.77,0.64,2.48,2.33,2.3,1.07,1.43,0.68,2.59,0.62,0.66,0.5,1.38,0.98,0.62,0.71,0.63,,,1.76,,,,1.06,,,,1.17,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.9,0.96,0.79,,,,,,,,2.26,1.44
SSW_0,0.81,0.58,1.08,0.54,2.66,2.54,2.76,1.29,1.77,0.56,1.54,0.66,0.54,0.4,0.96,0.68,0.29,0.63,0.63,,0.93,1.22,,,,0.83,,,,,,,,1.47,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.31,1.46,1.15,0.68,0.73,,1.05,,0.68,,2.26,1.56
S_0,1.08,0.75,1.39,0.52,1.67,2.51,2.46,1.77,1.92,0.61,0.95,0.66,0.51,0.54,0.6,0.55,0.47,0.62,,,0.98,1.22,0.94,,1.16,,,,,,2.6,,,,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.37,1.02,1.15,,,,,,,,,1.38
SE_0,1.68,1.0,1.79,0.87,0.83,1.01,1.15,2.02,1.88,0.74,0.68,0.92,0.62,0.64,0.72,0.47,0.7,0.95,1.45,0.85,,,,1.22,,,1.54,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,1.35,0.72,1.28,0.63,0.68,,0.97,,0.63,0.92,2.1,0.94
SSE_0,1.11,0.77,1.92,0.62,1.24,1.57,2.23,2.13,2.5,0.64,0.6,0.66,0.53,0.48,0.67,0.5,0.73,0.53,1.69,,0.95,0.93,1.5,,,,1.22,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,1.49,0.69,1.4,,,,,,,,,1.16
N_0,1.0,1.68,0.78,1.72,0.71,0.54,0.53,0.55,0.51,2.18,0.91,2.23,1.56,1.97,1.11,1.51,1.57,0.94,0.84,1.15,,,,1.6,,1.33,,1.61,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,0.78,3.58,0.85,,,,,,,,1.82,0.59
WSW_0,0.62,0.67,0.71,0.8,2.33,1.72,1.53,0.82,1.16,0.87,2.35,0.79,1.01,0.7,1.89,1.37,0.68,,1.22,,,1.35,,,1.7,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,0.79,1.13,0.94,,,,,,,,,1.44
NNE_0,1.1,2.15,0.67,2.68,0.61,0.44,0.37,0.64,0.44,1.77,0.83,1.77,1.27,1.54,0.92,0.99,1.51,1.77,0.79,1.16,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,0.69,1.19,0.67,,,,0.72,,,,1.55,0.65
NW_0,0.69,0.93,0.59,1.17,0.66,0.54,0.46,0.46,0.51,1.84,1.03,1.23,3.04,2.78,1.4,3.08,0.91,1.04,,,,,,,,,,4.95,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,0.65,1.35,0.69,,,,0.57,,,2.23,0.61,1.44
NNW_0,0.9,1.09,0.66,1.5,0.57,0.35,0.36,0.53,0.38,2.2,0.8,1.82,3.21,3.12,0.98,2.49,0.82,,,1.77,,,,,,,,4.26,,,,,,,,,,,,,,,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.83,1.24,1.01,0.34,0.36,,0.52,,0.34,2.97,0.18,1.41
W_0,0.6,0.52,0.76,0.55,2.15,1.68,1.2,0.95,1.07,1.03,3.26,0.7,1.39,0.92,1.82,1.79,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48,0.55,2.69,0.67,,,,,,,,,1.59
WNW_0,0.65,0.77,0.69,0.89,0.91,0.71,0.62,0.7,0.51,1.51,1.59,1.23,3.52,2.08,2.12,2.64,,,,,,,,,,,,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,0.72,8.04,0.68,,,,0.47,,,,0.5,1.49
NNE_1,0.65,1.89,0.61,3.05,0.42,0.22,0.32,0.4,0.36,2.75,0.66,1.52,1.51,1.7,0.86,1.0,14.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,0.61,,0.59,,,,,,,,,0.48
ENE_1,1.5,1.04,1.14,0.89,0.67,1.08,0.57,0.76,0.82,0.59,0.4,0.65,1.4,0.47,1.01,0.74,1.68,32.64,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,1.17,0.48,1.21,0.06,0.06,,0.09,,0.06,,0.19,0.41
E_1,1.12,0.86,2.43,0.54,0.77,0.66,0.9,1.33,0.67,0.78,0.51,0.4,0.47,0.93,,,,,40.02,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.06,,0.61,,,,,,,,,0.53
NNE_2,0.7,1.7,0.72,1.5,0.31,0.31,,,,3.51,0.97,1.13,0.98,2.83,1.2,1.45,3.07,,,75.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,1.55,1.08,,,,,,,,,0.44
E_2,1.31,0.71,1.94,0.7,0.45,0.54,1.27,1.3,1.83,0.84,0.53,1.05,1.25,0.71,,,,,,,104.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,1.4,0.7,1.62,,,,,,,,,0.72
SSW_1,0.97,0.37,0.79,0.48,3.57,2.06,2.22,1.57,0.88,0.75,0.89,,,,,,,,,,,60.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.67,,0.8,,,,,,,,,2.15
SE_1,0.72,0.29,4.05,0.26,0.57,0.83,2.57,4.25,7.91,,0.51,0.57,,,,,,,,,,,70.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,3.6,0.89,2.63,,,,,,,,,2.68
NE_1,1.33,2.49,1.39,1.65,1.37,1.29,,0.76,0.48,2.43,0.92,1.99,0.85,0.88,1.19,1.47,,,,,,,,67.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,1.47,,,,,,,,,0.65
SW_2,0.39,0.49,0.45,0.56,1.67,5.14,1.81,,0.52,,1.81,,,,,1.04,,,,,,,,,160.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,1.33,,,,,,,,,2.68
SW_1,0.46,0.44,0.57,0.49,2.21,3.5,2.74,0.8,1.59,,2.12,,1.05,,,1.28,,,,,,6.69,,,,68.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,3.79
ESE_1,1.13,1.32,3.2,0.43,,0.56,2.51,1.63,1.85,0.79,,,,,2.3,,,,,,,,,,,,80.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,2.0,0.35,2.25,,,,,,,,,1.66
NW_1,,0.37,0.95,0.85,0.62,,,,0.7,0.98,,0.79,5.76,15.26,,6.97,,,,,,,,,,,,118.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,14.28
ENE_2,2.42,0.88,1.63,1.43,0.75,,0.68,,,1.07,1.55,0.86,,,,,,,,,,,,,,,,,166.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,2.96,0.43,3.47,,,,,,,,,0.69
WSW_1,1.1,0.36,1.12,0.58,1.34,1.76,1.25,0.9,1.51,0.76,1.88,1.29,,,2.85,,,,,,,,,,,,,,,96.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
SSW_2,0.3,,,,5.36,9.05,2.46,1.52,2.71,,1.46,,,,1.43,,,,,,,,,,,,,,,,218.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,4.02
WSW_2,0.3,0.61,0.61,0.6,3.19,2.41,1.87,0.93,,,3.39,,,,2.96,,,,,,,,,,,,,,,,,182.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,3.47
S_2,,1.38,1.68,,16.08,1.61,1.84,2.49,,,2.26,,,,1.88,,,,,,,,,,,,,,,,,,223.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.16,,,,,,,,,,3.7
SSE_1,0.9,0.56,2.42,,1.44,1.44,1.47,2.23,1.61,,,,,,,,,,,,,,,,,,,,,,,,,120.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,0.66,,,,,,,,,,3.7
SW_3,0.48,1.05,3.08,0.84,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,,,,,,,,5.35
E_3,0.68,0.59,1.6,,,1.34,,1.18,2.68,1.08,1.47,,,,,,,,,,,,,,,,,,,,,,,,,356.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,,2.2,,,,,,,,,0.94
N_1,,1.06,,3.8,1.48,,,,,,,1.68,,5.04,,,,,,,,,,,,,,,,,,,,,,,171.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,1.78
S_1,0.4,0.83,,0.93,1.89,4.62,1.93,,2.4,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,160.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,2.68,0.39,2.76,,,,,,,,,5.0
ESE_2,1.04,,1.78,,1.21,,1.23,3.81,1.55,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,302.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,2.84,1.2,3.77,,,,,,,,,1.96
SSW_3,,,0.62,,4.02,4.02,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,0.14,1.34
NE_2,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.12,2.94,,,,,,,,,2.17
NNW_1,0.81,3.34,,1.43,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
NW_2,,,,,,,,,,4.72,,2.84,,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,0.37,,,,,,,,,,0.98
SSW_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28
N_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESE_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.38,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,
WSW_4,,,,,26.14,,12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
