,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0_1,0.98,17.99,,,0.99,1.02,0.9,1.01,0.97,1.01,1.02,1.01,1.02,1.02,0.94,0.98,1.02,1.02
PRES_0_0,,,8694.0,,3.97,,,0.76,4.18,,,0.72,,,5.6,,0.16,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,7.32,1.02,1.03,1.09,187.88,,0.27,0.91,1.1,0.99,1.1,1.0,0.85,1.1,1.04,0.99,1.04,1.04
DEWP_1_0,0.09,1.68,,,,977.03,2.5,3.28,0.13,1.09,,0.99,2.72,,,1.1,0.63,
DEWP_0_0,,0.06,,,,9.49,803.37,0.54,,1.71,,,8.61,,,9.72,0.63,
WSPM_0_1,0.69,1.21,0.82,,0.64,1.58,0.5,21.78,0.05,0.49,0.04,0.88,0.46,,,1.15,0.97,1.04
WSPM_0_2,1.46,0.4,2.45,5.51,8.26,0.12,,0.03,165.53,0.18,,0.34,,,,1.01,0.95,0.64
WSPM_0_0,0.44,1.78,,,0.88,1.05,1.82,0.41,0.2,13.99,0.19,7.61,2.06,,0.93,1.07,1.03,1.16
WSPM_0_3,,,,,,,,,,0.14,617.36,0.19,,,,0.52,1.61,2.42
WSPM_1_0,,1.51,,,0.96,1.03,,0.75,0.39,4.95,0.27,3.32,1.11,,,0.91,1.04,1.06
WSPM_1_1,,,,,0.32,3.17,8.03,0.87,0.25,2.07,,0.66,51.53,,,1.16,0.99,
WSPM_0_4,,,,,,,,,,,,0.11,,2703.61,,0.82,0.77,
WSPM_1_2,,0.15,7.43,,5.5,,,0.19,,0.9,,,,,611.21,9.97,0.21,
PM10_0,2.69,0.72,1.44,1.49,0.92,1.09,1.37,1.03,0.98,1.06,0.82,1.08,1.15,1.0,1.43,9.41,0.42,0.42
PM10_1,0.39,4.69,,,1.55,0.64,,0.94,1.1,0.86,1.43,0.81,0.72,0.74,,0.22,11.95,1.63
PM10_2,,,,,3.54,,,0.74,,1.18,2.98,1.04,,,,0.08,7.68,75.46
