,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.53,1.0,0.96,0.46,0.73,0.83,0.33,0.89,0.19,0.38,0.93,0.59,0.78,0.52,0.23
PRES_0_1,0.94,0.92,,,0.93,0.88,0.47,0.68,0.79,0.31,0.82,0.18,0.35,0.86,0.59,0.73,0.48,0.21
PRES_0_0,,,,,,,,,,,,,,,,,,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,0.7,0.7,0.64,0.34,0.64,22.85,,0.53,0.53,0.24,0.57,0.13,0.32,0.6,0.38,0.54,0.36,0.16
DEWP_1_0,,,,,,,,,,,,,,,,,,
DEWP_0_0,,,,,,,,,,,,,,,,,,
WSPM_0_1,0.03,0.03,0.04,,0.04,0.02,0.01,0.01,0.17,0.01,,0.01,0.01,,0.04,0.03,0.02,0.01
WSPM_0_2,,,,,,0.01,,0.01,,,0.01,,,,,,,
WSPM_0_0,,,,,,,,,,,,,,,,,,
WSPM_0_3,,,,,,,,,,,,,,,,,,
WSPM_1_0,,,,,,,,,,,,,,,,,,
WSPM_1_1,,,,,,,,,,,,,,,,,,
WSPM_0_4,,,,,,,,,,,,,,,,,,
WSPM_1_2,,,,,,,,,,,,,,,,,,
PM10_0,0.21,0.21,0.14,0.07,0.21,0.18,0.08,0.15,0.17,0.07,0.22,0.04,0.08,0.19,0.1,0.14,0.15,0.12
PM10_1,0.01,0.01,,,0.01,0.01,,0.01,0.01,,,,,0.01,,0.01,,
PM10_2,,,,,,,,,,,,,,,,,,
