,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,1.0,1.0,0.71,1.0,0.98,0.64,0.84,0.91,0.49,0.94,0.3,0.58,0.97,0.76,0.84,0.66,0.38
PRES_0_1,1.01,0.99,,,1.01,0.97,0.73,0.84,0.94,0.49,0.94,0.3,0.58,0.96,0.83,0.85,0.65,0.38
PRES_0_0,8.53,,0.13,,8.06,,,7.94,3.22,,,3.21,,,1.12,5.74,20.76,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.05,1.05,0.98,0.68,0.96,,,0.92,0.88,0.52,0.9,0.32,0.72,0.93,0.75,0.89,0.67,0.39
DEWP_1_0,3.52,3.46,,,,0.29,0.41,1.92,26.99,1.59,,1.09,0.81,,,2.86,3.0,
DEWP_0_0,17.25,18.62,,,,,0.09,19.34,,3.23,,,1.87,,,11.61,,
WSPM_0_1,1.53,1.52,1.86,,1.6,0.98,1.16,0.68,22.95,1.46,,0.56,1.28,,,1.28,0.98,0.68
WSPM_0_2,2.34,2.4,0.89,0.31,2.16,14.54,,33.68,0.44,5.4,,1.8,,,,1.99,1.44,1.15
WSPM_0_0,3.01,2.98,,,3.02,2.79,,3.82,9.08,0.41,13.48,0.32,1.48,,2.66,2.49,2.05,0.72
WSPM_0_3,3.3,3.24,,,3.02,,,,,10.93,0.31,3.73,,,,3.34,1.73,0.62
WSPM_1_0,3.46,3.44,,,3.46,3.33,,3.2,6.66,0.67,10.67,0.52,3.3,,,2.74,2.56,1.13
WSPM_1_1,4.57,4.5,,,5.36,1.82,0.53,5.74,,0.91,,1.25,0.27,,,3.61,3.73,
WSPM_0_4,4.91,4.83,,,4.49,,,,,,,,,0.21,,4.27,4.0,
WSPM_1_2,8.87,9.38,,,8.4,,,,,4.36,,,,,0.13,5.97,27.1,
PM10_0,1.22,1.23,0.85,0.59,1.23,1.12,0.62,1.0,1.14,0.59,1.39,0.38,0.7,1.2,0.69,0.84,1.4,1.56
PM10_1,1.86,1.83,,,1.8,2.67,,1.61,1.6,0.9,1.25,0.54,1.07,2.32,,2.71,0.59,0.37
PM10_2,10.64,10.47,,,9.98,,,9.87,,5.38,3.64,3.46,,,,18.0,4.07,0.15
