,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1
TEMP_1_1,1.0,1.0,0.37,0.26,0.98,0.56,0.38,0.93,0.72,0.92,0.59,1.08,0.71,0.48,0.44,1.01,0.85
PRES_0_1,1.0,1.0,,,0.98,0.56,0.37,0.93,0.71,0.92,0.6,1.08,0.72,0.49,0.43,1.01,0.86
PRES_0_0,1.57,,3.1,,1.6,,,1.39,1.71,0.91,,1.56,,,1.16,1.61,
PRES_1_0,,,,,,,,,,,,,,,,,
DEWP_1_1,1.01,1.01,0.37,0.27,1.02,0.14,,0.92,0.75,0.92,0.62,1.09,0.68,0.5,0.45,1.02,0.87
DEWP_1_0,1.28,1.28,,,,1.92,0.6,1.4,0.53,1.21,,1.39,1.27,,,1.27,0.91
DEWP_0_0,1.83,1.55,,,,2.48,4.2,1.41,,1.65,,1.5,2.29,,,1.87,
WSPM_0_1,1.09,1.09,0.37,,1.05,0.71,0.36,1.24,0.4,0.98,,1.26,0.7,,0.28,1.1,0.89
WSPM_0_2,1.19,1.18,0.59,0.62,1.2,0.25,,0.49,1.55,0.73,0.23,1.0,0.2,,,1.19,0.93
WSPM_0_0,1.25,1.25,,,1.22,0.74,0.62,1.15,0.55,1.65,0.41,1.76,1.26,,0.6,1.27,1.17
WSPM_0_3,1.28,1.28,,,1.29,,,,0.52,0.72,1.87,0.84,,,,1.28,1.27
WSPM_1_0,1.29,1.29,,,1.26,0.73,,1.21,0.71,1.51,0.48,1.61,1.08,,,1.3,1.16
WSPM_1_1,1.36,1.37,,,1.24,1.19,1.05,1.36,,1.25,,1.12,2.07,,,1.38,1.38
WSPM_0_4,1.38,1.39,,,1.4,,,,,,,0.86,,2.31,,1.36,0.95
WSPM_1_2,1.59,1.49,,,1.61,,,1.36,,1.55,,1.34,,,3.07,1.62,
PM10_0,1.01,1.01,0.39,0.27,0.99,0.57,0.4,0.94,0.73,0.94,0.59,1.1,0.74,0.48,0.47,1.03,0.77
PM10_1,1.27,1.27,,,1.27,0.51,,1.17,0.91,0.96,0.9,1.19,0.69,0.5,,1.21,1.75
