,E_0,ENE_0,ESE_0,NE_0,SW_0,SSW_0,S_0,SE_0,SSE_0,N_0,WSW_0,NNE_0,NW_0,NNW_0,W_0,WNW_0,NNE_1,ENE_1,E_1,NNE_2,E_2,SSW_1,SE_1,NE_1,SW_2,SW_1,ESE_1,NW_1,ENE_2,WSW_1,SSW_2,WSW_2,S_2,SSE_1,SW_3,E_3,N_1,S_1,ESE_2,SSW_3,NE_2,E_4,NNW_1,NW_2,SSW_6,N_5,ENE_3,ESE_3,WSW_4,NNW_2,SSW_4,N_4,NW_4,WSW_3,W_1,WNW_1,WSW_5,WNW_2,NE_4,SE_2,SSE_2,N_2,ESE_5,WNW_4,S_3,ESE_4,SSE_3,SE_4,NE_3,NNW_3,N_3,W_2,nan_0,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E_0,0.71,0.71,0.67,0.7,0.65,0.66,0.63,0.62,0.6,0.63,0.64,0.59,0.6,0.57,0.58,0.58,0.62,0.61,0.53,0.66,0.62,0.53,0.68,0.71,0.68,0.68,0.6,0.65,0.62,0.53,0.56,0.85,0.73,0.6,,0.45,,0.58,0.58,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.85,1.33,0.82,1.38,1.38,,1.38,,1.38,0.5,1.32,0.83
ENE_0,0.72,0.71,0.68,0.66,0.66,0.66,0.65,0.64,0.63,0.61,0.61,0.57,0.6,0.58,0.56,0.6,0.54,0.59,0.51,0.63,0.63,0.58,0.62,0.58,0.72,0.62,0.57,0.59,0.43,0.52,,0.43,,0.73,,0.68,0.58,0.58,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,0.9,1.34,0.82,1.39,1.39,,1.39,,1.39,0.48,1.33,0.84
ESE_0,0.75,0.75,0.7,0.72,0.67,0.66,0.66,0.66,0.62,0.65,0.64,0.63,0.59,0.61,0.55,0.61,0.61,0.62,0.54,0.64,0.66,0.76,0.5,0.59,0.61,0.8,0.52,0.61,0.53,0.53,,,0.52,0.63,,0.73,,0.7,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.9,1.38,0.84,1.42,1.42,,1.42,,1.42,0.49,1.36,0.84
NE_0,0.73,0.73,0.73,0.69,0.7,0.7,0.65,0.64,0.64,0.64,0.63,0.58,0.62,0.62,0.63,0.62,0.6,0.58,0.72,0.73,0.68,0.63,0.7,0.61,0.6,0.59,0.72,0.59,0.57,0.74,,0.48,,,,,0.49,,,,0.62,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,0.99,1.4,0.91,1.45,1.45,,1.45,,1.45,0.63,1.38,0.87
SW_0,0.8,0.8,0.76,0.77,0.67,0.66,0.68,0.71,0.74,0.67,0.64,0.65,0.65,0.62,0.59,0.62,0.63,0.82,0.72,0.68,0.74,0.55,0.57,0.53,1.0,0.49,0.68,,0.6,0.71,0.5,0.63,0.49,,,,,0.61,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.95,1.45,0.88,1.5,1.5,,1.5,,1.5,0.47,1.44,0.86
SSW_0,0.78,0.81,0.77,0.8,0.68,0.67,0.67,0.67,0.66,0.7,0.65,0.69,0.63,0.64,0.57,0.61,0.68,0.63,0.57,0.87,0.76,0.51,0.64,0.55,0.5,0.57,0.67,,,0.69,0.52,0.67,0.77,0.46,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,0.9,1.46,0.88,1.5,1.5,,1.5,,1.5,0.38,1.43,0.87
S_0,0.8,0.81,0.79,0.78,0.68,0.67,0.67,0.71,0.65,0.69,0.66,0.69,0.69,0.74,0.57,0.66,0.68,0.81,0.61,,0.7,0.59,0.54,0.81,0.65,0.41,0.5,,,0.55,0.63,0.67,0.73,0.56,,,,0.8,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,0.89,1.47,0.88,1.51,1.51,,1.51,,1.51,0.51,1.45,0.87
SE_0,0.79,0.79,0.73,0.78,0.68,0.68,0.67,0.67,0.64,0.71,0.63,0.72,0.67,0.72,0.57,0.57,0.77,0.7,0.61,0.85,0.57,0.59,0.57,0.78,0.71,0.82,0.59,,,0.6,0.66,,0.62,0.56,,0.65,,0.72,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,0.9,1.46,0.86,1.51,1.51,,1.51,,1.51,0.52,1.45,0.89
SSE_0,0.8,0.79,0.78,0.81,0.7,0.69,0.69,0.68,0.66,0.68,0.65,0.7,0.69,0.66,0.62,0.69,0.68,0.59,0.76,0.66,0.53,0.71,0.55,0.74,0.68,0.52,0.52,,,0.52,0.74,,0.75,0.69,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,0.9,1.48,0.84,1.53,1.53,,1.52,,1.52,0.58,1.46,0.89
N_0,0.79,0.79,0.77,0.74,0.78,0.81,0.73,0.69,0.73,0.66,0.71,0.65,0.69,0.63,0.6,0.66,0.52,0.76,0.6,0.5,0.54,0.74,,0.64,0.77,0.83,0.51,0.68,0.67,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.11,1.5,0.94,1.55,1.55,,1.55,,1.55,0.7,1.48,0.95
WSW_0,0.85,0.79,0.78,0.76,0.7,0.73,0.76,0.77,0.78,0.71,0.65,0.67,0.73,0.7,0.61,0.62,0.6,0.73,1.02,0.65,,0.63,0.65,0.59,0.81,0.69,0.62,,0.63,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.1,1.51,0.96,1.57,1.57,,1.57,,1.57,0.63,1.5,0.93
NNE_0,0.8,0.79,0.77,0.76,0.79,0.76,0.74,0.67,0.76,0.68,0.7,0.66,0.65,0.65,0.63,0.6,0.64,0.87,0.6,0.64,0.67,0.53,0.7,0.67,,0.95,,0.74,0.79,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.09,1.53,0.94,1.58,1.58,,1.58,,1.58,0.6,1.51,0.95
NW_0,0.82,0.82,0.82,0.76,0.79,0.86,0.79,0.72,0.79,0.66,0.71,0.63,0.63,0.64,0.65,0.6,0.63,0.79,0.79,0.68,0.63,,,,,0.76,0.74,0.58,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,2.03,1.59,1.36,1.64,1.64,,1.64,,1.64,0.82,1.57,0.97
NNW_0,0.85,0.84,0.85,0.8,0.86,0.87,0.85,0.73,0.8,0.69,0.73,0.69,0.66,0.64,0.64,0.62,0.66,0.97,0.75,0.62,,,,0.55,,,,0.54,,0.72,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.66,1.61,1.29,1.67,1.67,,1.67,0.65,1.67,0.8,1.59,0.99
W_0,0.87,0.85,0.85,0.8,0.8,0.79,0.81,0.79,0.77,0.75,0.72,0.76,0.71,0.65,0.65,0.63,0.72,0.68,0.91,0.68,,,,,,0.65,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.32,1.62,1.07,1.67,1.67,,1.67,,1.67,,1.6,1.02
WNW_0,0.87,0.84,0.85,0.8,0.76,0.82,0.84,0.9,0.81,0.68,0.73,0.71,0.66,0.64,0.66,0.64,0.66,1.02,,0.65,,,,,,0.65,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.47,1.62,1.3,1.68,1.68,,1.68,,1.68,0.64,1.61,0.99
