,TEMP_1_1,PRES_0_1,PRES_0_0,PRES_1_0,DEWP_1_1,DEWP_1_0,DEWP_0_0,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_0_3,WSPM_1_0,WSPM_1_1,WSPM_0_4,WSPM_1_2,PM10_0,PM10_1,PM10_2
TEMP_1_1,1.0,0.99,0.28,0.27,0.97,0.5,0.47,1.1,0.75,1.73,0.56,2.85,1.19,0.42,0.5,1.17,1.41,1.23
PRES_0_1,1.0,1.01,,,0.97,0.5,0.44,1.1,0.73,1.75,0.57,2.85,1.21,0.43,0.47,1.16,1.43,1.25
PRES_0_0,1.0,,18.9,,1.06,,,1.08,2.03,0.61,,2.52,,,1.86,1.32,0.56,
PRES_1_0,,,,,,,,,,,,,,,,,,
DEWP_1_1,1.0,1.0,0.29,0.3,1.06,0.02,,1.05,0.81,1.72,0.62,2.85,1.03,0.46,0.53,1.17,1.43,1.26
DEWP_1_0,0.98,1.0,,,,5.71,1.62,1.63,0.13,1.87,,2.85,2.85,,,1.13,1.16,0.77
DEWP_0_0,0.92,0.73,,,,3.58,35.36,0.88,,2.16,,2.48,4.09,,,1.22,1.4,
WSPM_0_1,1.0,1.0,0.23,,0.93,0.73,0.46,1.77,0.17,1.78,0.08,3.39,1.17,0.03,0.2,1.19,1.38,1.25
WSPM_0_2,1.0,0.98,0.67,1.5,1.05,0.06,,0.2,3.21,0.71,0.07,1.56,0.1,,,1.18,1.31,0.71
WSPM_0_0,1.0,1.0,,,0.96,0.55,0.78,1.1,0.26,3.82,0.15,5.05,1.99,,0.65,1.17,1.51,1.55
WSPM_0_3,1.0,1.01,,,1.06,,,0.04,0.15,0.51,5.24,0.92,,,,1.04,1.66,2.53
WSPM_1_0,1.0,1.0,,,0.97,0.54,,1.2,0.39,2.81,0.2,3.81,1.19,,,1.16,1.45,1.45
WSPM_1_1,1.0,1.01,,,0.82,1.38,2.32,1.29,,2.07,,2.17,6.95,,,1.15,1.59,0.78
WSPM_0_4,1.0,1.01,,,1.06,,,0.12,,,,0.56,,9.2,,1.1,1.29,
WSPM_1_2,1.0,0.91,,,1.06,,,0.77,,2.07,,1.61,,,18.57,1.31,0.85,
PM10_0,1.0,0.99,0.4,0.41,0.97,0.54,0.63,1.11,0.75,1.81,0.48,2.95,1.33,0.42,0.72,1.3,1.07,0.7
PM10_1,1.0,1.01,,,1.0,0.31,,1.05,0.79,1.54,0.75,2.58,0.91,0.32,,0.95,2.24,2.05
PM10_2,1.0,1.01,,,1.04,,,1.07,,1.74,1.29,2.77,,,,0.66,2.29,18.26
