,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,2.78,1.14,,,,33.32,1.96,0.84,2.2,0.58,,,33.32,1.8,1.16,0.61,0.09,0.09,33.32,1.44,1.32,0.98,1.55,3.01,6.05,2.38,1.18,0.96,33.32,1.24,1.98,2.37
TEMP_0_0,1.23,2.87,0.03,,,,0.87,2.14,1.11,0.97,,,,1.03,2.44,0.03,1.24,1.83,,1.34,1.45,1.28,0.42,3.74,6.01,3.25,3.03,1.42,,1.37,1.83,1.93
TEMP_1_1,,,5.5,,,,1.97,,1.34,,5.77,,,0.53,0.12,4.4,,,,1.15,2.38,0.58,0.62,3.97,9.08,2.06,0.47,,,1.69,1.64,0.19
TEMP_0_2,,,,13.85,,,0.15,,,3.16,,10.95,,0.89,1.56,,,4.74,,0.48,0.9,0.65,3.78,3.28,5.12,2.32,2.23,,,1.23,1.5,2.73
TEMP_0_1,,,,,17.67,,0.36,0.78,0.42,4.57,,3.67,,0.11,,,9.65,,,0.43,0.28,3.62,,3.73,5.12,2.64,1.51,7.85,,1.2,1.98,4.92
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.68,0.88,1.73,0.09,0.13,41.52,3.48,0.22,1.42,0.06,,,41.52,1.46,0.7,1.6,0.19,0.19,41.52,1.28,1.58,1.06,1.33,2.85,6.57,1.55,1.27,0.61,41.52,1.27,2.03,2.22
PRES_1_1,1.34,2.41,,,0.68,,0.3,3.54,0.11,,,,,1.0,1.67,,1.7,2.15,,1.3,1.5,1.43,0.49,3.53,6.25,3.08,2.45,1.52,,1.31,1.83,2.34
PRES_1_0,2.05,1.46,1.0,,,,1.42,0.07,4.89,,,,,1.56,1.69,1.05,0.3,,,1.02,1.42,1.08,1.51,3.76,6.36,2.52,1.76,1.11,,1.51,1.84,1.08
PRES_1_2,1.22,1.43,,2.99,4.55,,0.12,,,8.3,,,,1.04,2.67,,2.42,,,1.23,0.88,1.05,1.16,4.87,6.66,3.95,2.34,2.73,,1.35,1.8,2.13
