,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.65,0.37,,,,,1.2,0.89,1.23,0.76,,,,1.26,0.97,0.75,0.3,0.31,,1.07,0.86,0.9,1.18,0.97,1.08,1.14,0.99,0.87,,0.96,1.05,1.04
TEMP_0_0,0.36,1.67,,,,,0.72,1.42,0.94,0.97,,,,0.93,1.29,0.16,1.11,1.35,,1.08,1.03,1.09,0.65,0.91,0.81,0.93,1.16,1.05,,0.99,1.01,1.02
TEMP_1_1,,,2.35,,,,1.3,,0.94,,2.36,,,0.73,0.23,2.1,,,,0.94,1.33,0.73,0.75,1.12,1.19,0.85,0.55,,,1.12,0.9,
TEMP_0_2,,,,3.72,,,0.3,,,1.74,,3.31,,0.87,1.12,,,2.17,,0.59,0.82,0.74,1.91,1.06,0.95,0.84,1.14,,,1.01,0.9,1.28
TEMP_0_1,,,,,4.2,,0.36,0.84,,2.14,,1.91,,0.23,,,3.11,,,0.58,0.42,1.77,,1.15,0.94,1.05,0.96,2.49,,0.9,0.98,1.58
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.22,0.69,1.3,0.3,0.36,,1.84,0.15,0.48,,,,,1.18,0.62,1.25,0.43,0.44,,1.02,1.03,0.96,1.11,0.91,1.08,0.76,0.81,0.78,,0.9,1.11,1.1
PRES_1_1,0.89,1.42,,,0.82,,0.16,1.88,,,,,,0.91,1.17,,1.3,1.47,,1.03,1.01,1.13,0.65,0.9,0.92,1.11,1.17,1.09,,1.01,0.98,1.04
PRES_1_0,1.21,0.97,0.96,,,,0.47,,2.16,,,,,1.16,1.02,1.0,0.55,,,0.92,0.98,0.99,1.2,1.0,0.97,0.98,1.05,0.81,,1.06,0.96,0.71
PRES_1_2,0.76,0.98,,1.73,2.13,,,,,2.88,,,,0.88,1.47,,1.56,,,1.0,0.75,0.95,1.07,1.31,1.06,1.23,1.11,1.41,,1.02,1.01,0.89
PRES_0_1,,,2.35,,,,,,,,4.0,,,,,2.41,,,,1.22,1.34,,,1.24,1.15,0.97,,,,1.1,0.95,
PRES_1_3,,,,3.32,1.93,,,,,,,4.22,,0.49,0.84,,1.44,2.47,,0.65,0.93,1.2,1.4,0.78,0.77,1.0,1.07,1.41,,1.03,0.67,1.67
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.25,0.94,0.73,0.86,0.23,,1.18,0.91,1.16,0.88,,0.47,,1.48,0.34,,,,,1.12,0.86,1.09,1.29,0.77,0.85,0.56,0.35,,,0.87,1.12,1.2
DEWP_0_0,0.99,1.28,0.21,1.12,,,0.62,1.18,1.02,1.46,,0.84,,0.32,2.23,,,,,0.72,1.16,0.74,0.54,1.32,1.28,1.54,1.62,1.26,,1.18,0.77,0.27
DEWP_1_1,0.75,0.15,2.1,,,,1.25,,0.99,,2.42,,,,,2.42,,,,0.97,1.41,0.49,0.77,1.03,1.18,0.79,0.57,,,1.05,1.05,
DEWP_0_2,0.3,1.12,,,3.11,,0.44,1.3,0.56,1.56,,1.43,,,,,3.15,,,0.98,0.51,1.53,,1.11,0.88,1.18,1.08,1.86,,0.98,0.87,1.5
DEWP_0_1,0.31,1.35,,2.18,,,0.43,1.47,,,,2.48,,,,,,3.32,,0.96,0.75,0.97,1.01,1.01,0.75,1.35,1.75,1.93,,1.1,0.8,1.08
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.07,1.08,0.94,0.57,0.58,,1.01,1.04,0.94,1.0,1.22,0.62,,1.11,0.78,0.97,0.97,0.95,,2.0,,,,,0.68,,,,,0.97,1.1,0.8
WSPM_0_1,0.86,1.03,1.33,0.82,0.43,,1.05,1.0,0.95,0.74,1.36,0.93,,0.86,1.15,1.42,0.51,0.75,,,2.0,,,,0.92,0.46,,,,1.13,0.87,0.3
WSPM_0_3,0.89,1.09,0.74,0.74,1.76,,0.95,1.13,0.99,0.95,,1.2,,1.09,0.75,0.49,1.53,0.97,,,,2.32,,,0.49,,,,,0.73,1.15,1.65
WSPM_0_4,1.18,0.65,0.75,1.91,,,1.11,0.64,1.2,1.09,,1.38,,1.29,0.57,0.77,,1.02,,,,,2.81,,,,,,,0.69,1.25,1.5
WSPM_0_0,0.96,0.93,1.12,1.06,1.1,,0.92,0.89,0.99,1.31,1.24,0.79,,0.75,1.36,1.03,1.07,1.02,,,,,,3.09,2.26,1.21,0.94,,,1.22,0.66,
WSPM_1_0,1.12,0.74,1.2,0.95,0.9,,0.99,0.93,1.07,1.06,1.15,0.77,,0.86,1.25,1.18,0.88,0.75,,0.53,0.99,0.41,,2.38,2.38,,,,,1.13,0.83,
WSPM_1_1,1.08,1.01,0.85,0.84,1.1,,0.82,1.08,0.96,1.25,0.97,1.0,,0.66,1.43,0.83,1.2,1.31,,,0.38,,,1.11,,4.39,,,,1.26,0.56,
WSPM_1_2,1.02,1.13,0.55,1.14,0.96,,0.91,1.13,0.99,1.11,,1.07,,0.52,1.51,0.57,1.08,1.75,,,,,,0.72,,,4.94,,,1.27,0.52,
WSPM_1_3,0.81,1.1,,,2.54,,0.78,1.09,0.81,1.41,,1.51,,,1.26,,1.9,1.93,,,,,,,,,,8.32,,1.28,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
