,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,1.68,0.87,,,,1.7800000000000002,1.23,0.48,1.14,0.2,,,1.7800000000000002,1.26,0.63,0.26,0.03,0.03,1.7800000000000002,0.8,0.75,0.49,0.57,1.19,2.2,0.8,0.39,0.14,1.7800000000000002,1.06,1.4,0.91
TEMP_0_0,0.99,1.7,0.01,,,,0.59,1.2,0.58,0.35,,,,0.79,1.23,0.02,0.39,0.55,,0.81,0.94,0.6,0.18,1.52,2.29,1.06,0.78,0.21,,1.13,1.31,0.78
TEMP_1_1,,,2.32,,,,1.09,,0.7,,1.5,,,0.35,0.09,1.82,,,,0.69,1.33,0.27,0.24,1.52,3.1,0.72,0.09,,,1.31,1.12,0.11
TEMP_0_2,,,,3.72,,,0.12,,,1.15,,2.59,,0.68,0.77,,,1.42,,0.32,0.51,0.32,1.39,1.21,1.77,0.85,0.63,,,1.01,1.08,0.95
TEMP_0_1,,,,,4.19,,0.33,0.46,0.3,1.58,,0.87,,0.11,,,3.06,,,0.26,0.18,1.68,,1.38,1.81,0.78,0.42,1.13,,1.07,1.46,1.96
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.03,0.62,0.76,0.02,0.03,2.1999999999999997,1.86,0.21,0.88,0.03,,,2.1999999999999997,1.01,0.43,0.67,0.06,0.06,2.1999999999999997,0.72,0.9,0.51,0.5,1.16,2.28,0.52,0.35,0.08,2.1999999999999997,1.08,1.4,0.79
PRES_1_1,0.99,1.49,,,0.16,,0.31,1.88,0.14,,,,,0.74,0.81,,0.54,0.65,,0.78,0.89,0.69,0.2,1.39,2.35,1.0,0.66,0.21,,1.09,1.33,1.01
PRES_1_0,1.3,0.99,0.45,,,,1.09,0.08,2.2,,,,,1.12,0.91,0.47,0.1,,,0.58,0.91,0.51,0.57,1.58,2.46,0.85,0.5,0.19,,1.21,1.29,0.44
PRES_1_2,0.93,0.91,,0.8,1.08,,0.13,,,2.88,,,,0.82,1.31,,0.77,,,0.72,0.59,0.48,0.41,1.73,2.3,1.32,0.69,0.42,,1.13,1.28,0.84
PRES_0_1,,,2.24,,,,,,,,3.82,,,,,2.31,,,,1.15,1.25,,,1.35,2.89,0.91,,,,1.27,0.97,0.15
PRES_1_3,,,,2.95,0.88,,0.19,,,,,4.21,,0.3,0.46,,0.66,1.83,,0.39,0.66,0.8,0.82,0.95,1.57,1.11,0.46,0.24,,1.05,1.06,1.45
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,1.35,0.96,0.26,0.2,0.01,1.37,1.11,0.52,0.96,0.3,,0.05,1.37,1.49,0.61,,,,1.37,0.79,0.66,0.62,0.67,0.89,1.97,0.44,0.14,,1.37,0.99,1.42,0.95
DEWP_0_0,1.11,1.43,0.04,0.34,,,0.59,0.79,0.63,0.74,,0.17,,0.77,2.25,,,,,0.53,1.29,0.4,0.15,2.26,2.94,1.82,1.22,0.29,,1.29,1.08,0.47
DEWP_1_1,0.33,0.04,1.89,,,,1.04,,0.84,,1.59,,,,,2.38,,,,0.74,1.44,0.14,0.26,1.55,3.19,0.62,0.14,,,1.26,1.27,0.22
DEWP_0_2,0.31,0.83,,,2.29,,0.42,1.05,0.47,0.84,,0.49,,,,,3.14,,,0.69,0.25,1.16,,1.44,1.95,1.06,0.52,0.64,,1.12,1.39,1.53
DEWP_0_1,0.39,1.13,,1.28,,,0.27,1.24,,,,1.45,,0.09,0.09,,,3.32,,0.71,0.65,0.54,0.36,1.53,1.68,1.31,1.33,0.69,,1.2,1.09,0.85
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.14,0.99,0.4,0.09,0.08,,0.78,0.67,0.72,0.35,0.37,0.09,,0.89,0.58,0.39,0.3,0.27,,1.99,0.69,0.04,0.03,0.66,2.26,0.39,0.12,,,1.17,1.38,0.51
WSPM_0_1,0.81,0.74,0.76,0.18,0.04,,0.83,0.54,0.66,0.19,0.53,0.2,,0.68,0.9,0.86,0.08,0.17,,0.33,1.99,0.18,0.12,2.16,3.65,1.22,0.51,0.06,,1.27,1.13,0.33
