,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_1_0,0.79,3.56,,,,,1.04,1.41,1.0,1.5,,,,1.07,1.22,1.59,3.69,3.57,,1.16,1.43,1.34,0.97,1.09,0.91,0.92,0.97,1.07,,1.45,1.22,1.05
TEMP_0_0,3.55,0.78,,,,,1.85,0.9,1.26,1.17,,,,1.45,0.95,7.5,1.01,0.82,,1.16,1.21,1.11,1.78,1.15,1.39,1.01,0.88,0.8,,1.4,1.3,1.08
TEMP_1_1,,,0.65,,,,1.25,,1.63,,0.57,,,2.35,7.27,0.73,,,,1.69,1.19,2.09,1.95,1.21,1.09,1.51,2.3,,,1.58,1.85,
TEMP_0_2,,,,0.52,,,7.26,,,1.19,,0.56,,2.83,1.94,,,0.91,,3.97,2.73,2.92,1.08,1.77,1.96,2.16,1.56,,,2.46,2.59,1.56
TEMP_0_1,,,,,0.49,,6.95,3.05,,1.06,,1.06,,11.38,,,0.71,,,4.26,5.55,1.35,,1.91,2.26,1.81,2.04,0.68,,3.06,2.61,1.38
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.17,1.96,1.0,3.85,3.11,,0.75,8.6,2.82,,,,,1.23,2.1,1.04,2.73,2.74,,1.34,1.28,1.37,1.11,1.25,1.12,1.32,1.17,1.21,,1.65,1.28,1.05
PRES_1_1,1.6,0.99,,,1.34,,9.14,0.73,,,,,,1.6,1.11,,0.93,0.81,,1.3,1.34,1.15,1.95,1.29,1.19,1.01,0.94,0.86,,1.49,1.43,1.17
PRES_1_0,1.3,1.7,1.57,,,,3.26,,0.69,,,,,1.42,1.45,1.49,2.46,,,1.62,1.6,1.49,1.18,1.31,1.18,1.29,1.23,1.32,,1.6,1.68,1.86
PRES_1_2,2.57,1.99,,0.92,0.72,,,,,0.59,,,,2.26,1.24,,1.06,,,1.86,2.49,1.88,1.57,1.2,1.44,1.2,1.32,0.92,,2.04,1.91,1.83
PRES_0_1,,,0.97,,,,,,,,0.5,,,,,0.94,,,,1.95,1.74,,,1.63,1.7,1.98,,,,2.38,2.59,
PRES_1_3,,,,0.64,1.08,,,,,,,0.49,,5.68,2.81,,1.55,0.88,,3.97,2.62,1.98,1.65,2.57,2.64,1.99,1.84,1.15,,2.64,3.86,1.33
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.94,1.27,1.5,1.12,4.04,,0.98,1.26,0.95,1.18,,1.93,,0.83,3.39,,,,,1.02,1.32,1.01,0.81,1.28,1.08,1.38,1.72,,,1.45,1.05,0.83
DEWP_0_0,1.68,1.26,6.6,1.2,,,2.57,1.36,1.49,0.97,,1.54,,4.95,0.68,,,,,1.99,1.36,2.01,2.52,0.98,1.03,0.88,0.82,0.87,,1.46,2.11,4.71
DEWP_1_1,2.26,10.39,0.75,,,,1.32,,1.59,,0.57,,,,,0.64,,,,1.68,1.14,3.17,1.94,1.34,1.13,1.58,2.28,,,1.71,1.62,
DEWP_0_2,6.87,1.86,,,0.53,,4.65,1.55,3.54,1.17,,1.14,,,,,0.56,,,2.04,3.8,1.25,,1.57,1.86,1.33,1.45,0.73,,2.24,2.37,1.17
DEWP_0_1,7.04,1.59,,0.82,,,4.74,1.43,,,,0.7,,,,,,0.55,,2.17,2.72,2.05,1.86,1.7,2.26,1.27,0.94,0.75,,2.09,2.72,1.66
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.4,1.37,1.46,2.08,2.05,,1.42,1.41,1.5,1.3,0.99,1.82,,1.37,1.92,1.41,1.3,1.31,,0.71,,,,,2.21,,,,,1.65,1.33,1.54
WSPM_0_1,1.75,1.46,1.05,1.51,2.82,,1.43,1.46,1.43,1.76,0.91,1.29,,1.82,1.21,0.98,2.53,1.7,,,0.72,,,,1.21,3.07,,,,1.44,1.66,4.49
WSPM_0_3,1.85,1.51,2.08,1.83,0.74,,1.68,1.43,1.56,1.52,,1.09,,1.56,2.08,3.02,0.92,1.44,,,,0.66,,,3.2,,,,,2.46,1.42,0.84
WSPM_0_4,1.61,2.93,2.32,0.82,,,1.67,2.87,1.49,1.56,,1.09,,1.52,3.26,2.26,,1.59,,,,,0.6,,,,,,,2.98,1.53,1.05
WSPM_0_0,2.51,2.65,1.99,1.87,1.68,,2.59,2.63,2.26,1.62,1.58,2.45,,3.24,1.7,2.16,1.88,2.01,,,,,,0.64,0.8,1.69,2.55,,,2.09,4.1,
WSPM_1_0,2.47,3.29,2.06,2.31,2.25,,2.4,2.83,2.56,2.2,1.87,2.75,,3.24,1.93,2.06,2.6,2.99,,3.73,2.77,5.04,,0.96,0.88,,,,,2.34,3.72,
WSPM_1_1,2.49,3.04,3.09,2.8,2.16,,3.63,2.5,2.7,2.03,2.37,2.27,,5.28,1.72,3.3,2.07,1.78,,,5.89,,,1.91,,0.5,,,,2.34,6.6,
WSPM_1_2,3.04,2.57,5.01,2.15,2.49,,3.58,2.49,2.67,2.36,,2.23,,8.85,1.71,4.84,2.37,1.45,,,,,,2.57,,,0.46,,,2.41,10.62,
WSPM_1_3,5.02,4.12,,,1.39,,5.4,3.86,5.01,2.71,,2.46,,,3.19,,2.0,1.9,,,,,,,,,,0.35,,3.6,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.14,1.1,0.9,0.88,0.97,,1.17,1.05,0.96,0.94,0.79,0.84,,1.29,0.85,0.95,0.95,0.84,,1.07,0.92,1.38,1.39,0.72,0.76,0.67,0.65,0.57,,0.89,2.59,
PM10_1,1.25,1.29,1.34,1.19,1.06,,1.16,1.31,1.27,1.14,1.12,1.56,,1.21,1.59,1.15,1.29,1.38,,1.14,1.44,1.05,0.93,1.63,1.25,1.81,1.93,,,3.38,0.82,1.74
PM10_2,2.1,2.13,,1.39,1.1,,1.92,2.04,2.87,2.13,,1.04,,1.87,7.06,,1.24,1.7,,2.6,6.55,1.22,1.28,,,,,,,,3.62,0.59
