,TEMP_1_0,TEMP_0_0,TEMP_1_1,TEMP_0_2,TEMP_0_1,nan_0,PRES_0_0,PRES_1_1,PRES_1_0,PRES_1_2,PRES_0_1,PRES_1_3,nan_0,DEWP_1_0,DEWP_0_0,DEWP_1_1,DEWP_0_2,DEWP_0_1,nan_0,WSPM_0_2,WSPM_0_1,WSPM_0_3,WSPM_0_4,WSPM_0_0,WSPM_1_0,WSPM_1_1,WSPM_1_2,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_1_0,1.0,1.0,,,,1.48,0.98,0.93,0.93,0.81,,,1.48,1.04,0.83,0.92,0.76,0.79,1.48,0.96,0.92,0.94,0.85,0.74,0.72,0.7,0.6,0.64,1.48,1.14,0.95
TEMP_0_0,1.0,1.0,1.1,,,,0.94,0.97,0.9,0.82,,,,1.05,0.94,0.65,0.8,0.79,,0.93,0.96,0.86,0.81,0.77,0.73,0.71,0.74,0.55,,1.14,0.92
TEMP_1_1,,,1.0,,,,1.07,,0.97,,0.85,,,1.14,1.2,0.99,,,,1.04,1.05,0.95,0.94,0.84,0.8,0.77,0.75,,,1.27,1.05
TEMP_0_2,,,,1.0,,,1.05,,,1.12,,0.94,,1.39,1.14,,,1.02,,1.35,1.22,1.17,1.08,0.94,0.92,0.89,0.9,,,1.47,1.23
TEMP_0_1,,,,,1.01,,1.55,1.4,1.43,1.16,,0.94,,2.05,,,1.1,,,1.28,1.09,1.26,,1.08,1.08,0.95,0.93,0.71,,1.58,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_0_0,1.03,1.02,0.94,0.79,0.67,1.38,1.0,1.0,0.96,0.69,,,1.38,1.08,0.91,0.93,0.77,0.82,1.38,1.03,0.97,0.96,0.87,0.75,0.76,0.66,0.59,0.49,1.38,1.19,0.96
PRES_1_1,1.06,1.04,,,0.75,,1.03,1.0,0.91,,,,,1.09,0.93,,0.84,0.81,,0.95,0.96,0.91,0.91,0.79,0.75,0.74,0.79,0.6,,1.18,0.97
PRES_1_0,1.08,1.08,1.04,,,,1.04,0.97,1.0,,,,,1.13,1.02,1.01,0.86,,,0.97,1.06,0.96,0.91,0.87,0.79,0.83,0.79,0.83,,1.25,1.05
PRES_1_2,1.23,1.21,,0.89,0.88,,1.41,,,1.01,,,,1.25,1.1,,0.97,,,1.15,1.16,1.07,0.97,0.92,0.9,0.84,0.82,0.69,,1.39,1.1
PRES_0_1,,,1.18,,,,,,,,0.99,,,,,1.17,,,,1.26,1.22,,,0.94,0.93,0.94,,,,1.51,1.17
PRES_1_3,,,,1.05,1.01,,1.86,,,,,1.0,,1.51,1.15,,1.11,1.06,,1.42,1.22,1.22,1.15,0.95,0.94,0.93,0.94,0.58,,1.51,1.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1_0,0.96,0.97,0.89,0.71,0.65,1.0,0.92,0.91,0.88,0.8,,0.62,1.0,1.0,0.89,,,,1.0,0.91,0.89,0.86,0.81,0.69,0.69,0.58,0.47,,1.0,1.09,0.89
DEWP_0_0,1.11,1.08,0.99,0.85,,,1.15,1.07,1.0,0.91,,0.81,,1.12,1.0,,,,,0.98,1.06,0.97,0.87,0.88,0.82,0.87,0.86,0.63,,1.27,1.04
DEWP_1_1,1.08,0.91,1.01,,,,1.07,,1.0,,0.86,,,,,1.0,,,,1.06,1.05,1.01,0.95,0.83,0.8,0.75,0.77,,,1.28,1.06
DEWP_0_2,1.29,1.25,,,0.91,,1.25,1.19,1.18,1.06,,0.86,,,,,1.01,,,1.19,1.08,1.11,,0.96,0.91,0.87,0.85,0.65,,1.42,1.16
DEWP_0_1,1.32,1.25,,0.96,,,1.13,1.21,,,,0.92,,,,,,1.0,,1.22,1.17,1.12,1.0,0.92,0.88,0.9,0.87,0.73,,1.43,1.18
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_2,1.07,1.08,0.96,0.72,0.78,,0.97,1.04,1.0,0.87,0.79,0.69,,1.09,1.05,0.94,0.83,0.82,,1.0,1.45,0.57,,0.65,0.85,0.5,0.28,,,1.22,0.93
WSPM_0_1,1.06,1.03,0.96,0.82,0.78,,1.03,1.03,0.91,0.88,0.82,0.78,,1.1,0.94,0.95,0.87,0.81,,0.69,1.0,0.83,0.96,0.91,0.76,0.88,0.82,,,1.22,0.95
WSPM_0_3,1.09,1.14,1.02,0.85,0.8,,1.02,1.08,1.03,0.94,,0.82,,1.14,1.04,0.94,0.91,0.89,,1.76,1.14,1.0,,0.79,0.85,0.78,,,,1.27,1.0
WSPM_0_4,1.19,1.21,1.01,0.91,,,1.13,1.1,1.08,1.03,,0.83,,1.22,1.06,1.05,,0.95,,,1.04,,1.0,0.84,0.94,0.8,,,,1.36,1.09
WSPM_0_0,1.37,1.29,1.18,1.02,0.91,,1.55,1.28,1.21,1.09,1.02,0.97,,1.46,1.2,1.21,1.02,1.05,,1.35,1.15,1.03,1.08,1.0,0.93,1.01,0.96,,,1.5,1.73
WSPM_1_0,1.43,1.34,1.26,1.06,0.99,,1.45,1.33,1.36,1.12,1.11,1.01,,1.47,1.2,1.28,1.06,1.1,,1.14,1.26,1.29,1.26,1.05,1.0,1.15,1.01,,,1.57,1.57
WSPM_1_1,1.39,1.38,1.25,1.09,1.23,,1.7,1.35,1.24,1.25,1.02,1.04,,1.85,1.22,1.33,1.24,1.11,,2.31,1.05,1.31,1.38,1.05,0.89,1.01,,,,1.63,2.26
WSPM_1_2,1.56,1.35,1.3,1.12,1.07,,1.72,1.32,1.36,1.22,,1.07,,2.1,1.23,1.29,1.18,1.16,,,1.2,,,0.95,1.01,0.56,1.0,,,1.64,3.83
WSPM_1_3,1.66,1.9,,,1.28,,1.67,1.66,1.47,1.44,,1.31,,,1.56,,1.42,1.37,,,,,,1.3,,,,1.0,,1.97,1.68
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.87,0.86,0.79,0.67,0.63,1.17,0.85,0.85,0.8,0.72,0.66,0.64,1.17,0.92,0.8,0.78,0.71,0.69,1.17,0.82,0.82,0.77,0.73,0.69,0.65,0.65,0.64,0.5,1.17,1.0,0.82
PM10_1,1.08,1.09,0.86,0.79,0.78,,1.01,1.02,0.96,0.93,0.74,0.73,,1.1,0.91,0.92,0.85,0.84,,1.02,0.97,0.97,0.9,0.53,0.64,0.4,,,,1.22,1.0
