,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,1123.5,,,,,1.41,1.08,0.53,0.59,0.73,,1.49,0.66,1.53,1.53,,1.11,0.94,0.87,0.9,0.94,0.88,0.94,1.58,1.18,,1.02,0.94
TEMP_0_1,,5083.99,,,,0.35,1.74,2.2,1.17,1.09,,467.9,,,,,0.91,0.88,1.69,1.09,1.37,1.17,1.04,,0.48,,1.01,1.2
TEMP_0_0,,,796.16,,23.28,0.79,,1.75,3.56,2.48,23.28,,367.48,,,23.28,0.65,1.64,0.68,1.42,0.76,1.38,1.24,,0.97,23.28,0.86,1.0
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.89,0.44,0.84,,,507.76,,,,0.11,,1.27,0.82,,,,1.18,0.98,0.8,1.17,1.06,1.2,1.1,0.64,0.65,,1.77,0.67
PRES_1_3,1.19,1.62,,,,,1565.97,,,,,1.92,0.53,1.04,1.51,,0.62,0.76,1.28,0.79,0.99,0.82,0.84,2.93,1.71,,0.58,1.52
PRES_1_1,0.3,2.56,1.91,9.01,,,,501.29,0.11,0.36,,0.32,3.12,,3.29,,1.34,0.63,0.77,1.31,1.77,0.81,1.03,,1.16,,1.48,0.75
PRES_1_0,0.39,1.07,3.6,,,,,,241.07,3.47,,0.61,1.66,,,,0.61,2.2,1.32,1.05,0.38,1.01,1.29,,1.12,,1.14,0.95
PRES_0_0,0.6,0.88,2.51,,,0.09,,0.21,4.16,110.39,,0.66,1.17,9.99,,,1.8,1.43,1.25,0.4,0.57,0.76,0.58,,,,0.41,3.02
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.32,1.47,,,,1.11,1.2,0.63,0.83,0.86,,544.64,,,0.33,,1.17,0.9,1.18,0.97,0.85,1.03,1.01,0.88,0.72,,0.99,1.05
DEWP_0_1,0.46,,7.55,4.1,12.27,0.77,0.5,2.35,1.5,1.22,12.27,,485.72,,1.0,12.27,0.47,1.38,0.55,1.13,1.55,0.95,0.99,1.31,1.93,12.27,1.11,0.81
DEWP_0_0,,,,,,,,,3.28,29.51,,,,2384.43,65.81,,12.0,,,,,,,,,,0.67,1.95
DEWP_1_0,,,,,,,,,,,,,,,285.16,,29.15,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.27,0.89,0.68,,,1.26,0.6,1.21,0.83,1.43,,1.8,0.46,3.44,2.14,,193.34,0.06,,0.11,,0.08,0.24,,,,0.42,2.73
WSPM_0_1,0.89,0.87,1.49,,,0.99,0.79,0.71,1.68,1.29,,0.76,1.37,,,,0.08,52.47,0.1,0.45,0.37,0.6,1.28,,0.21,,1.75,0.59
WSPM_0_2,0.72,1.75,0.76,4.02,,0.72,1.42,0.74,1.24,1.02,,2.01,0.51,,,,,0.08,186.31,0.2,,0.25,0.5,,,,0.86,1.52
WSPM_0_0,0.74,1.05,1.6,,,1.24,0.75,1.39,0.96,0.64,,0.88,1.18,,,,0.07,0.37,0.24,14.65,1.1,1.94,7.12,,0.52,,5.06,0.23
WSPM_1_2,0.85,1.43,0.76,,,1.02,1.01,1.98,0.4,1.0,,0.59,1.75,,,,0.1,0.37,0.14,1.27,99.12,0.57,0.28,,,,8.92,0.26
WSPM_1_1,0.76,1.13,1.42,,,1.4,0.71,0.9,0.8,0.9,,1.07,0.97,,,,,0.83,0.46,3.89,0.54,45.12,0.88,,,,6.03,0.39
WSPM_1_0,0.94,0.93,1.24,,,1.24,0.71,1.03,1.29,0.65,,1.06,1.0,,,,0.2,1.02,0.32,7.24,0.52,1.17,5.61,,,,2.65,0.39
WSPM_0_4,189.23,,,,,0.51,6.47,,,,,0.62,1.56,5.27,4.55,,,,,,,,,1432.88,,,0.17,8.51
WSPM_1_3,1.83,0.38,0.95,,,0.51,2.17,1.13,0.83,0.54,,0.39,2.53,,,,0.19,,,0.26,,,,,750.12,,1.39,0.76
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.04,0.96,0.98,1.18,3.99,1.2,0.83,1.08,0.97,0.73,3.99,0.97,1.04,0.66,0.54,3.99,0.68,1.19,0.88,1.31,1.36,1.27,1.22,0.41,1.2,3.99,11.58,0.35
PM10_1,0.9,1.08,1.08,,,0.56,1.65,0.68,1.13,2.01,,1.1,0.89,2.14,2.54,,2.48,0.48,1.42,0.24,0.06,0.27,0.4,3.26,0.36,,0.13,26.25
