,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.53,,,,,1.21,1.07,0.6,0.9,1.44,,1.1,0.73,2.46,6.59,,1.24,1.45,1.14,2.97,1.62,2.28,5.24,1.72,1.55,,1.35,1.91,2.0
TEMP_0_1,,4.68,,,,0.51,1.47,2.06,1.64,2.05,,1.34,,,,,1.07,1.4,1.93,3.52,2.24,2.94,5.76,,0.69,,1.31,2.35,2.43
TEMP_0_0,,,7.55,11.49,275.85,0.89,,1.65,3.63,3.99,275.85,,4.0,,,275.85,0.78,2.09,0.9,3.88,1.34,3.46,6.6,,1.32,275.85,1.3,2.08,1.96
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.19,0.51,0.86,,,2.26,,,0.11,0.36,,1.06,0.86,,,,1.31,1.5,1.06,3.52,1.82,2.99,5.92,0.73,0.88,,1.46,1.83,1.41
PRES_1_3,1.06,1.44,,,,,3.69,,,0.1,,1.15,0.61,1.95,6.81,,0.77,1.21,1.55,2.82,1.68,2.23,5.01,2.96,2.2,,1.18,2.03,3.04
PRES_1_1,0.55,1.93,1.72,33.06,,,,8.61,0.42,1.17,,0.65,2.05,,13.92,,1.44,1.11,1.06,3.73,2.66,1.85,5.32,,1.56,,1.45,1.84,1.71
PRES_1_0,0.65,1.06,2.7,,172.26,0.05,,0.21,9.36,6.11,172.26,0.87,1.43,,,172.26,0.79,2.62,1.58,3.34,0.83,2.95,6.56,,1.53,172.26,1.34,2.36,1.85
PRES_0_0,0.81,0.9,2.11,,,0.25,0.11,0.41,4.86,13.61,,0.91,1.13,12.01,12.13,,1.62,1.85,1.46,1.61,0.95,1.83,3.78,,,,0.94,3.06,3.67
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.09,1.34,,,,1.08,1.15,0.71,1.2,1.68,,1.34,,,1.69,,1.29,1.42,1.46,3.14,1.5,2.62,5.54,1.0,0.98,,1.33,2.11,2.21
DEWP_0_1,0.71,0.03,4.08,15.25,146.39999999999998,0.87,0.58,2.11,1.93,2.31,146.39999999999998,0.02,4.03,,5.14,146.39999999999998,0.62,1.88,0.76,3.51,2.43,2.52,5.63,1.43,2.45,146.39999999999998,1.38,1.73,1.69
DEWP_0_0,1.53,,,,,,,,4.78,11.21,,,,170.47,190.0,,3.67,,,,,,,,,,0.9,3.43,
DEWP_1_0,1.53,,,,,,,,,,,,,,252.0,,4.22,,,,,,,,,,,2.35,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.08,0.92,0.68,,,1.15,0.68,1.21,1.27,2.28,,1.14,0.53,4.46,7.7,,4.62,0.31,,0.8,0.09,0.39,2.06,,,,1.04,2.66,3.39
WSPM_0_1,0.96,0.92,1.41,,,1.02,0.84,0.81,2.07,2.51,,0.94,1.26,,,,0.25,4.54,0.32,2.88,1.31,2.57,8.21,0.17,0.47,,1.44,1.96,1.43
WSPM_0_2,0.88,1.51,0.83,18.78,,0.83,1.3,0.78,1.75,1.72,,1.15,0.58,,,,,0.43,6.37,1.36,0.26,1.14,3.93,,,,1.27,2.65,1.96
WSPM_0_0,0.89,1.04,1.49,,,1.15,0.82,1.41,1.3,1.44,,0.97,1.13,,,,0.17,0.95,0.72,8.09,2.12,4.25,11.82,,1.01,,1.62,1.21,0.81
WSPM_1_2,0.94,1.32,0.79,,,1.05,1.01,1.97,0.6,1.8,,0.86,1.48,,,,0.33,1.24,0.36,5.25,9.79,2.53,3.26,,,,1.61,1.31,
WSPM_1_1,0.9,1.1,1.35,,,1.2,0.77,0.95,1.37,2.14,,1.02,0.98,,,,,1.49,0.81,5.74,1.55,13.42,6.31,,,,1.61,1.5,0.95
WSPM_1_0,0.98,0.95,1.21,,,1.15,0.81,1.07,1.64,1.55,,1.02,1.0,,,,0.34,1.57,0.73,6.61,1.32,2.66,10.88,,,,1.54,1.38,1.07
WSPM_0_4,1.52,,,,,0.66,2.61,,,,,0.87,1.44,9.05,18.1,,,,,,,0.51,0.52,17.9,,,0.53,2.72,5.26
WSPM_1_3,1.19,0.44,0.96,,,0.66,1.66,1.14,1.2,,,0.72,1.84,,,,,,,1.46,,,0.94,,27.16,,1.46,1.38,3.29
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.03,0.95,0.96,3.41,61.47,1.15,0.89,1.19,1.16,1.33,61.47,0.99,1.07,,,61.47,0.68,1.74,0.91,4.4,2.79,3.53,6.63,0.34,2.0,61.47,1.67,1.38,0.76
PM10_1,0.93,1.15,1.1,6.0,,0.93,0.96,0.89,1.92,2.69,,1.03,0.89,3.05,5.06,,1.67,1.36,1.9,1.68,0.24,1.42,4.36,1.92,0.24,,1.04,3.23,2.24
PM10_2,1.03,0.88,1.02,,,0.63,1.77,0.68,1.47,2.99,,1.02,1.0,,10.41,,2.19,0.71,1.53,0.99,,0.7,2.53,3.18,0.66,,0.39,2.33,8.33
