,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.0,,,,,1.0,1.0,1.02,1.0,1.0,,1.0,1.01,1.0,1.0,,1.0,1.0,1.01,1.0,1.0,1.0,1.0,1.02,0.98,,1.0,1.0,1.0
TEMP_0_1,,1.0,,,,0.98,1.01,0.98,1.0,1.0,,1.0,,,,,1.0,0.99,1.0,0.99,1.0,0.99,0.99,,1.24,,1.0,1.01,1.02
TEMP_0_0,,,0.99,0.71,4.2299999999999995,1.02,,0.96,1.0,1.0,4.2299999999999995,,0.99,,,4.2299999999999995,1.0,1.0,0.96,1.01,1.0,1.02,1.01,,1.0,4.2299999999999995,1.0,0.98,0.97
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.0,1.02,1.0,,,1.0,,,1.32,1.0,,1.0,1.01,,,,1.0,1.0,1.01,1.0,1.02,1.01,1.0,1.0,1.0,,1.0,0.99,1.0
PRES_1_3,1.0,0.99,,,,,1.0,,,0.71,,1.0,1.0,1.0,1.0,,1.0,0.99,0.97,1.0,1.0,1.03,1.0,1.02,1.0,,1.0,1.0,0.99
PRES_1_1,0.96,1.0,0.97,1.0,,,,0.99,1.23,1.12,,0.98,0.98,,1.33,,1.03,0.94,1.04,0.96,0.97,1.01,0.97,,1.15,,1.0,1.03,1.05
PRES_1_0,1.0,1.0,1.0,,3.0,0.94,,0.83,1.0,1.0,3.0,1.0,1.0,,,3.0,0.94,1.05,0.96,1.04,1.41,1.01,1.03,,1.22,3.0,1.02,0.98,0.99
PRES_0_0,1.0,1.0,1.0,,,1.16,1.04,0.87,0.96,1.0,,1.02,0.97,1.04,0.94,,1.02,0.96,1.08,0.93,0.74,0.82,0.96,,,,0.93,1.04,1.01
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,1.0,1.0,,,,1.0,1.0,1.0,0.99,0.99,,1.0,,,1.0,,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.03,1.04,,1.0,1.0,1.01
DEWP_0_1,0.99,0.96,1.0,1.0,4.2299999999999995,1.01,0.98,1.0,1.0,1.02,4.2299999999999995,0.95,1.0,,1.0,4.2299999999999995,1.02,0.99,1.0,1.02,1.01,1.01,1.01,0.95,1.0,4.2299999999999995,1.01,0.99,0.96
DEWP_0_0,1.0,,,,,,,,1.18,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,0.97,1.0,
DEWP_1_0,1.0,,,,,,,,,,,,,,1.0,,1.19,,,,,,,,,,,0.93,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.0,1.0,0.95,,,1.0,1.0,0.94,1.0,0.93,,1.0,0.95,0.93,0.73,,1.0,1.1,,1.41,0.51,1.39,1.08,,,,1.02,0.99,0.92
WSPM_0_1,1.0,1.0,1.0,,,1.01,0.99,0.99,0.97,0.98,,1.0,1.01,,,,0.91,1.0,0.87,1.07,1.01,1.0,1.04,0.9,1.45,,0.98,0.94,1.04
WSPM_0_2,0.99,1.0,1.07,1.24,,0.97,1.02,0.95,1.02,0.8,,1.0,1.0,,,,,1.14,1.0,1.09,0.83,0.91,1.15,,,,1.05,0.99,0.87
WSPM_0_0,1.0,1.0,0.98,,,1.0,1.01,1.03,1.0,1.17,,1.0,0.98,,,,0.73,0.9,1.03,1.0,1.2,1.01,0.99,,1.21,,1.01,0.96,0.91
WSPM_1_2,1.0,1.0,1.0,,,1.0,1.0,1.06,1.04,1.47,,1.01,1.0,,,,1.89,1.0,1.17,0.94,1.0,1.0,0.81,,,,0.97,1.37,
WSPM_1_1,1.0,1.0,0.97,,,0.99,0.95,1.01,1.04,1.18,,1.0,0.98,,,,,1.0,1.17,0.9,0.98,1.0,0.9,,,,0.99,1.09,1.27
WSPM_1_0,1.0,0.99,0.99,,,1.01,1.01,1.03,1.04,1.15,,1.01,1.0,,,,0.83,0.97,0.94,1.02,1.09,1.04,1.0,,,,1.01,0.96,1.07
WSPM_0_4,1.0,,,,,1.0,1.0,,,,,0.97,1.05,0.97,0.95,,,,,,,0.82,0.55,1.0,,,0.98,0.96,0.95
WSPM_1_3,1.0,0.98,1.0,,,1.0,1.0,1.0,1.0,,,1.0,0.99,,,,,,,0.77,,,0.72,,1.0,,0.94,1.41,1.88
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,1.0,0.99,0.94,3.21,1.0,1.0,1.01,1.01,1.12,3.21,1.0,0.99,,,3.21,0.96,1.0,0.94,1.0,1.1,1.02,0.98,1.0,1.13,3.21,1.0,0.99,1.24
PM10_1,1.0,1.0,1.0,1.08,,1.01,0.99,0.95,1.02,0.91,,1.0,0.99,0.88,0.81,,1.02,1.02,1.03,1.03,0.54,0.92,1.1,1.0,0.57,,1.04,1.0,0.88
PM10_2,0.99,1.0,1.0,,,1.0,1.01,1.04,0.93,1.04,,0.98,1.03,,0.77,,1.04,0.83,1.07,0.88,,1.03,0.85,1.01,0.63,,0.84,1.01,1.0
