,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,1.24,,,,,0.81,0.56,0.21,0.32,0.45,,0.95,0.37,0.22,0.49,,0.61,0.75,0.5,1.2,0.6,0.74,1.69,0.43,0.33,,1.09,1.19,0.78
TEMP_0_1,,2.16,,,,0.35,0.77,0.72,0.58,0.64,,1.16,,,,,0.53,0.75,0.84,1.41,0.85,0.96,1.91,,0.15,,1.08,1.44,1.04
TEMP_0_0,,,2.71,0.6,7.26,0.61,,0.56,1.24,1.2,7.26,,1.97,,,7.26,0.37,1.07,0.39,1.48,0.49,1.16,2.15,,0.29,7.26,1.05,1.27,0.76
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,0.97,0.24,0.31,,,1.5,,,0.06,0.14,,0.92,0.43,,,,0.65,0.78,0.47,1.39,0.68,0.98,1.93,0.18,0.19,,1.18,1.14,0.58
PRES_1_3,0.86,0.66,,,,,1.92,,,0.04,,0.99,0.31,0.19,0.49,,0.38,0.63,0.68,1.14,0.63,0.74,1.65,0.74,0.47,,0.95,1.28,1.16
PRES_1_1,0.44,0.89,0.62,1.62,,,0.04,2.88,0.24,0.46,,0.56,1.02,,1.05,,0.72,0.6,0.48,1.41,0.96,0.57,1.61,,0.34,,1.15,1.16,0.77
PRES_1_0,0.52,0.49,0.97,,4.53,0.06,,0.11,3.03,2.01,4.53,0.75,0.71,,,4.53,0.4,1.4,0.7,1.39,0.33,0.97,2.2,,0.34,4.53,1.11,1.47,0.79
PRES_0_0,0.66,0.42,0.76,,,0.23,0.06,0.2,1.86,3.61,,0.8,0.56,0.89,0.9,,0.75,0.91,0.58,0.73,0.36,0.67,1.28,,,,0.86,1.72,1.34
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.88,0.62,,,,0.73,0.61,0.25,0.43,0.52,,1.16,0.01,0.05,0.14,,0.63,0.75,0.64,1.25,0.57,0.85,1.8,0.25,0.21,,1.09,1.3,0.89
DEWP_0_1,0.57,0.02,1.47,0.75,3.84,0.59,0.3,0.72,0.67,0.71,3.84,0.02,1.99,,0.42,3.84,0.31,0.97,0.34,1.4,0.88,0.85,1.85,0.35,0.52,3.84,1.1,1.08,0.65
DEWP_0_0,1.24,,,,,,,,2.06,2.95,,,,12.69,13.36,,1.69,,,,,,,,,,0.69,1.85,
DEWP_1_0,1.24,,,,,,,,,,,,,,13.63,,1.94,,,,,,,,,,,1.66,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,0.87,0.42,0.23,,,0.77,0.35,0.41,0.45,0.63,,0.99,0.26,0.33,0.5,,2.12,0.24,,0.42,0.04,0.17,0.81,,,,0.9,1.55,1.23
WSPM_0_1,0.77,0.44,0.51,,2.37,0.68,0.44,0.3,0.75,0.84,2.37,0.81,0.62,,,2.37,0.16,2.1,0.19,1.36,0.59,1.03,2.71,0.08,0.11,2.37,1.17,1.21,0.66
WSPM_0_2,0.71,0.7,0.32,0.89,,0.55,0.69,0.26,0.61,0.48,,0.99,0.29,,,,,0.34,2.5,0.72,0.16,0.46,1.5,,,,1.09,1.52,0.73
WSPM_0_0,0.72,0.48,0.54,,,0.78,0.44,0.48,0.43,0.49,,0.84,0.56,,,,0.13,0.6,0.45,2.74,0.82,1.31,3.17,,0.28,,1.24,0.85,0.34
WSPM_1_2,0.76,0.61,0.28,,,0.72,0.53,0.68,0.22,0.55,,0.76,0.75,,,,0.2,0.74,0.19,2.0,3.05,0.9,1.23,,0.29,,1.25,0.95,
WSPM_1_1,0.73,0.51,0.49,,,0.8,0.4,0.34,0.49,0.62,,0.88,0.48,,,,0.12,0.83,0.34,2.03,0.75,3.46,2.22,,,,1.24,1.05,0.41
WSPM_1_0,0.79,0.44,0.44,,,0.77,0.43,0.37,0.55,0.52,,0.88,0.5,,,,0.21,0.79,0.42,2.32,0.6,0.87,3.05,,,,1.2,0.92,0.44
WSPM_0_4,1.23,,,,,0.44,1.36,,,,,0.75,0.75,0.67,0.98,,,0.1,,,,0.2,0.2,4.21,,,0.49,1.59,1.96
WSPM_1_3,0.96,0.21,0.35,,,0.44,0.86,0.38,0.47,,,0.62,0.91,,,,,,,0.71,0.15,,0.44,,5.13,,1.12,1.02,1.41
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,0.83,0.44,0.35,0.18,1.35,0.77,0.46,0.41,0.41,0.46,1.35,0.86,0.53,,,1.35,0.36,0.91,0.42,1.69,1.04,1.15,2.1,0.11,0.44,1.35,1.29,0.96,0.39
PM10_1,0.76,0.53,0.4,0.27,,0.62,0.5,0.3,0.68,0.77,,0.89,0.45,0.23,0.29,,0.78,0.71,0.78,0.8,0.1,0.5,1.52,0.45,0.04,,0.96,1.77,0.92
PM10_2,0.84,0.41,0.37,,,0.43,0.94,0.27,0.52,0.81,,0.88,0.5,0.24,0.56,,1.04,0.37,0.63,0.41,,0.21,0.9,0.75,0.12,,0.4,1.45,2.8
