,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1
TEMP_0_2,0.94,,,,,0.95,0.93,0.99,0.9,0.81,,1.01,1.0,0.58,0.47,,0.89,0.88,0.9,0.74,0.82,0.75,0.65,0.75,0.72,,1.01,0.87
TEMP_0_1,,0.79,,,,1.3,1.02,0.87,0.93,0.88,,1.14,,,,,1.08,1.03,0.94,0.83,0.89,0.83,0.74,,1.18,,1.18,0.99
TEMP_0_0,,,0.73,,,1.27,,0.96,0.84,0.82,,,0.88,,,,1.22,1.02,1.13,0.88,1.06,0.87,0.78,,0.95,,1.26,1.07
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.04,1.13,0.95,,,0.88,,,,1.23,,1.08,1.02,,,,0.93,0.92,0.97,0.75,0.86,0.75,0.66,0.92,0.87,,1.05,0.97
PRES_1_3,1.14,0.96,,,,,0.82,,,,,1.13,1.17,0.7,0.53,,1.11,1.02,0.92,0.86,0.91,0.88,0.74,0.76,0.77,,1.17,0.92
PRES_1_1,1.42,1.03,0.99,0.4,,,,0.71,,1.34,,1.42,1.01,,0.69,,1.13,1.13,1.19,0.88,0.91,1.0,0.81,,1.01,,1.27,1.16
PRES_1_0,1.43,1.17,0.93,,,,,,0.71,0.8,,1.37,1.12,,,,1.21,1.05,1.04,0.96,1.54,0.96,0.81,,1.09,,1.29,1.13
PRES_0_0,1.45,1.28,1.03,,,2.3,,1.28,0.88,0.67,,1.45,1.22,0.59,,,1.16,1.15,1.24,1.13,0.96,0.9,1.0,,,,1.44,1.01
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.98,0.85,,,,0.95,0.9,0.92,0.83,0.76,,0.96,,,0.63,,0.87,0.87,0.83,0.72,0.82,0.72,0.63,0.82,0.81,,0.99,0.84
DEWP_0_1,1.24,,0.76,0.42,,1.16,1.18,0.86,0.88,0.85,,,0.81,,0.59,,1.18,0.95,1.11,0.83,0.86,0.85,0.74,0.85,0.77,,1.16,1.0
DEWP_0_0,1.81,,,,,,,,,0.99,,,,0.45,0.46,,1.37,,,,,,,,,,2.17,1.54
DEWP_1_0,1.98,,,,,,,,,,,,,,0.44,,1.79,,,,,,,,,,,1.76
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.17,1.09,1.07,,,1.12,1.19,0.94,0.99,0.79,,1.18,1.21,0.57,0.4,,0.79,1.67,,2.05,,,1.05,,,,1.24,0.87
WSPM_0_1,1.2,1.09,0.96,,,1.16,1.12,1.07,0.87,0.81,,1.22,1.04,,,,1.67,0.8,1.56,1.1,1.09,0.89,0.77,,,,1.15,1.12
WSPM_0_2,1.27,1.03,1.18,,,1.23,1.11,1.09,0.99,0.82,,1.23,1.27,,,,,1.68,0.75,1.4,,0.99,1.08,,,,1.27,0.93
WSPM_0_0,1.34,1.18,1.03,,,1.23,1.28,1.07,1.04,1.24,,1.34,1.15,,,,1.27,1.2,1.47,0.74,1.29,0.8,0.67,,1.21,,1.27,1.33
WSPM_1_2,1.35,1.13,1.2,,,1.26,1.22,1.03,1.41,1.43,,1.39,1.12,,,,,1.39,,0.85,0.71,1.24,0.83,,,,1.26,2.94
WSPM_1_1,1.43,1.24,1.14,,,1.3,1.3,1.21,1.16,1.15,,1.41,1.29,,,,,1.33,1.53,0.77,1.03,0.68,0.68,,,,1.35,1.93
WSPM_1_0,1.42,1.28,1.16,,,1.33,1.37,1.21,1.1,1.16,,1.43,1.27,,,,1.41,1.19,1.15,0.84,1.5,1.17,0.72,,,,1.35,1.44
WSPM_0_4,1.32,,,,,1.51,1.09,,,,,1.47,1.27,0.64,0.54,,,,,,,,,0.64,,,1.59,0.98
WSPM_1_3,1.47,1.57,1.32,,,1.59,1.26,1.26,1.19,,,1.64,1.22,,,,,,,1.01,,,,,0.6,,1.44,2.22
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.0,0.91,0.86,0.43,0.99,0.94,0.95,0.84,0.82,0.8,0.99,1.01,0.9,0.63,,0.99,0.93,0.85,0.85,0.69,0.78,0.7,0.62,0.92,0.78,0.99,0.96,0.99
PM10_1,1.18,1.04,1.0,,,1.21,1.01,1.03,0.89,0.77,,1.18,1.1,0.65,0.38,,0.95,1.02,0.99,1.1,0.65,0.97,0.81,0.75,0.63,,1.35,0.81
