,TEMP_0_2,TEMP_0_1,TEMP_0_0,TEMP_1_0,nan_0,PRES_1_2,PRES_1_3,PRES_1_1,PRES_1_0,PRES_0_0,nan_0,DEWP_0_2,DEWP_0_1,DEWP_0_0,DEWP_1_0,nan_0,WSPM_0_3,WSPM_0_1,WSPM_0_2,WSPM_0_0,WSPM_1_2,WSPM_1_1,WSPM_1_0,WSPM_0_4,WSPM_1_3,nan_0,PM10_0,PM10_1,PM10_2
TEMP_0_2,0.86,,,,,0.95,0.97,1.27,1.16,1.0,,1.03,1.18,0.6,0.57,,0.94,1.0,1.02,0.98,0.95,0.95,0.91,0.72,0.78,,1.04,1.04,0.92
TEMP_0_1,,0.58,,,,1.89,1.07,0.87,1.16,1.22,,1.2,,,,,1.31,1.34,1.0,1.17,1.03,1.1,1.18,,1.67,,1.41,1.21,1.28
TEMP_0_0,,,0.49,,,1.6,,1.03,0.81,0.89,,,0.71,,,,1.66,1.19,1.58,1.1,1.49,1.11,1.17,,1.26,,1.56,1.37,1.32
TEMP_1_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1_2,1.07,1.52,1.11,,,0.75,,,,,,1.14,1.17,,,,1.0,1.08,1.16,0.96,1.0,0.89,0.92,1.19,1.15,,1.08,1.16,1.34
PRES_1_3,1.26,0.99,,,,,0.63,,,,,1.23,1.58,,,,1.45,1.3,1.03,1.28,1.12,1.25,1.25,0.67,0.81,,1.38,1.25,0.87
PRES_1_1,2.12,1.05,1.09,,,,,0.47,,,,1.98,1.02,,,,1.33,1.71,1.61,1.21,1.05,1.38,1.29,,1.19,,1.48,1.61,1.79
PRES_1_0,2.0,1.44,0.87,,,,,,0.47,1.24,,1.76,1.25,,,,1.8,1.16,1.26,1.45,2.4,1.44,1.16,,1.33,,1.68,1.34,1.59
PRES_0_0,1.96,1.71,1.08,,,,,,1.4,0.43,,1.9,1.55,0.39,,,1.31,1.47,1.53,1.85,1.73,1.52,2.22,,,,2.47,1.27,1.14
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_0_2,0.99,0.82,,,,0.98,0.91,1.13,0.97,0.93,,0.9,,,,,0.9,0.99,0.87,0.92,0.97,0.86,0.86,0.93,0.98,,1.04,0.96,0.9
DEWP_0_1,1.58,,0.58,,,1.39,1.62,0.81,0.97,1.06,,,0.61,,,,1.67,1.09,1.56,1.1,0.94,1.13,1.12,0.95,0.79,,1.27,1.33,1.22
DEWP_0_0,2.52,,,,,,,,,0.81,,,,0.17,,,1.5,,,,,,,,,,,2.18,
DEWP_1_0,2.91,,,,,,,,,,,,,,0.16,,1.99,,,,,,,,,,,,
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPM_0_3,1.32,1.32,1.43,,,1.26,1.56,1.08,1.5,0.92,,1.31,1.75,0.5,0.47,,0.59,,,,,,3.13,,,,1.88,1.04,0.84
WSPM_0_1,1.41,1.34,1.03,,,1.35,1.4,1.42,0.93,1.05,,1.44,1.14,,,,,0.6,,,,2.38,1.49,,,,1.3,1.33,1.64
WSPM_0_2,1.57,1.11,1.54,,,1.59,1.24,1.47,1.14,1.15,,1.39,1.8,,,,,,0.53,,,,2.79,,,,1.87,1.08,1.12
WSPM_0_0,1.7,1.45,1.17,,,1.47,1.69,1.22,1.35,2.14,,1.65,1.39,,,,,,,0.59,2.13,1.39,0.64,,,,1.32,2.59,2.62
WSPM_1_2,1.69,1.32,1.64,,,1.57,1.53,1.12,2.46,1.74,,1.8,1.25,,,,,,,1.94,0.46,,,,,,1.28,4.06,
WSPM_1_1,1.89,1.57,1.36,,,1.59,1.87,1.62,1.76,1.55,,1.79,1.68,,,,,4.69,,1.39,,0.42,,,,,1.44,3.18,
WSPM_1_0,1.82,1.69,1.45,,,1.65,1.92,1.6,1.38,1.7,,1.81,1.67,,,,3.87,1.92,2.59,0.79,,,0.66,,,,1.52,2.29,3.13
WSPM_0_4,1.5,,,,,2.23,1.07,,,,,2.0,1.52,,,,,,,,,,,0.36,,,4.35,1.26,0.93
WSPM_1_3,1.88,2.74,1.86,,,2.44,1.48,1.68,1.69,,,2.43,1.38,,,,,,,,,,,,0.32,,1.67,4.48,2.41
nan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM10_0,1.08,1.04,0.99,,,0.99,1.09,0.91,0.99,1.36,,1.11,0.97,,,,1.36,0.96,1.2,0.78,0.77,0.76,0.79,1.91,0.75,,0.86,2.39,
PM10_1,1.32,1.1,1.08,,,1.32,1.22,1.21,1.01,0.8,,1.27,1.27,0.6,,,0.95,1.22,0.9,2.0,2.1,1.62,1.53,0.78,2.22,,2.98,0.71,1.74
PM10_2,1.56,1.55,1.39,,,2.0,1.14,1.79,1.53,1.01,,1.58,1.57,,,,1.05,1.91,1.29,2.86,,,2.16,0.76,1.21,,,2.37,0.5
