,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.43,1.3,1.33,1.12,0.72,0.66,0.71,1.21,0.95,0.99,0.83,0.79,0.76,0.86,0.67,0.88,0.93,1.28,0.95,1.23,0.92,1.06,0.94,1.06,0.99,0.97,1.0,1.34,1.03,0.68
E,1.28,1.37,1.08,1.37,0.81,0.55,0.86,0.94,1.23,0.83,0.8,0.65,0.93,1.06,0.57,0.79,0.93,1.22,0.94,1.19,1.0,0.94,1.03,0.95,1.08,0.87,1.0,1.23,1.03,0.71
NE,1.22,1.03,1.5,0.85,0.78,0.91,0.65,1.3,0.88,1.03,0.78,0.84,0.61,0.64,0.71,0.93,0.97,1.12,0.96,1.08,0.83,1.15,0.83,1.16,0.9,1.08,1.0,1.27,1.02,0.72
ESE,1.12,1.34,0.9,1.52,0.77,0.43,0.92,0.87,1.53,0.73,0.72,0.54,1.2,1.32,0.53,0.74,0.95,1.24,0.95,1.21,1.1,0.86,1.1,0.89,1.18,0.82,1.0,1.29,1.03,0.86
SW,0.76,0.81,0.78,0.85,2.07,0.73,1.87,0.62,0.99,0.65,1.74,0.56,1.53,1.22,0.86,1.23,1.05,0.8,1.04,0.81,1.18,0.88,1.09,0.93,1.08,0.96,1.0,0.48,1.01,1.24
NW,0.58,0.53,0.73,0.48,0.55,2.71,0.43,0.81,0.41,1.28,0.63,2.16,0.3,0.34,2.51,1.1,1.07,0.69,1.04,0.82,0.71,1.32,0.8,1.25,0.62,1.45,1.0,0.97,0.88,1.5
SSW,0.82,0.92,0.7,1.06,1.8,0.46,2.15,0.76,1.23,0.62,1.35,0.49,1.93,1.68,0.64,0.96,1.04,0.95,1.04,0.91,1.28,0.76,1.23,0.76,1.22,0.77,1.0,,1.02,1.18
NNE,1.24,1.02,1.38,0.9,0.61,1.0,0.56,1.69,0.67,1.49,0.84,1.31,0.52,0.55,0.9,0.89,1.0,0.93,1.0,0.94,0.97,1.0,1.02,0.97,1.06,0.91,1.0,1.6,1.0,0.81
SE,0.93,1.15,0.86,1.42,0.99,0.42,1.18,0.78,1.81,0.63,0.72,0.41,1.48,1.82,0.4,0.64,0.98,1.18,1.0,1.14,1.14,0.9,1.09,0.9,1.15,0.85,1.0,0.85,1.03,0.94
N,1.02,0.88,1.18,0.72,0.56,1.43,0.5,1.5,0.53,1.89,0.67,1.91,0.54,0.56,1.22,0.75,1.01,0.9,1.01,0.88,0.89,1.1,0.92,1.07,0.89,1.1,1.0,0.85,0.98,1.04
WSW,0.67,0.73,0.66,0.72,1.91,0.92,1.57,0.73,0.75,0.79,2.42,0.76,1.24,0.95,1.2,1.96,1.08,0.61,1.07,0.68,1.1,0.89,1.04,0.96,0.99,1.05,1.0,0.68,1.0,1.24
NNW,0.7,0.64,0.9,0.5,0.47,2.22,0.44,1.19,0.42,1.79,0.61,2.61,0.42,0.38,1.86,0.81,1.06,0.73,1.05,0.83,0.78,1.22,0.79,1.22,0.71,1.34,1.0,1.35,0.92,1.41
S,0.92,1.02,0.76,1.23,1.43,0.42,1.84,0.77,1.51,0.62,1.08,0.46,2.06,1.86,0.54,0.75,1.01,1.03,1.02,0.98,1.24,0.77,1.19,0.8,1.24,0.73,1.0,,1.03,1.05
SSE,0.94,1.12,0.81,1.44,1.13,0.37,1.48,0.79,1.66,0.68,0.85,0.43,1.88,2.0,0.41,0.67,0.99,1.17,1.01,1.14,1.24,0.77,1.22,0.8,1.22,0.77,1.0,0.92,1.03,0.99
WNW,0.63,0.6,0.7,0.57,0.68,2.53,0.55,0.9,0.48,1.29,1.03,1.84,0.47,0.46,2.82,1.74,1.06,0.72,1.04,0.79,0.89,1.18,0.95,1.09,0.75,1.33,1.0,,0.9,1.38
W,0.67,0.71,0.71,0.81,1.47,1.35,1.15,0.74,0.73,0.99,2.05,1.14,0.91,0.84,1.72,2.24,1.08,0.63,1.06,0.69,1.0,1.02,1.02,0.98,0.93,1.1,1.0,,1.01,1.18
PM2.5_0,0.93,0.92,0.95,0.91,1.01,1.15,0.99,1.02,0.9,1.07,1.07,1.14,0.95,0.92,1.15,1.09,1.11,0.54,1.1,0.68,1.05,0.94,1.02,0.97,1.01,1.0,1.0,1.17,0.99,1.13
PM2.5_1,1.28,1.33,1.19,1.36,0.93,0.39,1.03,0.95,1.38,0.72,0.72,0.44,1.15,1.29,0.4,0.62,0.58,2.93,0.63,2.37,0.78,1.27,0.89,1.17,0.91,1.05,1.0,,1.03,0.47
PM10_0,0.94,0.93,0.96,0.92,0.98,1.13,0.97,1.03,0.9,1.09,1.04,1.14,0.95,0.91,1.14,1.07,1.1,0.59,1.1,0.62,1.04,0.93,1.01,0.96,1.02,0.97,1.0,1.21,0.99,1.11
PM10_1,1.21,1.26,1.15,1.29,1.05,0.51,1.12,0.91,1.35,0.7,0.87,0.51,1.16,1.31,0.51,0.75,0.67,2.5,0.65,2.41,0.85,1.26,0.94,1.15,0.89,1.13,1.0,,1.02,0.6
TEMP_1,1.01,1.05,0.93,1.1,1.11,0.84,1.2,1.01,1.1,0.95,1.09,0.86,1.21,1.18,0.93,1.03,1.04,0.85,1.03,0.9,1.63,0.28,1.55,0.4,1.62,0.37,1.0,1.8,1.01,1.03
TEMP_0,0.99,0.95,1.08,0.89,0.87,1.18,0.77,0.99,0.89,1.06,0.9,1.16,0.76,0.79,1.08,0.96,0.96,1.17,0.96,1.11,0.27,1.83,0.37,1.7,0.28,1.73,1.0,0.08,0.98,0.97
PRES_0,0.99,1.05,0.9,1.08,1.15,0.81,1.25,0.97,1.12,0.91,1.14,0.83,1.25,1.21,0.93,1.09,1.02,0.94,1.02,0.98,1.53,0.38,1.74,0.2,1.56,0.43,1.0,1.8,1.01,1.04
PRES_1,1.01,0.95,1.11,0.91,0.83,1.2,0.73,1.03,0.87,1.1,0.85,1.19,0.73,0.77,1.08,0.9,0.97,1.07,0.98,1.03,0.44,1.67,0.21,1.86,0.4,1.61,1.0,0.15,0.98,0.96
DEWP_1,1.06,1.1,0.97,1.16,1.13,0.68,1.22,1.0,1.17,0.91,1.09,0.72,1.25,1.23,0.75,1.0,1.01,0.96,1.01,0.94,1.57,0.33,1.52,0.41,1.78,0.18,1.0,1.9,1.02,0.91
DEWP_0,0.94,0.9,1.03,0.83,0.86,1.34,0.76,1.0,0.82,1.1,0.91,1.3,0.73,0.76,1.26,1.01,0.99,1.05,0.98,1.06,0.4,1.72,0.44,1.63,0.17,1.88,1.0,,0.97,1.09
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0
RAIN_1,1.15,1.0,0.99,1.2,,,1.01,0.83,1.05,,,,1.03,1.38,,,1.05,0.93,1.07,0.77,1.65,,1.64,,1.79,,1.0,33.87,0.97,1.28
WSPM_0,1.09,1.09,1.06,1.1,1.02,0.78,1.03,1.03,1.1,0.94,1.02,0.81,1.08,1.09,0.8,1.0,0.98,1.07,0.98,1.04,1.02,0.96,1.02,0.98,1.06,0.91,1.0,1.09,1.03,0.84
WSPM_1,0.7,0.67,0.79,0.64,0.92,1.76,0.88,0.89,0.63,1.2,0.93,1.66,0.73,0.7,1.69,1.02,1.09,0.75,1.07,0.84,0.93,1.12,0.95,1.07,0.79,1.3,1.0,0.69,0.91,1.57
