,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.99,0.13,0.91,0.39,0.91,0.38,0.97,0.37,0.78,0.53,0.13
TEMP_0,0.15,0.99,0.39,0.94,0.37,0.94,1.0,0.39,0.78,0.53,0.22
PRES_0,0.94,0.34,0.99,0.13,0.91,0.41,0.99,0.37,0.76,0.55,0.15
PRES_1,0.43,0.9,0.14,0.99,0.44,0.9,0.98,0.4,0.8,0.5,0.2
DEWP_1,0.95,0.33,0.91,0.41,0.99,0.12,1.02,0.31,0.76,0.55,0.14
DEWP_0,0.42,0.9,0.44,0.9,0.12,0.99,0.94,0.45,0.8,0.5,0.21
WSPM_0,0.67,0.6,0.66,0.61,0.68,0.59,0.96,0.21,0.67,0.49,0.17
WSPM_1,0.91,0.82,0.86,0.88,0.73,0.98,0.75,0.84,1.06,0.55,0.15
PM10_0,0.73,0.63,0.69,0.68,0.69,0.68,0.91,0.42,0.96,0.23,0.02
PM10_1,0.83,0.72,0.84,0.72,0.84,0.72,1.14,0.34,0.39,0.92,0.13
PM10_2,0.88,1.31,0.99,1.24,0.95,1.26,1.69,0.39,0.14,0.56,0.92
