,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.08,1.02,1.06,1.02,1.05,0.83,1.55,0.97,1.26,2.6
TEMP_0,0.93,1.0,0.95,0.98,0.94,0.98,0.77,1.45,0.9,1.17,2.43
PRES_0,0.98,1.05,1.0,1.04,1.0,1.04,0.81,1.53,0.95,1.24,2.55
PRES_1,0.94,1.02,0.97,1.0,0.97,1.0,0.79,1.48,0.92,1.19,2.48
DEWP_1,0.98,1.06,1.0,1.03,1.0,1.03,0.81,1.52,0.95,1.24,2.55
DEWP_0,0.95,1.02,0.96,1.0,0.97,1.0,0.79,1.49,0.92,1.2,2.48
WSPM_0,1.2,1.3,1.23,1.27,1.23,1.27,1.0,1.88,1.18,1.51,3.13
WSPM_1,0.64,0.69,0.65,0.68,0.66,0.67,0.53,1.0,0.62,0.84,1.74
PM10_0,1.03,1.11,1.05,1.09,1.05,1.08,0.85,1.62,1.0,1.29,2.98
PM10_1,0.79,0.85,0.81,0.84,0.81,0.84,0.66,1.2,0.77,1.0,2.05
PM10_2,0.38,0.41,0.39,0.4,0.39,0.4,0.32,0.57,0.34,0.49,1.0
