,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.42,0.37,1.25,0.53,0.76,1.38,0.98,1.08,1.01,1.02
TEMP_0,0.36,1.95,0.62,1.71,1.37,0.43,1.03,0.87,0.99,0.97
PRES_0,1.24,0.64,1.42,0.2,0.78,1.33,1.0,1.0,0.98,1.09
PRES_1,0.54,1.68,0.2,2.52,1.42,0.37,1.0,1.0,1.04,0.84
DEWP_0,0.75,1.39,0.75,1.5,1.59,0.24,0.96,1.1,1.02,0.94
DEWP_1,1.32,0.51,1.32,0.37,0.25,1.97,1.06,0.88,0.97,1.08
WSPM_0,0.95,1.1,1.01,0.99,0.92,1.07,1.11,0.74,0.97,1.04
WSPM_1,1.09,0.81,0.99,1.01,1.15,0.86,0.79,1.49,1.07,0.92
PM10_0,0.99,0.99,0.96,1.05,1.03,0.95,0.98,1.09,1.17,0.51
PM10_1,1.02,1.04,1.11,0.85,0.91,1.13,1.06,0.73,0.53,2.42
