,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,2.72,2.41,2.09,2.25,1.73,3.92,2.26,7.12,3.27,4.48,28.75
TEMP_0,1.21,6.06,1.18,5.94,2.86,1.26,2.22,6.78,3.3,3.95,32.31
PRES_0,2.54,2.93,2.3,1.35,1.8,3.78,2.26,7.02,3.19,4.5,31.29
PRES_1,1.33,5.63,0.63,8.24,2.9,1.11,2.21,6.91,3.45,3.83,28.02
DEWP_0,1.71,5.22,1.36,5.38,3.13,1.1,2.21,7.12,3.4,3.96,31.16
DEWP_1,2.65,2.13,2.2,1.6,0.97,5.1,2.29,6.81,3.14,4.65,28.9
WSPM_0,2.1,3.86,1.75,3.72,2.08,2.94,2.29,6.5,3.13,4.33,30.95
WSPM_1,2.16,3.85,1.69,3.71,2.36,2.71,2.15,7.91,3.56,4.15,28.67
PM10_0,2.01,4.0,1.6,4.16,2.34,2.6,2.21,7.53,4.25,3.29,15.85
PM10_1,2.23,3.62,1.81,3.31,2.02,3.06,2.27,6.8,2.71,5.34,27.72
PM10_2,2.16,4.23,2.07,3.33,2.15,3.25,2.31,4.93,0.73,4.37,120.17
