,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.64,1.19,1.39,1.53,1.25,2.03,1.38,2.67,1.75,2.08,7.07
TEMP_0,0.74,2.45,0.89,2.43,1.5,1.01,1.26,2.19,1.59,1.73,6.77
PRES_0,1.57,1.58,1.51,0.95,1.29,2.03,1.42,2.65,1.74,2.13,7.7
PRES_1,0.87,2.21,0.48,2.86,1.48,0.92,1.2,2.22,1.6,1.63,5.81
DEWP_0,1.17,2.25,1.05,2.5,1.77,0.82,1.33,2.66,1.8,1.86,7.14
DEWP_1,1.46,1.27,1.32,1.14,0.66,2.25,1.32,2.22,1.53,2.0,6.69
WSPM_0,1.36,2.09,1.28,2.11,1.4,1.81,1.49,2.27,1.73,2.08,7.42
WSPM_1,1.26,1.5,1.07,1.82,1.34,1.42,1.07,2.74,1.62,1.72,6.37
PM10_0,1.27,1.88,1.11,2.14,1.42,1.51,1.29,2.66,2.04,1.43,3.86
PM10_1,1.29,1.72,1.18,1.73,1.24,1.67,1.28,2.2,1.25,2.27,5.9
PM10_2,0.84,1.25,0.84,1.12,0.84,1.18,0.89,1.22,0.34,1.17,10.79
