,SW,E,ENE,ESE,SSW,NW,NE,WSW,SE,S,NNW,N,SSE,NNE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,RAIN_0,RAIN_1,WSPM_0,WSPM_1
SW,1.0,0.96,,0.76,0.99,,,0.84,0.94,0.86,,,0.85,,,0.7,1.58,1.21,1.56,1.21,1.52,1.29,1.5,1.36,1.51,1.36,1.67,,1.45,1.37
E,1.04,1.0,0.99,0.95,0.88,1.08,0.97,,0.95,1.12,,0.88,0.75,0.81,,,1.67,1.13,1.64,1.25,1.53,1.42,1.58,1.36,1.54,1.43,1.74,,1.59,1.28
ENE,,1.01,1.0,0.92,,1.02,0.97,,1.0,,,0.87,0.82,0.86,,,1.7,1.11,1.65,1.25,1.55,1.43,1.63,1.33,1.53,1.46,1.75,,1.61,1.31
ESE,1.31,1.06,1.08,1.0,0.97,,0.95,,0.94,0.82,,0.86,0.72,1.09,,,1.71,1.12,1.64,1.31,1.58,1.42,1.61,1.37,1.54,1.47,1.76,,1.58,1.46
SSW,1.01,1.14,,1.03,1.0,,,0.79,1.08,0.99,,,0.88,,,0.69,1.67,1.26,1.63,1.34,1.59,1.39,1.58,1.44,1.57,1.45,1.77,,1.62,1.37
NW,,0.93,0.98,,,1.0,1.18,,,,0.85,0.74,,1.01,0.94,0.88,1.7,1.56,1.66,1.44,1.6,1.52,1.68,1.4,1.57,1.64,1.82,,1.72,1.4
NE,,1.03,1.03,1.05,,0.85,1.0,,,,1.36,0.96,,0.97,,,1.76,1.26,1.74,1.34,1.58,1.55,1.71,1.42,1.61,1.56,1.85,,1.69,1.42
WSW,1.19,,,,1.26,,,1.0,,1.24,,,0.94,,0.94,0.76,1.79,1.21,1.74,1.37,1.7,1.45,1.67,1.53,1.68,1.52,1.87,,1.63,1.54
SE,1.07,1.06,1.0,1.06,0.93,,,,1.0,0.81,,,1.09,,,,1.82,1.19,1.78,1.33,1.69,1.49,1.7,1.48,1.7,1.51,1.87,,1.72,1.43
S,1.16,0.9,,1.22,1.01,,,0.81,1.23,1.0,,,0.98,,,,1.91,1.23,1.86,1.38,1.75,1.58,1.78,1.55,1.71,1.63,1.96,,1.89,1.33
NNW,,,,,,1.18,0.74,,,,1.0,1.03,,0.78,0.93,,1.87,1.36,1.79,1.61,1.73,1.62,1.8,1.53,1.69,1.75,1.96,,1.74,1.57
N,,1.13,1.14,1.16,,1.34,1.04,,,,0.97,1.0,,0.96,0.74,,1.85,1.45,1.83,1.48,1.69,1.65,1.79,1.54,1.71,1.67,1.97,,1.76,1.58
SSE,1.18,1.34,1.22,1.39,1.13,,,1.06,0.92,1.02,,,1.0,,,,1.92,1.23,1.85,1.44,1.8,1.55,1.79,1.6,1.75,1.64,1.98,,1.77,1.67
NNE,,1.24,1.17,0.92,,0.99,1.03,,,,1.28,1.04,,1.0,,,1.93,1.38,1.86,1.57,1.71,1.72,1.83,1.6,1.72,1.77,2.02,,1.85,1.58
WNW,,,,,,1.06,,1.06,,,1.07,1.35,,,1.0,1.18,1.94,1.61,1.88,1.63,1.83,1.67,1.87,1.61,1.79,1.74,2.06,,1.95,1.56
W,1.43,,,,1.46,1.14,,1.32,,,,,,,0.85,1.0,2.16,1.19,2.11,1.48,2.03,1.71,2.0,1.75,1.95,1.82,2.2,,2.01,1.72
