,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,0.9,1.02,0.89,0.99,0.93,1.03,0.86,0.94,0.91,0.61
TEMP_0,1.1,1.0,1.14,0.95,1.08,1.0,1.13,0.98,1.05,1.02,0.69
PRES_0,0.98,0.87,1.0,0.86,0.97,0.9,1.0,0.86,0.92,0.89,0.59
PRES_1,1.13,1.05,1.15,1.0,1.12,1.09,1.17,0.98,1.09,1.07,0.73
DEWP_0,1.01,0.92,1.03,0.89,1.0,0.93,1.04,0.89,0.97,0.93,0.65
DEWP_1,1.08,0.97,1.11,0.91,1.07,1.0,1.1,0.93,1.01,0.99,0.64
WSPM_0,0.97,0.89,1.0,0.85,0.96,0.89,1.0,0.85,0.93,0.89,0.57
WSPM_1,1.16,1.02,1.17,1.01,1.14,1.11,1.18,1.0,1.08,1.08,0.8
PM10_0,1.06,0.96,1.08,0.93,1.04,0.98,1.08,0.94,1.0,0.97,0.82
PM10_1,1.08,0.98,1.11,0.93,1.07,0.99,1.11,0.93,1.05,1.0,0.63
PM10_2,1.65,1.45,1.71,1.39,1.6,1.56,1.68,1.3,1.11,1.48,1.0
