,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.01,1.0,0.03,0.96,0.47,0.85,0.56,0.06
PRES_0,1.0,1.0,0.01,1.0,0.03,0.96,0.47,0.85,0.57,0.06
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.01,1.0,0.02,0.96,0.47,0.85,0.57,0.07
DEWP_0,3.87,3.87,,3.66,0.93,3.64,2.08,3.5,2.32,
WSPM_0,1.04,1.04,0.01,1.04,0.02,1.0,0.48,0.89,0.58,0.07
WSPM_1,1.62,1.62,,1.62,0.08,1.56,0.9,1.38,0.97,0.1
PM10_0,1.1,1.1,0.01,1.1,0.04,1.06,0.54,0.99,0.54,0.06
PM10_1,1.36,1.36,,1.36,,1.31,0.58,1.05,0.97,0.11
PM10_2,3.26,3.26,,3.26,,3.14,1.34,2.0,2.42,0.82
