,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.02
DEWP_0,1.08,1.08,,1.09,1.09,1.06,0.98,1.08,1.13,
WSPM_0,1.0,1.0,1.11,1.0,0.94,1.0,1.0,1.0,0.99,1.0
WSPM_1,1.0,1.0,,1.01,1.13,1.0,1.0,0.99,1.1,0.97
PM10_0,1.0,1.0,1.0,1.0,1.07,1.0,1.03,1.0,1.0,1.14
PM10_1,1.0,1.0,,1.0,,1.0,0.92,1.0,1.0,0.93
PM10_2,1.0,1.0,,1.0,,1.0,0.89,0.92,1.07,1.0
