,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1676.56,1.01,493.12,1.36,25.15,1.91,6.65,496.02
PRES_0,1.0,1.0,,1.01,493.68,1.36,25.17,1.91,6.66,496.59
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1684.0,1.01,303.01,1.36,25.1,1.91,6.65,495.31
DEWP_0,0.97,0.98,,0.83,43316.28,1.23,36.61,2.15,6.72,
WSPM_0,1.0,1.0,1960.76,1.01,325.67,1.36,23.06,1.91,6.65,519.04
WSPM_1,1.0,1.0,,1.01,1480.92,1.35,37.48,1.92,6.63,360.22
PM10_0,1.0,1.0,2492.24,1.01,664.05,1.36,26.69,2.17,4.81,265.19
PM10_1,1.0,1.0,,1.0,,1.36,21.55,1.48,11.13,841.18
PM10_2,1.0,1.0,,1.01,,1.37,21.97,0.91,11.46,8367.92
