,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,1.01,0.87,0.99,0.81,0.99,0.81,0.83,0.78,0.8,0.89,0.92,,0.89,,1.11,1.4,0.95,1.4,0.95,1.43,1.43,,1.43,,1.43,,1.4,0.98
ENE,0.99,1.0,0.87,1.02,,0.87,0.87,0.85,,,0.95,1.02,0.69,0.8,,,1.42,0.97,1.42,0.96,1.45,1.45,,1.45,,1.45,,1.42,1.01
ESE,1.15,1.15,1.0,0.97,0.78,0.72,0.74,0.92,0.93,0.76,,0.98,,,0.89,,1.47,1.0,1.49,0.94,1.5,1.5,,1.5,,1.5,,1.46,1.07
NE,1.01,0.98,1.03,1.0,,,0.98,0.92,,,,0.91,0.88,0.78,,,1.49,1.02,1.5,1.02,1.53,1.53,,1.53,,1.53,,1.5,1.03
SSW,1.2,,1.29,,1.0,1.0,,1.08,1.0,0.91,0.84,,,,,0.67,1.51,1.1,1.52,1.09,1.56,1.56,,1.56,,1.56,,1.5,1.17
SW,1.01,1.15,1.38,,1.0,1.0,,0.86,1.11,1.22,0.89,,,,0.92,0.65,1.51,1.22,1.55,0.85,1.57,1.57,,1.57,,1.57,,1.48,1.21
NNE,1.24,1.15,1.34,1.02,,,1.0,,,,,0.86,0.96,1.02,,,1.56,1.15,1.58,1.03,1.61,1.61,,1.61,,1.61,,1.57,1.16
SE,1.21,1.18,1.08,1.06,0.92,1.16,,1.0,0.82,0.97,,,,,,,1.57,1.15,1.58,1.13,1.62,1.62,,1.62,,1.62,,1.57,1.21
S,1.27,,1.08,,1.0,0.9,,1.23,1.0,1.07,0.78,,,,,,1.56,1.22,1.59,1.06,1.62,1.62,,1.62,,1.62,,1.61,1.04
SSE,1.24,,1.31,,1.1,0.82,,1.03,0.94,1.0,,,,,,,1.62,1.1,1.63,1.06,1.65,1.65,,1.65,,1.65,,1.6,1.21
WSW,1.13,1.06,,,1.19,1.12,,,1.29,,1.0,,,,,0.75,1.62,1.15,1.62,1.23,1.66,1.66,,1.65,,1.65,,1.59,1.26
N,1.09,0.98,1.02,1.09,,,1.16,,,,,1.0,0.89,0.87,0.89,,1.62,1.11,1.61,1.22,1.66,1.66,,1.66,,1.66,,1.63,1.1
NW,,1.44,,1.14,,,1.04,,,,,1.12,1.0,0.94,0.84,1.0,1.69,,1.7,,1.75,1.75,,1.74,,1.75,,1.72,1.22
NNW,1.09,1.24,,1.28,,,0.98,,,,,1.15,1.07,1.0,1.06,,1.73,1.6,1.75,,1.8,1.8,,1.82,,1.79,,1.76,1.28
WNW,,,1.13,,,1.09,,,,,,1.12,1.18,0.95,1.0,1.3,1.79,1.33,1.8,,1.86,1.86,,1.85,,1.86,,1.83,1.28
W,0.9,,,,1.49,1.54,,,,,1.34,,1.0,,0.77,1.0,1.8,1.39,1.78,,1.87,1.87,,1.87,,1.87,,1.8,1.41
PM2.5_0,0.71,0.71,0.68,0.67,0.66,0.66,0.64,0.64,0.64,0.62,0.62,0.62,0.59,0.58,0.56,0.56,1.0,0.71,1.01,0.62,1.03,1.03,,1.03,0.4,1.03,0.43,1.0,0.75
PM2.5_1,1.05,1.03,1.0,0.98,0.91,0.82,0.87,0.87,0.82,0.91,0.87,0.9,,0.63,0.75,0.72,1.42,1.0,1.34,1.01,1.45,1.45,,1.45,,1.45,,1.44,0.86
PM10_0,0.71,0.7,0.67,0.67,0.66,0.64,0.63,0.63,0.63,0.61,0.62,0.62,0.59,0.57,0.56,0.56,0.99,0.75,1.0,0.68,1.02,1.02,,1.02,0.4,1.02,0.42,0.99,0.74
PM10_1,1.05,1.04,1.07,0.98,0.91,1.17,0.98,0.88,0.94,0.94,0.82,0.82,,,,,1.6,0.99,1.46,1.0,1.5,1.5,,1.49,,1.5,,1.47,0.99
TEMP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,,1.0,0.39,1.0,0.39,0.97,0.72
PRES_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,,1.0,0.39,1.0,0.39,0.97,0.72
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.55,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,,1.0,,1.0,0.39,0.97,0.72
DEWP_0,,,,,,,,,,,,,,,,,2.48,,2.49,,2.55,2.55,,,1.0,2.54,,2.45,1.85
RAIN_0,0.7,0.69,0.67,0.65,0.64,0.64,0.62,0.62,0.62,0.61,0.6,0.6,0.57,0.56,0.54,0.54,0.97,0.69,0.98,0.67,1.0,1.0,,1.0,0.39,1.0,0.39,0.97,0.72
RAIN_1,,,,,,,,,,,,,,,,,2.32,,2.37,,2.54,2.54,,2.53,,2.53,1.0,2.0,2.46
WSPM_0,0.71,0.7,0.68,0.67,0.67,0.67,0.64,0.64,0.62,0.62,0.63,0.61,0.58,0.57,0.55,0.55,1.0,0.69,1.01,0.68,1.03,1.03,,1.03,0.41,1.03,0.5,1.0,0.74
WSPM_1,1.02,0.99,0.93,0.97,0.85,0.83,0.86,0.82,0.97,0.82,0.79,0.91,0.82,0.77,0.78,0.71,1.33,1.16,1.35,1.01,1.39,1.39,,1.39,0.54,1.39,0.41,1.35,1.0
