,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.13,1.0,0.25,1.09,1.68,1.1,1.17,0.66
PRES_0,1.0,1.0,,1.0,0.25,1.09,1.68,1.1,1.17,0.66
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.13,1.0,0.15,1.09,1.68,1.1,1.17,0.66
DEWP_0,0.97,0.98,,0.82,21.89,0.99,2.45,1.24,1.19,
WSPM_0,1.0,1.0,0.15,1.0,0.16,1.1,1.54,1.1,1.17,0.69
WSPM_1,1.0,1.0,,1.0,0.75,1.08,2.51,1.1,1.17,0.48
PM10_0,1.0,1.0,0.19,1.0,0.34,1.09,1.79,1.25,0.85,0.35
PM10_1,1.0,1.0,,1.0,,1.09,1.44,0.85,1.96,1.12
PM10_2,1.0,1.0,,1.0,,1.1,1.47,0.52,2.02,11.16
