,ENE,NE,E,ESE,NNE,NW,SW,SE,N,WSW,NNW,SSW,WNW,S,SSE,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.31,1.22,1.2,1.12,1.11,0.61,0.82,0.98,0.98,0.85,0.8,0.85,0.55,0.88,0.98,0.77,0.95,1.22,0.95,1.22,0.91,1.01,1.04,0.9,1.04,0.86,1.0,1.19,1.01,0.7
NE,1.09,1.29,0.94,0.83,1.15,0.81,0.98,0.89,0.95,0.78,0.81,0.8,0.64,0.77,0.84,0.91,0.99,1.03,0.99,1.01,0.98,0.95,0.99,0.98,1.06,0.94,1.0,1.69,1.01,0.86
E,1.19,1.07,1.25,1.26,0.9,0.49,0.86,1.1,0.87,0.82,0.71,0.85,0.6,1.03,1.03,0.79,0.94,1.17,0.94,1.18,0.96,0.97,1.01,0.96,1.06,0.84,1.0,1.6,1.02,0.65
ESE,1.07,0.91,1.28,1.4,0.86,0.48,0.81,1.34,0.79,0.85,0.62,0.91,0.62,1.15,1.2,0.81,0.94,1.23,0.93,1.24,1.04,0.94,0.97,1.07,1.14,0.79,1.0,2.49,1.02,0.74
NNE,1.15,1.21,0.98,0.97,1.33,0.95,0.74,0.73,1.27,0.8,1.14,0.68,0.8,0.7,0.67,0.9,0.99,0.99,1.02,1.0,1.01,0.94,0.93,1.11,1.06,0.81,1.0,,1.0,0.84
NW,0.6,0.64,0.54,0.53,0.89,2.59,0.61,0.63,1.27,0.61,2.11,0.5,2.54,0.33,0.36,1.2,1.07,0.79,1.06,0.82,0.85,1.2,1.05,1.01,0.68,1.53,1.0,,0.92,1.72
SW,0.91,0.93,1.01,0.94,0.7,0.95,1.93,1.07,0.85,1.66,0.69,1.78,0.93,1.42,1.29,1.35,1.06,0.77,1.05,0.72,1.11,1.09,1.02,1.0,1.02,1.09,1.0,,1.02,1.22
SE,1.02,0.93,1.12,1.24,0.92,0.51,0.99,1.62,0.78,0.83,0.53,1.1,0.49,1.29,1.41,0.59,0.96,1.24,0.97,1.18,1.1,1.0,0.96,1.0,1.15,0.82,1.0,,1.02,0.91
N,1.0,1.09,0.86,0.82,1.32,1.35,0.63,0.79,1.51,0.86,1.63,0.69,1.19,0.68,0.62,0.86,0.95,1.01,0.96,0.98,0.98,1.04,1.03,0.93,0.95,1.07,1.0,,0.99,1.01
WSW,0.68,0.73,0.81,0.78,0.84,1.22,1.78,0.76,0.92,2.34,1.0,1.49,1.32,1.09,1.07,2.04,1.09,0.48,1.09,0.49,1.05,0.96,0.97,1.0,0.89,1.16,1.0,,1.01,1.36
NNW,0.78,0.88,0.67,0.57,1.12,2.05,0.59,0.58,1.52,0.67,2.41,0.69,1.72,0.56,0.4,0.94,1.04,0.76,1.05,0.8,0.9,1.05,1.12,0.8,0.78,1.44,1.0,,0.97,1.5
SSW,0.96,0.91,1.09,1.19,0.96,0.59,1.61,1.23,0.7,1.45,0.53,1.97,0.8,1.75,1.76,0.99,1.03,0.98,1.03,0.95,1.14,0.95,0.96,1.11,1.04,0.9,1.0,,1.02,1.0
WNW,0.6,0.6,0.57,0.59,0.83,2.55,0.72,0.59,1.23,1.01,1.8,0.63,2.83,0.54,0.54,1.72,1.09,0.74,1.07,0.76,0.96,1.16,1.01,1.13,0.73,1.51,1.0,,0.92,1.63
S,0.99,0.95,1.18,1.23,0.99,0.43,1.33,1.35,0.71,1.21,0.53,1.76,0.7,1.99,1.89,0.62,1.04,1.01,1.05,1.0,1.16,0.87,0.95,1.13,1.12,0.77,1.0,,1.02,0.98
SSE,0.99,0.96,1.16,1.39,0.92,0.46,0.96,1.5,0.84,0.96,0.44,1.41,0.55,1.8,1.65,0.7,1.0,1.17,0.99,1.22,1.12,0.87,0.97,1.06,1.13,0.81,1.0,,1.01,0.86
W,0.69,0.69,0.7,0.78,0.83,1.6,1.42,0.72,1.08,1.69,1.29,1.1,1.83,0.82,0.8,2.08,1.09,0.54,1.08,0.6,0.94,1.08,1.03,1.0,0.76,1.35,1.0,,1.0,1.32
PM2.5_0,0.93,0.95,0.92,0.92,1.01,1.15,1.0,0.9,1.02,1.1,1.12,0.97,1.17,0.97,0.93,1.12,1.13,0.52,1.12,0.64,1.02,0.97,1.01,0.99,0.96,1.09,1.0,1.28,0.99,1.2
PM2.5_1,1.24,1.16,1.27,1.32,0.98,0.47,1.0,1.41,0.93,0.62,0.57,1.12,0.42,1.11,1.28,0.62,0.56,2.74,0.6,2.32,0.94,1.13,0.98,1.05,1.12,0.71,1.0,,1.02,0.32
PM10_0,0.92,0.94,0.91,0.91,1.0,1.15,0.99,0.9,1.02,1.09,1.13,0.95,1.18,0.96,0.91,1.11,1.12,0.56,1.11,0.6,1.02,0.95,1.0,0.97,0.97,1.07,1.0,1.32,0.99,1.21
PM10_1,1.25,1.17,1.28,1.31,1.0,0.49,1.04,1.34,0.92,0.7,0.57,1.18,0.45,1.15,1.29,0.68,0.64,2.43,0.64,2.29,0.94,1.18,1.0,1.07,1.08,0.8,1.0,,1.02,0.34
TEMP_1,1.05,1.05,1.07,1.08,1.08,0.95,0.95,1.04,0.98,0.95,0.92,1.02,0.91,1.09,1.04,0.91,1.01,0.95,1.02,0.96,1.46,0.43,0.77,1.5,1.36,0.36,1.0,1.8,1.0,1.0
TEMP_0,0.95,0.95,0.93,0.91,0.91,1.05,1.06,0.95,1.02,1.06,1.09,0.97,1.1,0.9,0.96,1.11,0.99,1.05,0.98,1.04,0.48,1.65,1.26,0.44,0.59,1.72,1.0,,0.99,1.0
PRES_1,0.99,1.01,0.97,0.97,0.97,1.06,0.95,0.97,1.08,0.94,1.13,0.91,1.03,0.86,0.95,1.0,1.0,0.96,1.0,0.96,0.82,1.3,1.33,0.38,0.81,1.36,1.0,0.27,1.0,1.01
PRES_0,1.01,0.98,1.05,1.05,1.05,0.88,1.1,1.05,0.84,1.12,0.76,1.18,0.94,1.27,1.1,1.01,1.01,1.07,1.0,1.08,1.35,0.43,0.38,2.18,1.36,0.31,1.0,2.41,1.0,0.97
DEWP_1,1.1,1.09,1.1,1.13,1.05,0.74,1.02,1.16,0.91,0.96,0.76,1.11,0.71,1.19,1.15,0.84,0.96,1.13,0.97,1.13,1.31,0.64,0.82,1.38,1.44,0.27,1.0,1.62,1.01,0.81
DEWP_0,0.83,0.86,0.84,0.78,0.91,1.42,0.97,0.75,1.15,1.07,1.4,0.83,1.48,0.7,0.77,1.26,1.06,0.78,1.04,0.79,0.5,1.59,1.29,0.38,0.28,2.19,1.0,,0.98,1.3
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0
RAIN_1,,,,,,,,,,,,,,,,,1.14,,1.12,,1.48,,,,1.46,,1.0,,1.02,
WSPM_0,1.05,1.04,1.06,1.06,1.02,0.81,1.05,1.08,0.95,1.04,0.86,1.06,0.82,1.09,1.09,0.95,0.98,1.06,0.98,1.05,1.02,0.98,0.99,1.01,1.04,0.91,1.0,1.07,1.01,0.85
WSPM_1,0.69,0.76,0.65,0.63,0.9,2.07,0.7,0.54,1.29,0.77,1.82,0.64,2.06,0.47,0.47,1.27,1.11,0.66,1.11,0.68,0.88,1.14,1.07,0.95,0.75,1.55,1.0,,0.92,1.86
