,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.61,0.29,0.74,1.54,1.37,0.37,1.01,1.04,1.04,0.9
TEMP_0,0.31,1.8,1.29,0.39,0.58,1.72,0.99,0.96,0.96,1.11
PRES_1,0.76,1.34,1.39,0.26,0.79,1.38,0.99,1.03,1.0,0.95
PRES_0,1.47,0.36,0.26,2.41,1.41,0.27,1.02,0.94,0.99,1.1
DEWP_1,1.35,0.59,0.79,1.42,1.51,0.17,1.04,0.71,0.97,1.15
DEWP_0,0.42,1.66,1.34,0.32,0.18,2.35,0.94,1.47,1.05,0.75
WSPM_0,1.01,0.98,0.99,1.02,1.06,0.89,1.04,0.73,0.97,1.09
WSPM_1,0.94,1.09,1.09,0.87,0.65,1.66,0.78,2.6,1.16,0.47
PM10_0,1.02,0.95,1.01,0.96,0.96,1.09,0.99,1.23,1.17,0.45
PM10_1,0.91,1.16,0.97,1.1,1.13,0.75,1.04,0.26,0.47,2.77
