,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,24.37,0.16,0.45,2.42,4.73,0.25,1.33,1.06,1.29,0.86
TEMP_0,0.15,31.55,4.64,0.28,0.32,3.53,0.77,0.94,0.78,1.18
PRES_1,0.55,2.21,31.96,0.17,0.56,1.9,0.78,1.05,1.03,0.92
PRES_0,5.07,0.2,0.09,49.54,6.46,0.18,2.02,0.92,0.95,1.16
DEWP_1,2.95,0.4,0.53,1.97,47.44,0.1,6.28,0.63,0.82,1.25
DEWP_0,0.23,7.49,7.85,0.22,0.07,82.86,0.4,1.87,1.49,0.66
WSPM_0,1.03,0.97,0.95,1.04,1.2,0.82,4.87,0.64,0.85,1.14
WSPM_1,0.85,1.22,1.41,0.79,0.39,3.18,0.14,10.04,7.36,0.37
PM10_0,1.07,0.9,1.04,0.94,0.88,1.16,0.76,1.38,13.11,0.35
PM10_1,0.8,1.44,0.91,1.19,1.49,0.63,12.14,0.2,0.12,27.68
