,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,0.93,1.12,0.8,1.08,0.83,1.27,0.53,1.03,0.8,0.41
TEMP_0,1.07,1.0,1.18,0.86,1.15,0.9,1.35,0.56,1.09,0.86,0.43
PRES_1,0.9,0.85,1.0,0.73,0.97,0.76,1.14,0.47,0.93,0.72,0.37
PRES_0,1.24,1.13,1.35,1.0,1.34,1.05,1.58,0.65,1.27,0.99,0.49
DEWP_1,0.93,0.87,1.03,0.75,1.0,0.77,1.18,0.47,0.95,0.74,0.38
DEWP_0,1.17,1.11,1.31,0.95,1.28,1.0,1.49,0.64,1.22,0.94,0.48
WSPM_0,0.79,0.74,0.88,0.63,0.85,0.67,1.0,0.41,0.82,0.62,0.32
WSPM_1,1.9,1.81,2.12,1.58,2.21,1.59,2.42,1.0,1.9,1.78,1.17
PM10_0,0.97,0.91,1.08,0.78,1.05,0.82,1.23,0.53,1.0,0.77,0.82
PM10_1,1.26,1.18,1.39,1.0,1.34,1.07,1.59,0.57,1.33,1.0,0.47
PM10_2,2.46,2.29,2.69,2.02,2.64,2.05,3.1,0.85,1.09,2.04,1.0
