,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.54,1.97,1.16,0.53,0.67,2.16,0.86,0.35,0.73,0.55,0.71
TEMP_0,1.87,0.48,0.7,1.75,1.56,0.51,0.88,0.36,0.79,0.61,0.41
PRES_1,1.02,0.61,0.66,2.28,1.13,0.63,0.88,0.35,0.75,0.61,0.53
PRES_0,0.58,1.88,2.47,0.35,0.67,2.82,0.87,0.35,0.77,0.53,0.52
DEWP_1,0.62,1.29,1.08,0.56,0.62,3.44,0.86,0.41,0.81,0.51,0.5
DEWP_0,1.68,0.49,0.68,2.24,3.73,0.39,0.9,0.28,0.68,0.72,0.58
WSPM_0,0.79,0.82,0.9,0.76,0.85,0.97,0.86,0.43,0.8,0.53,0.46
WSPM_1,0.92,0.7,0.82,1.02,1.51,0.52,0.98,0.17,0.58,1.15,3.54
PM10_0,0.81,0.81,0.87,0.89,1.02,0.72,0.89,0.27,0.57,0.9,8.65
PM10_1,0.79,0.84,0.93,0.67,0.78,1.23,0.86,0.52,1.14,0.36,0.38
PM10_2,0.98,0.63,0.83,0.76,0.92,0.89,0.86,0.79,2.75,0.58,0.1
