,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,3.47,0.62,1.19,5.17,2.34,1.04,1.32,14.06,2.21,4.22,12.3
TEMP_0,0.56,4.41,2.13,1.28,0.98,4.86,1.28,12.87,2.03,4.05,21.1
PRES_1,1.56,3.22,2.29,0.77,1.33,3.92,1.28,14.01,2.2,3.88,16.67
PRES_0,3.14,0.83,0.37,8.25,2.42,0.75,1.34,12.54,1.99,4.64,15.97
DEWP_1,2.86,1.41,1.28,4.76,2.59,0.41,1.36,9.27,1.9,4.88,17.4
DEWP_0,0.87,4.01,2.2,1.04,0.26,6.75,1.2,20.37,2.48,2.95,14.86
WSPM_0,2.12,2.38,1.6,3.42,1.81,2.5,1.36,9.32,2.0,4.47,18.39
WSPM_1,1.99,2.56,1.78,2.85,1.07,4.76,0.96,37.87,2.86,2.23,5.0
PM10_0,2.12,2.32,1.69,2.97,1.49,3.44,1.25,20.12,3.08,1.92,1.91
PM10_1,2.18,2.38,1.52,3.84,2.03,1.95,1.37,5.72,1.1,8.0,14.94
PM10_2,1.64,3.07,1.66,3.69,1.73,2.56,1.37,1.57,0.06,3.81,115.4
