,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.14,0.29,0.82,0.94,1.07,0.53,1.04,0.6,1.02,0.64
TEMP_0,0.31,1.16,1.09,0.51,0.75,1.02,1.05,0.6,0.99,0.76
PRES_1,0.74,0.94,1.09,0.26,0.81,0.89,1.0,0.6,0.97,0.66
PRES_0,1.14,0.57,0.34,1.24,1.16,0.48,1.11,0.58,1.04,0.76
DEWP_1,1.0,0.66,0.83,0.89,1.1,0.22,1.05,0.43,0.95,0.72
DEWP_0,0.62,1.12,1.14,0.46,0.28,1.22,1.02,0.8,1.08,0.64
WSPM_0,0.84,0.81,0.89,0.74,0.9,0.71,1.01,0.38,0.92,0.68
WSPM_1,1.06,1.02,1.18,0.85,0.88,1.19,0.83,1.31,1.28,0.5
PM10_0,0.87,0.8,0.92,0.73,0.87,0.8,0.97,0.62,1.05,0.3
PM10_1,0.93,1.02,1.04,0.9,1.11,0.78,1.22,0.32,0.5,1.31
