,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.34,0.33,0.7,1.12,1.18,0.26,1.07,1.1,1.02,1.03,0.44
TEMP_0,0.39,1.43,1.15,0.31,0.51,1.23,1.05,1.07,0.96,0.99,0.68
PRES_1,0.72,1.11,1.22,0.26,0.69,0.98,1.05,1.1,1.01,0.97,0.57
PRES_0,1.24,0.35,0.31,1.67,1.19,0.21,1.07,1.05,0.96,1.08,0.52
DEWP_1,1.19,0.53,0.74,1.03,1.26,0.17,1.08,0.85,0.91,1.14,0.58
DEWP_0,0.42,1.37,1.18,0.27,0.21,1.59,1.03,1.46,1.11,0.79,0.52
WSPM_0,0.91,0.83,0.9,0.75,0.9,0.64,1.08,0.89,0.95,1.06,0.6
WSPM_1,0.8,0.97,0.98,0.69,0.62,1.13,0.95,2.2,1.24,0.69,0.32
PM10_0,0.89,0.83,0.93,0.67,0.78,0.85,1.04,1.49,1.31,0.64,0.14
PM10_1,0.95,0.84,0.86,0.83,0.99,0.52,1.08,0.64,0.71,1.62,0.59
PM10_2,0.73,1.09,0.95,0.84,0.84,0.65,1.08,0.18,0.08,1.09,3.12
