,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.86,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,
PRES_1,0.93,,6.09,0.15,1.18,0.79,0.97,1.03,1.1,0.91
PRES_0,,,0.01,74.23,0.33,,1.65,0.61,0.37,2.83
DEWP_0,1.0,,1.01,0.99,2.18,,1.0,1.0,1.01,0.99
DEWP_1,,,0.16,,,738.83,1.9,,,27.58
WSPM_0,0.8,,0.89,1.12,0.89,1.14,3.81,0.26,0.74,1.36
WSPM_1,3.4,,1.51,0.66,1.57,,0.11,9.02,3.81,0.23
PM10_0,0.89,,1.47,0.68,2.01,,0.74,1.36,8.37,0.11
PM10_1,1.53,,0.46,2.17,0.37,2.92,5.25,0.19,0.04,25.97
