,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,,
PRES_1,1.0,1.0,1.0,1.0,1.0,1.03,1.0,1.01,1.0,0.99,1.0
PRES_0,1.0,,1.0,1.0,1.0,0.9,1.01,0.84,0.94,1.03,1.01
DEWP_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DEWP_1,1.0,,1.03,,1.0,1.0,1.06,,,1.06,
WSPM_0,1.0,0.96,1.0,0.93,1.0,0.74,1.0,1.0,1.01,0.96,0.92
WSPM_1,1.0,,1.0,1.34,1.0,,1.0,1.0,0.98,1.17,1.7
PM10_0,1.0,1.12,1.0,1.16,1.0,,0.99,1.04,1.0,0.99,1.21
PM10_1,1.0,0.88,1.0,0.88,1.0,0.76,1.0,0.99,1.05,1.0,0.87
PM10_2,1.0,,1.0,1.03,1.0,0.68,1.01,0.7,0.82,1.02,1.0
