,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,1.11,20.96,1.0,775.19,1.61,6.3,2.0,5.14,13.21
TEMP_1,,,,,,,,,,,
PRES_1,1.0,1746.24,1.15,8.17,1.0,657.86,1.6,6.45,2.07,4.89,12.45
PRES_0,1.0,,0.53,191.94,1.01,,1.73,4.22,1.17,8.48,23.1
DEWP_0,1.0,1629.77,1.11,20.67,1.01,541.75,1.61,6.31,2.01,5.13,13.13
DEWP_1,1.0,,0.79,,0.85,80028.0,1.83,,,7.43,
WSPM_0,1.0,2063.01,1.1,22.37,1.0,804.63,1.79,3.9,1.78,5.97,15.42
WSPM_1,1.0,,1.12,16.86,1.0,,1.1,13.06,2.64,2.79,6.89
PM10_0,1.0,2253.48,1.13,12.0,1.01,,1.48,8.92,2.83,2.46,2.21
PM10_1,1.0,,1.07,33.32,1.0,926.33,1.8,2.81,1.08,10.63,12.11
PM10_2,1.0,,1.05,36.75,1.0,2588.41,1.79,1.86,0.19,4.98,72.06
