,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.09,1.01,0.47,1.0,0.21,1.09,1.08,0.99,1.03,0.65
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.12,1.03,0.24,1.0,0.18,1.09,1.1,1.02,0.98,0.61
PRES_0,1.0,,0.64,3.58,1.0,0.57,1.15,0.72,0.67,1.61,1.14
DEWP_0,1.0,0.11,1.01,0.47,1.0,0.17,1.09,1.08,1.0,1.03,0.64
DEWP_1,1.0,,0.98,,1.0,13.63,1.16,,,1.27,
WSPM_0,1.0,0.15,1.0,0.49,1.0,0.2,1.15,0.82,0.92,1.16,0.72
WSPM_1,1.0,,1.01,0.43,1.0,,0.94,1.8,1.2,0.66,0.44
PM10_0,1.0,0.12,1.02,0.31,1.0,,1.05,1.42,1.28,0.65,0.2
PM10_1,1.0,,0.99,0.69,1.0,0.25,1.15,0.64,0.73,1.73,0.69
PM10_2,1.0,,0.98,0.76,1.0,0.56,1.15,0.4,0.23,1.17,2.75
