,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.26,0.99,0.59,1.0,0.31,0.94,0.76,0.9,0.78,0.64
TEMP_1,,,,,,,,,,,
PRES_1,1.01,0.27,1.0,0.6,1.01,0.32,0.95,0.78,0.91,0.79,0.65
PRES_0,1.7,,1.68,1.0,1.7,0.5,1.62,1.11,1.43,1.37,1.09
DEWP_0,1.0,0.26,0.99,0.59,1.0,0.31,0.94,0.77,0.9,0.78,0.64
DEWP_1,3.21,,3.17,,3.21,1.0,3.2,,,2.34,
WSPM_0,1.06,0.27,1.05,0.59,1.06,0.28,1.0,0.81,0.96,0.81,0.64
WSPM_1,1.31,,1.28,1.0,1.31,,1.23,1.0,1.16,1.17,1.32
PM10_0,1.11,0.27,1.1,0.71,1.11,,1.04,0.87,1.0,0.86,0.9
PM10_1,1.28,,1.27,0.7,1.28,0.33,1.21,0.97,1.19,1.0,0.74
PM10_2,1.55,,1.52,0.95,1.55,0.4,1.48,0.93,1.14,1.22,1.0
