,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.74,1.0,0.51,0.97,0.86,0.97,0.85
TEMP_1,,,,,,,,,,
PRES_1,1.01,,1.0,0.74,1.01,0.53,0.97,0.86,0.98,0.85
PRES_0,1.36,,1.35,1.0,1.36,,1.31,1.16,1.32,1.14
DEWP_0,1.0,,0.99,0.74,1.0,,0.97,0.86,0.97,0.85
DEWP_1,1.96,,1.87,,,1.0,1.89,,,1.89
WSPM_0,1.04,,1.03,0.76,1.04,0.53,1.0,0.89,1.01,0.87
WSPM_1,1.17,,1.16,0.86,1.17,,1.13,1.0,1.12,1.08
PM10_0,1.03,,1.02,0.76,1.03,,0.99,0.89,1.0,0.87
PM10_1,1.18,,1.17,0.88,1.18,0.53,1.15,0.92,1.14,1.0
