,y,z,x,a,e,c,b,d,c3,c2,c1
y,0.89,2.77,1.2,1.48,0.83,1.29,0.44,1.03,0.67,0.89,0.89
z,0.89,0.35,2.25,1.48,1.48,0.69,0.83,1.83,1.6,0.89,0.89
x,1.43,1.85,0.23,0.28,0.74,1.14,4.44,0.34,1.07,1.43,1.33
a,0.54,0.12,0.6,0.28,0.74,0.43,0.74,0.92,0.4,0.54,1.33
e,1.07,0,0.9,0.37,3.33,1.71,0.37,0,0,1.07,0.0
c,1.07,1.38,0,0,0.37,1.71,3.33,0.46,0.8,1.07,5.33
b,0.71,0.92,0.45,2.22,0.56,0.86,0.56,0.69,0.53,0.71,0.0
d,0,0,0.45,0.56,2.22,0.86,2.22,0.0,0,0,0.0
c3,0,1.85,1.35,1.11,1.11,1.71,2.59,0.92,2.4,0,1.33
c2,0.54,1.85,0.6,1.67,0.74,1.14,0.28,0.92,1.07,0.54,0.0
c1,0.12,0.15,0.9,0.37,1.11,0.0,0.37,1.38,0.27,0.12,1.78
