,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,scattered clouds_1,mist_3,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,fog_0,scattered clouds_3,fog_2,proximity shower rain_0,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,11.08,0.06,0.63,1.05,0.15,0.32,2.18,0.56,0.1,0.29,0.14,1.29,0.28,1.04,2.14,1.86,0.87,0.21,0.75,0.71,2.85,1.82,1.41,0.94,2.43,2.96,0.93,1.18,1.31,0.81
mist_0,0.11,17.01,1.11,0.18,7.33,0.98,0.07,1.25,6.98,,0.26,0.15,1.72,0.16,,0.05,0.19,2.42,,1.99,,1.41,0.43,1.23,0.05,0.13,,0.65,1.62,4.35
overcast clouds_2,1.7,0.24,21.95,9.91,0.36,0.69,1.47,2.39,,2.84,0.82,,,1.85,,3.49,,,,,,0.86,1.15,0.77,1.06,,,8.51,0.52,1.12
broken clouds_0,1.15,0.17,0.96,3.08,0.55,2.31,1.19,1.56,0.44,1.98,0.31,1.69,0.81,2.04,,1.34,0.73,,2.19,,2.11,1.66,0.91,1.21,0.73,1.39,1.04,1.75,1.01,0.46
light rain_0,0.11,8.6,0.99,0.37,7.39,1.55,0.1,1.56,6.77,0.12,0.69,0.1,1.49,0.21,0.25,0.07,0.26,1.08,,,1.13,4.45,0.43,1.38,,,,0.66,1.88,3.26
overcast clouds_1,0.57,1.3,0.77,1.17,1.64,11.37,0.6,0.61,1.04,1.09,,3.32,,0.74,1.25,0.79,2.02,,,,,0.56,2.25,0.95,0.26,1.35,,,0.83,1.03
few clouds_1,2.55,0.24,0.39,1.45,0.12,0.67,6.62,0.48,0.09,,0.86,1.13,0.88,2.02,2.03,1.82,0.99,0.42,8.44,,,0.79,2.14,0.69,1.91,3.21,2.87,0.82,0.36,0.45
overcast clouds_0,0.41,0.76,0.69,2.2,0.79,1.39,1.1,2.23,0.85,2.94,0.46,0.88,1.22,2.07,0.33,0.53,1.87,0.46,,1.16,,0.93,0.67,1.57,0.51,0.47,,1.18,0.95,0.53
light intensity drizzle_0,0.18,6.09,2.66,0.46,9.5,1.21,0.08,1.56,9.59,,,0.16,2.24,,,,,1.51,,,,4.59,0.13,2.03,,,,0.6,1.62,1.29
broken clouds_1,2.57,,0.74,1.48,0.16,0.2,4.71,0.36,0.23,27.76,,1.53,,7.54,2.36,1.36,2.45,0.75,0.98,,,0.27,5.17,0.52,2.44,1.64,10.85,0.7,0.97,
overcast clouds_3,,0.18,,,1.58,0.34,0.11,,0.25,5.18,319.33,3.32,,0.32,,,,,,,,0.04,,,0.52,,,0.23,0.65,
moderate rain_0,,38.17,0.29,0.12,36.43,1.25,0.14,3.13,15.8,,,,2.95,0.2,,0.21,,2.24,,,,2.47,0.57,1.6,,,,2.3,1.62,2.27
