,sky is clear_0,overcast clouds_2,broken clouds_0,overcast clouds_1,few clouds_1,overcast clouds_0,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,0.83,0.96,0.82,0.72,0.64,1.07,0.47,0.43,0.38,0.57,1.2,1.09,0.97,0.82,0.52,1.19,1.12,0.93
mist_0,,,,1.12,,1.26,,,,,1.66,1.49,1.49,,,1.58,1.81,1.35
overcast clouds_2,1.49,0.78,0.95,0.65,0.97,0.84,,,,,1.51,1.27,1.77,1.0,,1.79,1.01,1.12
broken clouds_0,0.97,0.94,0.79,1.18,0.73,0.75,0.59,0.55,0.47,,1.53,1.43,1.26,,,1.52,1.35,1.17
light rain_0,,,1.13,1.12,,1.16,,,,,1.79,1.55,2.13,,,1.79,1.84,1.49
overcast clouds_1,1.13,1.07,0.71,0.8,,0.69,,,,,1.49,1.78,1.57,,,1.79,1.59,1.35
few clouds_1,1.13,,0.94,,0.76,0.8,,0.49,0.66,,1.66,1.43,1.22,0.79,,1.67,1.19,1.22
overcast clouds_0,1.11,,0.84,1.13,,0.8,,0.78,,,1.62,1.63,1.35,,,1.71,1.46,1.34
light intensity drizzle_0,,,,,,,,,,,1.76,,,,,2.08,2.07,1.72
broken clouds_1,,,0.94,,,,,,,,1.78,2.08,,,,1.92,1.72,1.49
overcast clouds_3,,,,,,,,,,,,1.77,,,,2.55,1.53,1.59
moderate rain_0,,,,,,,,,,,2.96,,,,,2.26,2.54,2.25
scattered clouds_1,1.75,,1.21,,,,0.74,,,,1.89,1.69,,,,1.93,1.68,1.73
mist_3,,,,,,,,,,,2.35,,,,,2.7,,1.94
drizzle_0,,,,,,,,,,,2.31,,,,,2.77,,2.12
haze_0,,,,,,,,,,,,,,,,2.83,1.69,1.94
scattered clouds_0,1.67,,1.09,,,,,,,,2.38,2.24,,,,2.05,2.3,1.61
few clouds_0,1.58,,1.3,,,,,,,,2.01,1.91,,,,2.17,2.14,1.65
few clouds_2,1.54,,,,,,,,,0.67,,2.27,,,,2.21,,1.76
scattered clouds_2,,,,,,,,,,,,,,,,2.36,,
mist_1,,,,,,,,,,,,,,,,,,
fog_0,,,,,,,,,,,,,,,,,,
mist_4,,,,,,,,,,,,,,,,,,1.95
scattered clouds_3,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,
temp_4,0.81,0.78,0.55,0.8,0.59,0.5,0.42,0.33,0.35,0.57,0.91,0.9,1.15,0.81,0.66,1.06,0.84,0.77
temp_3,0.81,0.65,0.59,0.6,0.57,0.61,0.67,0.36,0.41,0.34,1.33,0.91,,0.6,,1.11,1.03,0.88
temp_5,1.07,0.96,0.77,0.62,0.83,0.76,,,0.72,,1.29,,0.82,,0.61,1.24,1.16,1.04
temp_2,1.1,,1.11,,0.93,1.26,,0.67,0.47,0.52,1.47,1.23,,0.77,,1.4,1.92,1.21
temp_6,1.19,,,,,,,,,,1.69,,1.04,,0.64,1.74,1.16,1.24
temp_7,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.75,0.59,0.53,0.53,0.45,0.52,0.37,0.5,0.46,0.48,0.94,0.96,0.73,0.87,0.4,0.93,1.01,0.78
traffic_volume_0,0.78,0.9,0.67,0.82,0.73,0.68,0.49,0.32,0.32,0.44,1.09,0.9,1.07,0.51,0.74,1.18,0.9,0.84
traffic_volume_1,0.96,1.02,0.62,0.73,0.71,0.6,0.63,0.37,0.4,0.52,1.2,1.04,1.19,0.63,,1.24,0.82,0.88
