,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,overcast clouds_3,moderate rain_0,scattered clouds_1,haze_0,drizzle_0,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,proximity shower rain_0,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.11,1.1,0.85,0.87,0.47,0.11,0.8,0.75,0.77,0.65,0.74,0.51,0.64,0.65,0.6,0.55,1.42,1.26,0.36,0.16,0.27,0.48,0.69,0.38,0.31,0.71,0.67,1.18,0.97,0.9
mist_0,1.63,1.42,1.57,1.78,1.26,,2.35,0.8,4.11,1.1,0.76,1.0,0.61,0.95,0.71,,1.24,0.48,0.67,0.75,0.51,0.9,,0.99,0.9,,,1.57,1.39,1.17
overcast clouds_2,1.38,1.41,1.92,0.84,,,1.22,0.76,0.78,0.93,0.61,0.87,0.92,0.76,,0.76,,0.59,0.56,,,0.77,,0.77,0.79,,,1.46,1.21,1.12
broken clouds_0,1.45,1.39,1.19,0.76,0.7,,1.03,0.98,0.73,0.76,0.91,0.98,0.61,0.68,0.81,0.71,0.83,0.59,0.59,0.83,1.22,0.43,0.55,0.44,0.45,0.56,0.2,1.53,1.25,1.15
light rain_0,1.69,1.52,2.39,0.8,1.12,,2.1,0.86,2.67,1.06,0.79,1.06,0.7,0.94,0.67,0.88,1.67,0.53,0.47,1.73,0.53,0.69,1.35,1.02,0.94,,0.46,1.71,1.52,1.26
overcast clouds_1,1.86,1.87,1.8,0.98,1.16,,1.13,1.54,0.77,0.81,1.11,0.84,0.77,0.73,1.02,1.03,,0.88,1.24,0.96,0.96,0.58,,0.52,0.83,,,1.79,1.48,1.37
few clouds_1,1.61,1.41,1.21,0.87,0.88,0.34,1.07,1.7,0.81,0.95,2.37,1.05,0.75,0.89,0.75,0.37,0.58,0.9,0.43,0.64,,0.49,0.81,0.5,0.66,1.51,,1.61,1.34,1.24
overcast clouds_0,1.64,1.5,1.35,0.72,0.88,,1.19,1.15,0.86,0.85,0.98,0.89,0.75,0.79,0.79,0.8,,0.8,0.92,0.74,0.6,0.58,0.57,0.63,0.71,0.23,0.21,1.7,1.39,1.27
light intensity drizzle_0,1.81,1.71,3.36,1.09,,,2.46,0.99,,1.59,0.87,1.45,1.9,1.13,0.75,,,0.59,0.81,1.27,0.55,0.72,,1.2,,,,1.98,1.67,1.42
broken clouds_1,2.12,1.84,1.48,1.15,0.73,,1.59,,1.02,1.05,0.64,0.98,2.01,0.8,,0.72,,,0.67,,,1.5,0.5,1.27,0.96,,,1.91,1.58,1.46
