,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_0,few clouds_2,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.37,0.45,0.93,1.26,0.7,0.7,1.19,1.18,0.5,0.57,0.79,1.1,1.05,1.04,1.27,1.16,0.84,1.27,0.86,1.3,1.34,1.32
mist_0,,1.65,,1.23,1.65,1.34,,1.83,1.82,,,,,,1.51,0.93,1.32,,,1.53,1.77,1.65
overcast clouds_2,1.5,0.63,1.63,1.98,0.74,1.19,1.62,1.55,,1.38,1.03,2.12,2.35,,1.31,1.39,1.27,1.11,,1.53,1.53,1.6
broken clouds_0,1.32,,0.82,1.57,1.22,1.54,1.11,1.54,1.1,1.29,1.21,1.34,1.06,,1.44,1.21,1.14,0.79,0.86,1.5,1.57,1.56
light rain_0,,1.67,,1.38,1.73,1.54,,1.91,1.71,,,,,,1.6,0.96,1.74,,,1.62,1.77,1.73
overcast clouds_1,1.21,1.71,0.84,1.33,1.55,1.8,0.9,1.29,1.52,,,1.17,0.89,,1.52,1.57,1.21,,,1.6,1.64,1.7
few clouds_1,1.47,,,1.55,,1.14,1.61,1.41,,,,1.21,1.38,,1.44,1.36,0.86,1.15,,1.52,1.57,1.61
overcast clouds_0,1.4,1.18,0.87,1.52,1.24,1.23,1.27,1.6,1.1,,,1.87,1.16,,1.52,1.19,1.24,,,1.59,1.6,1.67
light intensity drizzle_0,,1.77,,,1.81,,,1.96,1.86,,,,,,1.66,,,,,1.73,1.89,1.86
broken clouds_1,1.9,,,1.77,,,,,,1.93,,,,,1.62,1.79,,,,1.71,1.73,1.8
overcast clouds_3,,,,,1.4,,,,,,,,,,,1.83,,,,1.63,1.8,1.87
moderate rain_0,,2.0,,,2.16,,,,2.37,,,,,,2.0,,,,,1.86,2.21,2.04
scattered clouds_1,1.82,,,1.66,,,,,,,1.79,,1.81,,1.61,1.35,,,,1.66,1.73,1.88
mist_3,,2.09,,,,,,,,,,,,,1.77,,,,,1.82,2.04,1.92
drizzle_0,,2.13,,,2.18,,,,2.36,,,,,,1.94,,,,,2.04,,1.96
haze_0,,2.04,,,,,,,,,,,,,,,,,,1.99,1.96,1.96
scattered clouds_0,1.89,,,1.94,,,,,,,,,,,1.76,1.71,,,,1.75,1.83,1.86
few clouds_0,1.87,,,2.1,,,,,,,,,,,1.61,1.62,,,,1.88,1.93,1.88
few clouds_2,1.94,,,,,,,,,,,,,2.2,1.9,2.03,,,,1.85,1.93,1.96
scattered clouds_2,,,,,,,,,,,,,,,1.94,,,,,1.92,1.89,2.03
mist_1,,2.06,,,,,,,,,,,,,,,,,,1.96,,
fog_0,,,,,,,,,,,,,,,,,,,,1.96,,
mist_4,,,,,,,,,,,,,,,,,,,,1.96,2.04,2.08
scattered clouds_3,,,,,,,,,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,,,,,,,,,
temp_4,1.02,1.01,1.05,1.2,1.09,1.07,0.81,1.12,1.14,0.57,0.84,0.69,0.89,0.46,1.2,0.76,1.0,0.81,0.75,1.23,1.26,1.27
temp_3,1.06,1.01,0.79,1.08,1.04,1.08,0.98,1.14,1.11,0.81,0.92,0.91,0.92,0.45,1.18,1.3,0.56,0.8,,1.27,1.36,1.37
temp_5,1.05,1.14,1.1,1.22,1.2,0.81,0.96,1.63,1.02,,,1.63,1.35,,1.13,0.91,1.42,,0.69,1.31,1.5,1.46
temp_2,1.59,,1.17,1.88,,0.86,1.54,1.75,,1.16,0.94,1.89,1.37,1.32,1.48,1.48,,1.7,,1.52,1.57,1.49
temp_6,1.57,,,,,,1.07,,,,,,,,1.44,,1.51,,1.74,1.42,1.44,1.51
temp_7,,,,,,,,,,,,,,,,,,,,,,
traffic_volume_2,1.0,0.99,0.9,1.06,1.08,0.9,0.85,1.19,1.05,0.63,0.72,1.01,0.88,0.54,1.12,0.95,0.96,0.78,0.63,1.17,1.28,1.27
traffic_volume_0,1.01,0.92,0.95,1.24,1.01,1.11,0.95,1.29,0.9,0.83,0.86,0.89,0.9,0.66,1.21,1.03,0.89,0.82,0.59,1.28,1.28,1.3
traffic_volume_1,1.21,1.03,0.97,1.28,1.01,0.99,1.0,1.11,1.07,0.76,0.88,0.87,1.13,0.59,1.19,1.04,0.88,0.81,0.62,1.33,1.38,1.37
