,sky is clear_0,mist_0,overcast clouds_2,broken clouds_0,light rain_0,overcast clouds_1,few clouds_1,overcast clouds_0,light intensity drizzle_0,broken clouds_1,scattered clouds_1,scattered clouds_0,few clouds_2,few clouds_0,scattered clouds_2,scattered clouds_3,temp_4,temp_3,temp_5,temp_2,temp_6,temp_7,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.52,0.13,0.35,1.13,0.68,0.62,1.02,1.06,0.42,0.16,0.78,0.82,0.46,1.27,0.55,0.53,1.17,1.07,0.91,1.11,0.95,0.2,1.02,1.24,1.16
mist_0,0.28,1.82,1.58,0.52,1.77,1.01,0.55,1.49,2.04,,,,,,,,1.33,0.97,1.06,0.26,,,1.1,1.55,1.48
overcast clouds_2,1.22,0.33,1.81,1.33,0.66,0.55,0.83,1.36,,1.67,,,,,,,1.13,1.1,1.09,1.42,,,1.61,0.7,1.16
broken clouds_0,0.96,0.76,0.81,1.55,1.23,1.52,0.98,1.4,1.59,0.58,0.65,1.22,,1.1,0.31,0.86,1.38,1.11,1.02,0.58,0.49,,1.16,1.29,1.33
light rain_0,0.57,1.79,0.91,0.87,1.87,1.36,,1.78,1.98,,,,,,,,1.52,0.94,1.05,,,,1.19,1.72,1.67
overcast clouds_1,0.87,1.46,1.31,1.43,1.62,1.93,0.89,1.09,1.4,,,0.67,,0.59,,,1.02,1.38,1.2,0.44,,,1.53,1.16,1.58
few clouds_1,1.3,0.43,0.82,1.74,,0.7,1.85,1.14,,,0.95,1.32,1.12,1.54,0.96,,1.01,1.27,1.09,0.77,1.78,1.08,1.4,0.96,1.17
overcast clouds_0,0.71,1.41,0.68,1.71,1.14,1.28,0.98,1.63,1.4,1.01,0.74,1.39,,1.17,0.66,,1.32,1.01,1.0,0.7,,,1.28,1.33,1.62
light intensity drizzle_0,0.64,1.78,,0.73,2.02,1.28,,1.69,2.06,,,,,,,,1.48,0.62,1.37,,,,1.28,1.71,1.63
broken clouds_1,1.51,,0.44,1.35,,,,0.95,,2.15,1.19,2.77,1.3,,,,0.98,1.49,0.67,1.68,1.34,,1.57,1.08,1.48
overcast clouds_3,,0.88,,,1.25,,,,,,,,,,,,,1.78,,,,,1.45,1.18,1.91
