,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,haze,drizzle,heavy snow,temp_4,temp_3,temp_5,temp_2,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.02,0.93,0.88,0.93,0.87,0.7,0.86,0.5,0.87,0.43,0.57,0.59,1.12,1.09,1.05,0.67,1.31,0.96,1.03
sky is clear,1.14,0.99,,0.93,0.79,,0.72,,,,,,1.22,1.09,0.94,0.9,1.22,1.18,1.05
mist,1.43,0.97,1.0,0.81,,0.88,,0.89,0.69,0.97,0.65,,1.34,1.19,1.09,,1.42,1.52,1.29
broken clouds,1.02,1.15,0.89,0.98,1.09,0.98,0.92,,,,,,1.37,1.3,1.03,0.84,1.36,1.23,1.16
few clouds,1.13,1.12,,1.07,0.99,,0.89,,,,,,1.27,1.31,0.94,0.95,1.42,1.25,1.18
light rain,1.85,,1.17,1.25,,1.0,,0.92,0.77,,0.87,,1.74,1.32,1.88,,1.7,1.81,1.58
scattered clouds,1.27,1.25,,1.05,0.91,,0.99,,,,,,1.56,1.39,0.98,1.02,1.49,1.24,1.26
light intensity drizzle,2.21,,1.26,,,1.1,,1.02,0.86,,0.8,,1.72,,,,1.92,1.99,1.77
moderate rain,,,1.47,,,1.39,,1.44,1.06,,,,2.62,,,,2.1,2.36,2.22
haze,,,1.51,,,,,,,1.04,,,,,,,2.53,1.58,1.94
drizzle,,,1.59,,,1.37,,1.36,1.05,,1.07,,2.18,,,,2.41,,2.13
fog,,,1.66,,,,,,,,,,,,,,2.13,,
heavy snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm,,,,,,,,,,,,,,,,,,,
heavy intensity rain,,,,,,,,,,,,,,,,,,,
proximity shower rain,,,,,,,,,,,,,,,,,,,
snow,,,,,,,,,,,,,,,,,,,
proximity thunderstorm with rain,,,,,,,,,,,,,,,,,,,
thunderstorm with light rain,,,,,,,,,,,,,,,,,,,
heavy intensity drizzle,,,,,,,,,,,,,,,,,,,
temp_4,1.01,0.85,0.73,0.74,0.7,0.66,0.59,0.62,0.52,0.49,0.51,,1.0,0.83,1.09,0.77,1.11,0.92,0.9
temp_3,0.95,0.85,0.86,0.78,0.71,0.77,0.7,0.97,0.68,0.71,0.87,0.46,1.26,1.02,,0.62,1.15,1.1,1.02
temp_5,1.19,1.01,0.92,1.03,1.15,0.81,1.28,0.67,0.62,0.69,,,1.2,,0.99,,1.28,1.19,1.15
temp_2,1.47,1.22,,1.33,1.05,,0.92,,,,,,1.4,1.29,,1.0,1.36,1.91,1.32
temp_6,,1.3,,1.19,0.86,,,,,,,,1.59,,1.1,,1.63,1.11,1.27
temp_7,,,,,,,,,,,,,,,,,,,
traffic_volume_2,0.85,0.81,0.82,0.7,0.64,0.73,0.64,0.69,0.52,0.57,0.62,0.37,0.98,0.97,0.76,0.88,1.0,1.1,0.92
traffic_volume_0,1.17,0.82,0.73,0.9,0.78,0.66,0.67,0.59,0.57,0.63,0.55,,1.11,0.89,1.04,0.51,1.22,1.0,0.98
traffic_volume_1,1.08,0.98,0.82,0.85,0.84,0.74,0.75,0.71,0.68,0.63,0.54,0.6,1.2,1.03,1.08,0.64,1.23,0.82,1.0
