,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,fog,heavy snow,proximity thunderstorm,heavy intensity drizzle,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.02,0.95,0.91,0.96,0.92,0.75,0.92,0.55,0.98,0.66,0.49,0.62,0.71,0.5,0.23,1.08,1.07,1.06,0.71,0.83,1.26,0.95,1.02
sky is clear,1.12,0.99,0.62,0.95,0.82,1.86,0.76,0.94,,,,,,,,1.16,1.06,0.94,0.95,0.67,1.15,1.15,1.03
mist,1.39,0.96,1.0,0.81,0.71,0.91,0.7,0.95,0.75,0.73,1.08,0.7,0.42,0.92,0.59,1.26,1.14,1.08,0.64,0.78,1.33,1.46,1.25
broken clouds,0.99,1.13,0.88,0.98,1.1,1.01,0.95,1.33,0.63,1.04,0.62,0.7,0.79,,,1.28,1.23,1.0,0.87,0.72,1.26,1.17,1.11
few clouds,1.07,1.08,1.45,1.05,0.99,0.71,0.91,0.56,0.65,,,0.73,,,,1.17,1.22,0.91,0.96,1.29,1.3,1.17,1.12
light rain,1.73,1.16,1.13,1.21,1.21,1.0,0.81,0.95,0.82,0.93,1.86,0.71,0.41,0.64,,1.57,1.21,1.79,,,1.53,1.67,1.48
scattered clouds,1.18,1.19,1.02,1.02,0.9,1.35,0.99,1.74,1.19,,0.81,0.54,0.8,,,1.41,1.28,0.93,1.02,1.03,1.33,1.14,1.17
light intensity drizzle,2.01,1.63,1.18,1.49,,1.07,0.62,1.02,0.89,0.84,1.17,1.07,,0.85,,1.51,1.05,2.53,,,1.68,1.79,1.61
moderate rain,2.12,,1.34,0.92,1.25,1.31,1.18,1.4,1.06,1.43,1.52,1.05,0.49,0.94,,2.24,1.47,1.97,,,1.78,2.06,1.96
drizzle,2.95,,1.43,2.15,,1.28,,1.3,1.04,1.07,1.41,,,,,1.84,1.4,2.71,,,2.02,2.32,1.86
haze,3.88,,1.35,1.36,,1.18,1.23,2.68,0.92,0.63,1.04,1.26,,1.69,0.52,1.95,1.61,1.45,1.25,,2.12,1.36,1.69
fog,1.13,,1.47,1.01,1.94,3.07,0.58,2.25,1.1,0.74,1.36,1.0,,,,1.61,1.2,1.29,,,1.75,2.28,1.91
heavy snow,1.37,,1.83,0.69,,2.82,1.4,,1.8,,,,1.0,,,5.07,1.83,,,,1.85,2.42,2.13
proximity thunderstorm,4.27,,1.56,,,1.56,,1.28,1.13,,1.77,,,1.0,,,,1.82,,,2.17,4.46,3.04
heavy intensity rain,2.94,,1.91,,,1.7,,,1.42,,,,,,,4.0,1.56,,,,2.36,,2.57
thunderstorm with light rain,,,2.3,,,2.05,,1.89,,,,,,1.31,,,,2.39,,,2.85,,
snow,,,2.3,,,2.05,,,1.72,,,,,,,,2.66,,,,2.85,2.62,2.53
heavy intensity drizzle,,,2.3,,,,,,,,1.65,,,,,2.78,2.66,,,,,,2.53
proximity shower rain,,,,2.24,,,,,,,,,,,,,,2.39,,,2.85,,2.53
proximity thunderstorm with rain,,,2.3,,,2.05,,,1.72,,,,,,,,2.66,,,,2.85,,
temp_4,1.04,0.9,0.78,0.79,0.76,0.73,0.65,0.71,0.61,0.6,0.58,0.53,,,0.16,1.0,0.84,1.14,0.85,0.74,1.1,0.94,0.93
temp_3,0.97,0.88,0.9,0.82,0.76,0.84,0.77,1.08,0.79,1.02,0.83,0.72,0.56,,0.72,1.24,1.02,0.6,0.67,0.55,1.13,1.11,1.04
temp_5,1.17,1.01,0.93,1.05,1.19,0.85,1.35,0.73,0.69,0.42,0.78,0.76,,0.73,,1.14,1.66,0.99,,0.7,1.21,1.16,1.13
temp_2,1.39,1.16,1.76,1.29,1.04,,0.93,,,,1.22,,,,,1.27,1.19,,1.0,,1.23,1.77,1.23
temp_6,0.78,1.19,1.43,1.11,0.81,,0.9,,,,,,,,,1.38,2.1,1.0,,0.88,1.4,0.98,1.13
temp_7,,1.88,,,0.98,,,,,,,,,,,2.54,,1.89,,1.42,2.25,1.79,2.0
traffic_volume_2,0.88,0.86,0.88,0.75,0.7,0.82,0.71,0.79,0.61,0.74,0.68,0.67,0.47,0.63,0.41,0.99,0.99,0.8,0.98,0.47,1.0,1.13,0.95
traffic_volume_0,1.19,0.85,0.76,0.95,0.83,0.72,0.73,0.66,0.65,0.64,0.74,0.48,0.45,0.41,,1.09,0.88,1.07,0.55,0.83,1.19,1.0,0.99
traffic_volume_1,1.09,1.0,0.84,0.88,0.88,0.79,0.81,0.78,0.77,0.62,0.72,0.55,0.71,0.59,0.26,1.17,1.02,1.1,0.69,1.06,1.19,0.81,1.0
