,y,z,x,a,e,c,b,d,c3,c2,c1
y,1.0,0.93,0.84,0.84,0.79,0.91,0.71,0.75,0.9,0.94,0.91
z,1.0,1.22,1.06,1.89,0.91,0.91,0.87,0.87,1.16,0.94,0.0
x,1.22,1.06,1.0,0.58,1.36,0.79,1.3,0.92,1.13,1.15,0.68
a,0.92,0.53,1.41,0.71,1.36,0.56,0.65,1.3,0.97,0.87,0.96
e,1.1,1.27,1.04,0.6,1.0,1.41,0.95,0.95,1.17,1.04,0.0
c,1.1,1.35,1.2,2.08,0.71,1.0,1.65,0.67,1.17,1.04,0.0
b,1.63,1.15,0.63,1.09,1.05,0.74,1.0,0.71,1.0,1.54,0.0
d,1.41,1.41,1.09,1.09,1.05,0.0,1.41,0,1.5,1.34,0
c3,1.05,1.01,0.97,0.99,0.78,0.96,1.08,0.67,1.0,0.99,1.21
c2,1.06,1.06,0.71,1.0,0.79,0.96,0.65,0.75,1.01,1.0,0.0
c1,0.78,0.78,1.47,0.73,0.0,0.0,0.67,0.0,1.17,0.73,1.0
