,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.13,0.81,0.9,0.71,0.47,0.54,0.35,0.36,0.38,0.39,0.33,0.32,0.35,0.34
f_1,1.22,1.0,0.94,0.85,0.79,0.58,0.37,0.46,0.35,0.34,0.35,0.3,0.28,0.32,0.26,0.29
c_1,0.89,1.06,1.0,1.15,1.18,0.73,0.51,0.34,0.38,0.32,0.37,0.35,0.34,0.3,0.34,0.3
d_1,1.24,1.15,0.86,1.0,0.9,0.8,0.5,0.47,0.55,0.45,0.34,0.39,0.35,0.34,0.31,0.27
b_1,1.11,1.25,0.86,1.09,1.0,1.24,0.59,0.49,0.52,0.48,0.44,0.43,0.4,0.37,0.37,0.31
a_1,1.41,1.68,1.33,1.24,0.85,1.0,0.73,0.62,0.65,0.65,0.57,0.48,0.57,0.52,0.46,0.47
h_1,2.11,2.64,1.93,2.01,1.74,1.32,1.0,0.85,0.86,0.78,0.89,0.78,0.67,0.66,0.69,0.69
d_0,1.84,2.23,2.94,2.18,2.08,1.59,1.18,1.0,0.75,0.8,1.0,0.79,0.78,0.7,0.81,0.78
c_0,2.75,2.68,2.67,1.83,1.87,1.56,1.12,1.3,1.0,1.14,0.97,0.92,0.9,0.87,0.75,0.68
b_0,2.7,2.94,3.32,2.16,2.22,1.49,1.32,1.24,0.89,1.0,1.09,0.93,0.92,1.23,0.88,0.88
g_1,2.68,2.9,2.68,2.78,2.35,1.66,1.19,1.07,1.02,0.94,1.0,1.04,0.74,0.86,0.82,0.77
f_0,2.55,3.25,2.88,2.64,2.39,1.99,1.36,1.26,1.1,1.04,0.98,1.0,0.99,0.85,1.27,0.67
h_0,3.02,3.58,2.97,2.88,2.39,1.74,1.54,1.23,1.13,1.15,1.3,0.99,1.0,1.03,0.86,1.01
a_0,3.18,3.13,3.47,2.85,2.51,1.83,1.6,1.44,1.1,0.8,1.2,1.1,0.98,1.0,1.04,0.96
e_0,3.05,3.65,2.97,3.19,2.68,2.13,1.42,1.29,1.36,1.21,1.28,0.81,1.18,1.04,1.0,0.92
g_0,3.1,3.41,3.24,3.67,2.99,2.11,1.46,1.36,1.35,1.14,1.29,1.46,0.99,1.07,1.06,1.0
