,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,7868.2,2154.91,4409.17,3904.8,7114.85,26331.5,3728258.64,14273940.87,13464250.31,37224941.8,22053637.77,48841763.49,132602967.42,104353231.42,54038786.65,280375495.37
f_1,3342.26,8057.87,3351.98,4312.09,6800.33,24033.66,3239246.73,6858092.63,12807609.2,22817883.39,21025191.26,17334583.97,104936459.31,106078212.58,92219631.46,242007713.49
c_1,1720.68,1747.02,16562.54,4842.72,13880.85,31561.92,4094987.85,7331628.34,3914716.54,16516618.85,19547309.04,36906316.5,103423871.08,72907896.39,146620617.66,288474616.5
d_1,1925.71,1987.94,2113.89,24341.43,6674.8,33873.37,3924847.66,3319206.2,28771556.08,42569826.56,31413478.74,56174590.47,134225128.62,98675599.15,133023075.64,338012422.13
b_1,1443.04,2025.09,3742.06,4881.99,42581.79,64766.14,3399351.31,8414453.44,13928673.46,12233047.87,17382280.95,45914239.31,109693788.88,80057417.51,114505535.81,237900721.61
a_1,1507.3,2149.19,3702.3,4841.5,6470.25,265997.77,4094120.92,8490129.74,19456751.62,33793635.63,24969291.21,48600115.18,170559661.33,42120898.71,146522508.79,250132286.37
h_1,2016.5,3285.9,4413.64,5480.55,7763.81,36249.7,13147851.03,6952240.32,18268390.75,38281527.92,38981401.32,63680729.2,67285646.36,93666975.96,154986275.42,426291889.28
d_0,2468.6,2028.87,8823.21,2516.22,8623.68,31346.77,4827463.99,19382656.95,13257604.95,38412116.37,28744992.85,58044712.73,139329825.0,117169835.28,137475237.68,383918856.68
c_0,2641.76,2527.64,1969.2,6447.65,7573.14,37011.13,4841823.56,9505619.33,40753416.91,69347475.66,35094098.27,66319510.87,166274249.66,134922109.44,158070681.03,333480797.3
b_0,2906.99,2801.59,4450.3,5024.72,3402.31,25496.92,5092120.7,11181315.44,22458965.79,95917130.24,35388755.08,53434390.49,168739785.01,272109882.9,148459900.23,417820589.67
g_1,2039.07,2233.62,3779.8,7982.54,8160.74,33130.0,5690242.81,6976268.8,21473371.59,41310808.49,130684857.87,87627553.75,137775371.12,132611251.38,165650807.23,191688299.2
f_0,1563.42,1621.88,4638.65,7035.96,7484.92,36378.04,5473550.69,10704661.83,19368139.08,42895622.11,45876395.91,174555668.41,191742103.36,108696546.29,371926541.72,446019833.44
h_0,2075.38,3178.64,4516.27,6480.25,7556.88,39765.1,2925374.95,8515887.12,20202277.8,38193609.16,51807460.63,56114762.58,103724976.25,106702493.4,163215773.37,463528380.95
a_0,2577.28,2452.39,4802.57,6042.44,6912.63,16559.52,5232800.3,11474254.7,18824059.51,39384059.32,45154511.22,64969874.12,161485551.27,364315878.32,184486000.78,418229016.45
e_0,1143.93,2843.29,3899.53,7894.82,8109.05,40868.06,4818438.29,7801862.74,19910062.94,35438870.83,45068898.66,64423252.59,195202314.72,124134475.83,482688574.9,404441246.67
g_0,1623.31,1973.6,4756.17,9859.53,9918.12,32999.05,4931680.08,7979544.91,20706465.46,33735858.73,17489423.36,103170571.17,165497614.65,105244446.9,166403276.83,264315543.0
