,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.69,0.84,0.75,0.99,0.79,0.67,0.93,0.89,1.5,0.93,1.0,0.96,0.95,1.02,1.02,0.74
f_1,1.24,1.73,0.77,0.78,0.7,0.72,0.83,0.88,1.01,0.85,0.99,0.64,0.94,0.92,0.86,0.72
d_1,0.82,0.87,1.99,0.71,0.67,0.76,1.11,0.99,0.69,1.65,1.22,1.05,1.03,1.03,1.05,1.08
c_1,0.71,0.77,0.79,1.97,1.39,0.79,0.92,0.95,0.94,0.68,0.66,0.97,0.9,0.95,0.83,0.95
b_1,0.75,0.89,0.81,0.73,2.19,1.47,0.92,0.92,0.78,0.9,0.7,0.99,1.0,0.75,0.89,0.98
a_1,0.81,0.88,0.92,0.8,0.8,3.1,1.02,0.82,0.96,1.01,0.88,1.06,1.17,0.7,1.11,1.1
h_1,0.88,1.07,0.97,0.82,0.84,0.71,1.76,1.37,0.98,0.85,1.15,1.0,0.84,1.13,1.32,1.08
g_1,0.73,0.82,1.27,0.84,0.77,0.81,1.13,2.06,0.78,0.91,1.13,1.58,1.08,1.07,1.01,1.28
d_0,0.83,0.87,0.65,1.46,0.99,0.72,0.99,0.95,1.38,0.77,0.95,0.99,1.16,0.97,1.05,1.09
c_0,0.92,0.97,0.89,0.81,0.69,0.86,1.06,1.09,1.04,1.47,1.8,0.99,1.1,1.18,1.11,1.28
b_0,0.89,0.91,1.0,0.99,0.59,0.48,1.2,1.37,1.01,0.97,1.72,1.2,1.06,2.07,1.25,1.28
f_0,0.72,0.74,0.99,0.99,0.87,0.8,1.11,1.16,0.92,1.05,1.1,1.85,1.26,1.22,1.3,2.14
h_0,0.84,1.13,0.96,0.78,0.78,0.82,0.78,1.38,0.82,0.97,1.1,1.05,0.77,1.06,1.45,1.06
a_0,0.9,0.92,1.0,0.99,0.81,0.55,1.14,1.06,1.04,1.05,1.27,1.24,1.23,2.14,1.09,1.1
g_0,0.81,0.87,1.29,0.89,0.68,0.83,0.95,0.97,0.82,1.04,1.18,1.51,1.02,1.08,0.98,1.21
e_0,0.63,0.9,1.05,0.93,0.89,0.88,1.22,1.21,0.97,1.01,1.13,1.12,1.14,1.12,1.06,2.15
