,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,22.73,0.34,0.34,0.35,0.36,0.3,0.68,0.66,1.62,0.84,0.8,0.87,0.75,0.78,1.07,0.23
f_1,0.69,23.42,0.33,0.28,0.3,0.39,0.64,0.56,0.7,0.75,0.93,0.12,0.82,0.75,0.8,0.77
d_1,0.33,0.36,27.44,0.3,0.27,0.44,0.83,0.73,0.15,1.68,0.74,0.83,1.04,0.78,0.87,0.72
c_1,0.3,0.27,0.3,28.16,0.76,0.28,0.8,0.71,0.93,0.17,0.55,0.99,0.96,0.75,0.69,0.87
b_1,0.31,0.4,0.37,0.29,33.36,0.66,0.65,0.87,0.54,0.76,0.15,0.89,0.76,0.64,0.54,0.87
a_1,0.29,0.31,0.38,0.37,0.35,51.37,0.78,0.69,0.73,0.7,0.68,1.03,1.0,,0.72,0.74
h_1,0.49,1.19,0.63,0.6,0.51,0.43,9.87,1.81,1.52,1.33,1.76,1.39,0.63,1.42,1.59,1.57
g_1,0.55,0.57,1.1,0.68,0.48,0.63,1.33,11.57,1.0,0.84,1.55,2.32,1.63,1.5,0.84,1.32
d_0,0.46,0.62,0.21,1.69,0.74,0.62,1.2,1.17,5.07,1.32,1.61,1.26,1.61,1.8,1.54,1.55
c_0,0.71,0.82,0.7,0.27,0.5,0.59,1.35,1.32,1.67,5.84,3.86,1.18,2.0,1.68,1.82,1.91
b_0,0.61,0.75,0.82,0.89,0.11,0.35,1.67,1.55,1.3,1.3,6.42,1.48,1.69,3.76,1.91,1.68
f_0,0.54,0.18,0.83,0.92,0.68,0.63,1.41,1.72,1.75,1.72,1.83,7.22,1.87,1.61,1.99,4.32
h_0,0.59,1.02,0.73,0.68,0.63,0.53,0.34,1.7,0.93,1.07,1.57,1.5,0.42,1.36,3.01,1.39
a_0,0.64,0.64,0.59,1.0,0.55,0.27,1.47,1.2,2.12,1.81,1.7,1.12,1.98,9.33,2.08,1.38
g_0,0.39,0.84,1.18,0.56,0.51,0.63,1.12,0.77,1.01,1.14,2.2,2.35,1.47,1.75,0.92,1.86
e_0,0.19,0.71,0.81,0.74,0.68,0.73,2.12,1.1,2.23,1.78,2.15,1.8,1.84,2.06,2.39,9.86
