,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.28,0.47,0.5,0.49,0.44,0.15,0.15,0.11,0.09,0.1,0.13,0.07,0.1,0.07,0.15
f_1,0.41,0.17,0.43,0.49,0.4,0.45,0.1,0.15,0.1,0.09,0.09,0.14,0.05,0.09,0.06,0.09
d_1,0.5,0.48,0.15,0.46,0.42,0.39,0.13,0.08,0.16,0.1,0.09,0.09,0.06,0.08,0.04,0.08
c_1,0.35,0.48,0.51,0.15,0.5,0.49,0.13,0.13,0.05,0.12,0.09,0.08,0.07,0.08,0.07,0.08
b_1,0.48,0.5,0.52,0.25,0.13,0.42,0.13,0.14,0.09,0.13,0.18,0.1,0.07,0.11,0.09,0.08
a_1,0.51,0.48,0.45,0.56,0.23,0.09,0.17,0.14,0.12,0.1,0.14,0.1,0.07,0.18,0.06,0.09
h_1,0.39,0.46,0.36,0.41,0.4,0.38,0.06,0.11,0.09,0.08,0.07,0.08,0.08,0.08,0.06,0.07
g_1,0.45,0.41,0.41,0.41,0.39,0.43,0.09,0.05,0.09,0.08,0.07,0.08,0.04,0.07,0.07,0.07
d_0,0.25,0.41,0.54,0.4,0.5,0.39,0.12,0.15,0.06,0.08,0.09,0.09,0.08,0.08,0.08,0.08
c_0,0.4,0.44,0.24,0.58,0.41,0.36,0.13,0.13,0.11,0.05,0.09,0.09,0.06,0.08,0.06,0.08
b_0,0.38,0.39,0.31,0.64,0.6,0.4,0.1,0.11,0.09,0.04,0.05,0.08,0.05,0.08,0.05,0.07
f_0,0.39,0.66,0.38,0.37,0.38,0.31,0.12,0.07,0.09,0.09,0.07,0.04,0.06,0.08,0.04,0.08
h_0,0.42,0.38,0.37,0.41,0.38,0.3,0.14,0.11,0.08,0.08,0.09,0.07,0.09,0.07,0.06,0.06
a_0,0.35,0.4,0.36,0.43,0.49,0.64,0.11,0.11,0.09,0.07,0.04,0.08,0.06,0.03,0.05,0.06
g_0,0.38,0.49,0.36,0.46,0.43,0.31,0.09,0.13,0.09,0.07,0.07,0.07,0.04,0.07,0.06,0.06
e_0,0.54,0.58,0.35,0.38,0.4,0.33,0.12,0.08,0.07,0.07,0.08,0.04,0.06,0.07,0.05,0.03
