,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.22,0.57,0.45,0.57,0.41,0.3,0.88,0.77,1.93,1.02,0.98,1.02,1.1,0.78,1.28,0.41
f_1,0.93,2.26,0.43,0.42,0.37,0.35,0.78,0.68,0.89,0.9,1.08,0.27,1.12,0.72,0.93,0.66
d_1,0.51,0.58,2.42,0.4,0.35,0.4,0.93,0.84,0.41,1.86,1.02,0.96,1.44,0.84,1.06,0.72
c_1,0.47,0.44,0.45,2.42,0.89,0.28,0.91,0.77,1.15,0.39,0.61,1.06,1.23,0.74,0.93,0.83
b_1,0.46,0.58,0.51,0.41,2.62,0.69,0.78,0.82,0.76,0.97,0.33,0.9,1.21,0.67,0.75,0.79
a_1,0.45,0.48,0.56,0.5,0.42,3.15,0.92,0.78,0.93,0.98,0.9,1.13,1.33,0.23,1.03,0.76
h_1,0.51,0.92,0.58,0.6,0.5,0.31,2.97,1.36,1.3,1.11,1.35,0.97,0.87,1.13,1.6,0.84
g_1,0.52,0.54,0.93,0.58,0.46,0.43,1.16,3.27,0.99,0.77,1.19,1.76,1.49,1.03,0.94,0.97
d_0,0.51,0.63,0.27,1.23,0.58,0.37,1.08,0.79,2.5,1.0,1.11,1.02,1.73,1.08,1.38,0.95
c_0,0.66,0.73,0.61,0.38,0.4,0.42,1.08,1.0,1.42,2.68,2.52,0.96,1.76,1.01,1.5,1.17
b_0,0.67,0.66,0.71,0.72,0.2,0.24,1.29,1.12,1.21,1.09,2.84,1.24,1.48,2.14,1.57,1.02
f_0,0.54,0.28,0.61,0.76,0.51,0.48,1.16,1.25,1.34,1.29,1.36,2.94,1.84,1.14,1.66,2.13
h_0,0.65,0.94,0.69,0.61,0.5,0.42,0.57,1.3,1.02,1.04,1.26,1.14,0.77,0.94,2.25,0.85
a_0,0.61,0.64,0.7,0.73,0.42,0.16,1.04,0.96,1.53,1.34,1.4,1.09,1.75,3.24,1.38,0.92
g_0,0.53,0.69,0.98,0.52,0.44,0.42,0.97,0.68,0.88,1.16,1.57,1.72,1.51,1.12,1.17,1.12
e_0,0.31,0.65,0.69,0.6,0.53,0.47,1.35,1.03,1.56,1.38,1.41,1.36,1.79,1.16,1.66,3.23
